,expert,ml,diff
thermal_anomaly,0.25,0.08036597073078156,-0.16963402926921844
accumulating_stress,0.18,0.534528374671936,0.35452837467193604
seasonal_risk,0.1,0.024896549060940742,-0.07510345093905926
climate_driver,0.12,0.06142447143793106,-0.058575528562068935
bleaching_history,0.08,0.28363537788391113,0.20363537788391112
water_quality,0.15,0.0047909291461110115,-0.14520907085388898
light_availability,0.12,0.010358333587646484,-0.10964166641235351
