week_start,week_end,iso_year,iso_week,pcrvi_mean,pcrvi_max,pcrvi_min,pcrvi_trend,risk_category,dhw_mean,dhw_max,recommendation,alert_color,ta_mean,as_mean,sr_mean,cdr_mean,bh_mean,wq_mean,la_mean
1998-06-08,1998-06-14,1998,24,0.5714,0.5965,0.5371,-0.01094,High,7.63,7.63,ELEVATED ALERT: Risk falling. Increase monitoring to twice-weekly. Notify stakeholders. Prepare response plans.,#FF4500,0.3698,0.7822,0.8179,0.3536,0.2101,0.4995,0.616
1998-06-15,1998-06-21,1998,25,0.5025,0.5264,0.4799,-0.007076,Moderate,7.63,7.63,WATCH: Risk falling. Maintain weekly monitoring. Review contingency plans.,#FFA500,0.1984,0.6238,0.7981,0.3536,0.212,0.506,0.5818
1998-06-22,1998-06-28,1998,26,0.4714,0.4799,0.4631,-0.003604,Moderate,7.61,7.63,WATCH: Risk stable. Maintain weekly monitoring. Review contingency plans.,#FFA500,0.19,0.5779,0.7739,0.3536,0.214,0.5105,0.4671
1998-06-29,1998-07-05,1998,27,0.447,0.4631,0.4276,-0.006848,Moderate,7.32,7.32,WATCH: Risk falling. Maintain weekly monitoring. Review contingency plans.,#FFA500,0.2216,0.5302,0.7457,0.1545,0.2159,0.5078,0.5287
1998-07-06,1998-07-12,1998,28,0.4234,0.4276,0.4173,-0.001142,Moderate,7.29,7.32,WATCH: Risk stable. Maintain weekly monitoring. Review contingency plans.,#FFA500,0.2176,0.4975,0.714,0.0748,0.2178,0.5015,0.5932
1998-07-13,1998-07-19,1998,29,0.3987,0.4165,0.3857,-0.005738,Moderate,6.46,6.98,WATCH: Risk falling. Maintain weekly monitoring. Review contingency plans.,#FFA500,0.204,0.4116,0.6792,0.0748,0.2197,0.4846,0.7519
1998-07-20,1998-07-26,1998,30,0.3758,0.3876,0.3711,-0.00294,Moderate,4.99,5.74,WATCH: Risk stable. Maintain weekly monitoring. Review contingency plans.,#FFA500,0.2096,0.3119,0.6418,0.0748,0.2216,0.4912,0.4896
1998-07-27,1998-08-02,1998,31,0.3511,0.3537,0.3483,-0.000362,Moderate,3.01,3.85,WATCH: Risk stable. Maintain weekly monitoring. Review contingency plans.,#FFA500,0.2182,0.1884,0.6023,0.0535,0.2235,0.5051,0.5787
1998-08-03,1998-08-09,1998,32,0.3399,0.3483,0.3261,-0.002804,Low,1.48,2.03,ROUTINE: Risk stable. Standard monitoring sufficient. Good period for baseline surveys.,#FFD700,0.2565,0.0923,0.5614,0.0,0.2255,0.5458,0.6018
1998-08-10,1998-08-16,1998,33,0.3189,0.3231,0.3164,0.000405,Low,0.38,0.75,ROUTINE: Risk stable. Standard monitoring sufficient. Good period for baseline surveys.,#FFD700,0.2439,0.0238,0.5196,0.0,0.2274,0.5113,0.6767
1998-08-17,1998-08-23,1998,34,0.2993,0.3163,0.2931,-0.003587,Low,0.02,0.15,ROUTINE: Risk stable. Standard monitoring sufficient. Good period for baseline surveys.,#FFD700,0.159,0.0013,0.4774,0.0,0.2293,0.4963,0.549
1998-08-24,1998-08-30,1998,35,0.3093,0.3164,0.2947,0.002784,Low,0.0,0.0,ROUTINE: Risk stable. Standard monitoring sufficient. Good period for baseline surveys.,#FFD700,0.2697,0.0,0.4356,0.0,0.2312,0.4746,0.8295
1998-08-31,1998-09-06,1998,36,0.3028,0.3129,0.281,-0.005696,Low,0.0,0.0,ROUTINE: Risk falling. Standard monitoring sufficient. Good period for baseline surveys.,#FFD700,0.2106,0.0013,0.3948,0.001,0.2331,0.5,0.6016
1998-09-07,1998-09-13,1998,37,0.2809,0.2869,0.2746,-0.001564,Low,0.0,0.0,ROUTINE: Risk stable. Standard monitoring sufficient. Good period for baseline surveys.,#FFD700,0.1891,0.0548,0.3554,0.0012,0.235,0.5162,0.6715
1998-09-14,1998-09-20,1998,38,0.2813,0.2829,0.2784,-0.000105,Low,0.0,0.0,ROUTINE: Risk stable. Standard monitoring sufficient. Good period for baseline surveys.,#FFD700,0.1937,0.0973,0.3182,0.0012,0.237,0.5114,0.6283
1998-09-21,1998-09-27,1998,39,0.2744,0.2805,0.2685,-0.001442,Low,0.0,0.0,ROUTINE: Risk stable. Standard monitoring sufficient. Good period for baseline surveys.,#FFD700,0.1983,0.1,0.2836,0.0012,0.2389,0.4841,0.6266
