date,pcrvi,pcrvi_base,ta_norm,as_norm,sr_norm,cdr_norm,bh_norm,wq_norm,la_norm,ev_score,ev_amplification,sst_sigma_departure,sst_rolling_sd_30d,sst_variability_amp,sst_exceed_2sd,sst_exceed_3sd,dhw_rolling_sd_rate,chl_sigma_departure,kd490_sigma_departure,cloud_sigma_departure,n_concurrent_extremes,risk_category,dhw_current,sst_anomaly,hotspot,current_sst,dhw_trend,dhw_momentum,oni,dmi,years_since_bleaching,adaptation_status,chl_anomaly,kd490_anomaly,par_proxy,clarity_score,is_peak_season,pcrvi_raw
1998-01-01,0.4302124776168601,0.4298239153190513,0.20235742037262056,0.0,0.25626832104109476,0.8574999999999999,0.9,0.41390833991408293,0.9718456427889519,0.0030133447981863164,1.0009040034394558,0.027120103183676844,,,0,0,,-0.9825300040965659,-1.1476760261578924,,0,Moderate,,0.011787101863102833,0.0,28.05001548028676,0.0,0.0,2.24,0.525,inf,naive,-0.28419930281242806,-0.1120798064929705,0.9901509914602568,0.9535402941176471,False,0.4302124776168601
1998-01-02,0.44421747533224526,0.46300414857446653,0.20280444559596802,0.0,0.2606282024313863,0.8574999999999999,0.9,0.6559495086989278,0.941231588562473,0.16722902646014,1.050168707938042,0.03226274567701055,,,0,0,,1.3918846657661448,1.553712319162354,,0,Moderate,,0.014022227979840096,0.0,28.052250606403497,0.0,0.0,2.24,0.525,inf,naive,0.4026061799199465,0.15173252042253924,0.9951582947720049,0.8873048823529411,False,0.48623246847840074
1998-01-03,0.46400115837132105,0.47526013694574293,0.22552589234159795,0.0,0.265059014851364,0.8574999999999999,0.9,0.7021128463589072,0.9346319618447576,0.3373034878110396,1.1011910463433119,0.29365353850320075,,,0,0,,2.1546099599760273,2.115253187496541,,2,Moderate,,0.12762946170798983,0.0,28.165857840131647,0.0,0.0,2.24,0.525,inf,naive,0.6232264113104051,0.20657150845253894,0.9957274766306916,0.8735364470588235,False,0.5233522074885484
1998-01-04,0.47557408439797166,0.47530200324398797,0.22250164919612914,0.0,0.26955944535568294,0.8574999999999999,0.9,0.7030706956724575,0.9363336838209895,0.24539386884632605,1.073618160653898,0.2588622101893332,,,0,0,,1.8567653340120667,2.0425998848431353,,1,Moderate,,0.11250824598064568,0.0,28.150736624404303,0.0,0.0,2.24,0.525,inf,naive,0.5370740956635981,0.19947632835216741,0.9973495323478614,0.8753178352941177,False,0.5102928624779234
1998-01-05,0.48719564561344697,0.48013853395530276,0.24399718044710567,0.0,0.2741281603696575,0.8574999999999999,0.9,0.7004116988171669,0.9313722331998797,0.2910395808700267,1.087311874261008,0.506149894763977,,,0,0,,1.9821266699679108,2.2442859961646158,,1,Moderate,,0.21998590223552839,0.0,28.258214280659185,0.0,0.0,2.24,0.525,inf,naive,0.5733351809533496,0.2191726013543198,0.9923717781644654,0.8703726882352941,False,0.5220603292598729
1998-01-06,0.4993353615753252,0.4731574775379686,0.22365202886701993,0.0,0.27876380608442797,0.8574999999999999,0.9,0.6910491990634727,0.9234225821104161,0.4409880071268543,1.1322964021380564,0.2720963434552139,,,0,0,,2.851598788492704,2.9544358272235702,,2,Moderate,,0.11826014433509968,0.0,28.156488522758757,0.0,0.0,2.24,0.525,inf,naive,0.8248322027942266,0.28852445138168387,0.993884658338479,0.852960505882353,False,0.53575450946096
1998-01-07,0.49100071912566295,0.4502474596270018,0.17888789520585321,0.0,0.28346500885812387,0.8574999999999999,0.9,0.5918633748214366,0.9458289893042553,0.1165976014073201,1.034979280422196,-0.24287669144276772,,,0,0,,0.9550730242399891,1.1436838010917727,,0,Moderate,,-0.10556052397073401,0.0,27.932667854452923,0.0,0.0,2.24,0.525,inf,naive,0.2762573015503403,0.11168993356481932,0.9942995962555694,0.8973583823529412,False,0.4659967917766761
1998-01-08,0.47342575583932534,0.42023855188592607,0.13822358895884362,0.0,0.2882303756229029,0.8574999999999999,0.9,0.44582070688535597,0.9590542587593456,0.0036670766505648555,1.0011001229951695,-0.710684721830497,,,0,0,,-0.052229053199063936,0.0660073797101674,,0,Moderate,,-0.3088820552057818,0.0,27.729346323217875,0.0,0.0,2.24,0.525,inf,naive,-0.01510738648574474,0.006446152203588672,0.9943265586951618,0.9237819588235294,False,0.4207008659803125
1998-01-09,0.4818953066533329,0.45847996297126326,0.15353218134523558,0.0,0.29305849429774766,0.8574999999999999,0.9,0.6972567986925349,0.927521236677495,0.354970046438377,1.1064910139315132,-0.5345724722132235,,,0,0,,2.6279820744752316,2.4835865942373965,,2,Moderate,,-0.23233909327382207,0.0,27.805889285149835,0.0,0.0,2.24,0.525,inf,naive,0.7601504994813517,0.24254223190714924,0.9905372027667545,0.8645052705882353,False,0.5073039590953556
1998-01-10,0.4818953066533329,0.4005508742707572,0.12368673660638123,0.0,0.29794793420689547,0.8574999999999999,0.9,0.5,0.7494533058206032,,,-0.8779187630492077,,,0,0,,,,,0,Minimal,,-0.38156631696809384,0.0,27.656662061455563,0.0,0.0,2.24,0.525,inf,naive,,,0.9989066116412064,0.5,False,
1998-01-11,0.4832371325285585,0.45536861108714377,0.12881580511564153,0.0,0.3028972465037785,0.8574999999999999,0.9,0.7053866125861576,0.9347245272494329,0.2260998299592323,1.0678299489877696,-0.8189132208799683,,,0,0,,2.20286039736325,1.8669365419029313,,1,Moderate,,-0.3559209744217924,0.0,27.682307404001865,0.0,0.0,2.24,0.525,inf,naive,0.6371829730527128,0.1823213882506847,0.989824125087101,0.8796249294117647,False,0.48625624074781626
1998-01-12,0.4668707374242482,0.41777155211131733,0.12626308133288047,0.0,0.30790496460034833,0.8574999999999999,0.9,0.4249255621502947,0.9731370916293178,0.0,1.0,-0.8482801225967577,,,0,0,,-0.8950544744390696,-1.0157343120272155,,0,Moderate,,-0.36868459333559755,0.0,27.66954378508806,0.0,0.0,2.24,0.525,inf,naive,-0.2588967833594293,-0.0991946355465813,0.9959689714939298,0.9503052117647058,False,0.41777155211131733
1998-01-13,0.4760404750460605,0.44759972258799774,0.1353243523672468,0.0,0.31296960460165746,0.8574999999999999,0.9,0.6816328187834992,0.8777229268207947,0.41666666666666663,1.125,-0.7440379567610128,,,0,0,,4.421189162878642,3.6686725205139,,2,Moderate,,-0.323378238163766,0.0,27.71485014025989,0.0,0.0,2.24,0.525,inf,naive,1.2788402109382098,0.3582754164185244,0.9199977359945305,0.8354481176470588,False,0.5035496879114975
1998-01-14,0.4592504517188863,0.4088803817373637,0.1317824759491593,0.0,0.31808966574556957,0.8574999999999999,0.9,0.4449653231833147,0.8540083141501642,0.0,1.0,-0.7847842127270569,0.22299842267889486,0.5130811884963897,0,0,,-0.745449994709998,-0.8445860701844269,,0,Moderate,,-0.34108762025420347,0.0,27.697140758169454,0.0,0.0,2.24,0.525,inf,naive,-0.21562330706929508,-0.08248063142856475,0.7619078047709167,0.9461088235294117,False,0.4088803817373637
1998-01-15,0.45882803411098527,0.41834128574837215,0.07246018634988118,0.0,0.32326363084746784,0.8574999999999999,0.9,0.6850224305717071,0.7520542624199917,0.3125,1.09375,-1.4672363683584986,0.25177953208551473,0.579301593301032,0,0,,5.526251887788715,5.120756143242274,,2,Moderate,,-0.6376990682505941,0.0,27.400529310173063,0.0,0.0,2.24,0.525,inf,naive,1.5984824149157058,0.5000830761915076,0.704264083663513,0.7998444411764706,False,0.45756078128728206
1998-01-16,0.45513414280489095,0.4245772340317252,0.07773874279379882,0.0,0.3284899667498293,0.8574999999999999,0.9,0.7074478060303315,0.7606365062811911,0.1528990353529528,1.0458697106058858,-1.4065110954786457,0.26777932757452977,0.6161143832149042,0,0,,1.9589827594029694,1.710594089067898,,0,Moderate,,-0.6113062860310059,0.0,27.42692209239265,0.0,0.0,2.24,0.525,inf,naive,0.5666407459544331,0.16705328866421115,0.637814718444735,0.883458294117647,False,0.44405246888660793
1998-01-17,0.4683028535260812,0.4586714281870623,0.2372184233477043,0.0,0.3337671247765325,0.8574999999999999,0.9,0.7661835829747287,0.6346881035522804,0.3571006351744357,1.1071301905523308,0.4281660976745823,0.2749655634108819,0.6326486814374532,0,0,,8.144250853824207,8.198811159735827,,2,Moderate,,0.18609211673852144,0.0,28.22432049516218,0.0,0.0,2.24,0.525,inf,naive,2.3557452748881924,0.8006799369434394,0.5450026776927961,0.7243735294117648,False,0.5078089856896519
