Lead Time,Precision,Recall (POD),F1 Score,MCC,HSS,PSS / TSS,CSI,FAR,POFD,Freq Bias,Correlation,n
7 days,0.0326,0.9878,0.0631,0.1279,0.033,0.5082,0.0326,0.9674,0.4797,30.311,0.0,10190
14 days,0.0354,0.9888,0.0684,0.1336,0.0358,0.5095,0.0354,0.9646,0.4793,27.927,0.0,10183
30 days,0.0418,0.9905,0.0803,0.1457,0.0423,0.5121,0.0418,0.9582,0.4784,23.6714,0.0,10167
60 days,0.0539,0.9926,0.1023,0.1662,0.0545,0.516,0.0539,0.9461,0.4766,18.4111,0.0,10137
90 days,0.066,0.9939,0.1238,0.1845,0.0666,0.519,0.066,0.934,0.4749,15.0636,0.521,10107
