Model,MAE (°C-weeks),RMSE (°C-weeks),R²,Bleaching F1,Bleaching Precision,Bleaching Recall
Ensemble-pCRVI-30d,0.1705362778317998,0.5173716697201909,0.808173072402549,0.7377049180327869,1.0,0.5844155844155844
Ensemble-pCRVI-60d,0.1900036767920301,0.6820674346523529,0.6675175921936942,0.3076923076923077,1.0,0.1818181818181818
