task,task_label,rf_roc_auc,rf_std,rf_pr_auc,rf_mcc,rf_sensitivity,rf_specificity,rf_brier,dmpnn_roc_auc,dmpnn_std,dmpnn_pr_auc,dmpnn_mcc,dmpnn_sensitivity,dmpnn_specificity,dmpnn_brier,chemeleon_frozen_roc_auc,chemeleon_frozen_std,chemeleon_frozen_pr_auc,chemeleon_frozen_mcc,chemeleon_frozen_sensitivity,chemeleon_frozen_specificity,chemeleon_frozen_brier
ecoli,E. coli,0.8765,0.0107,0.8049,0.8432,0.9304,0.9284,0.0584,0.8525,0.0123,0.7743,0.549,0.6453,0.8843,0.138,0.833,0.0113,0.7504,0.523,0.5927,0.8979,0.1454
saureus,S. aureus,0.8708,0.0073,0.847,0.842,0.9275,0.9169,0.0669,0.8544,0.0125,0.825,0.5498,0.724,0.8206,0.155,0.8311,0.01,0.7997,0.5153,0.7233,0.7915,0.166
paeruginosa,P. aeruginosa,0.861,0.0135,0.7194,0.8225,0.9415,0.92,0.058,0.8379,0.0131,0.6867,0.5181,0.5652,0.9148,0.1294,0.8204,0.0184,0.6588,0.494,0.5467,0.9088,0.1358
mtb,M. tuberculosis,0.8112,0.0178,0.7755,0.8425,0.9149,0.9278,0.0757,0.7599,0.0232,0.7219,0.3955,0.6093,0.7781,0.197,0.762,0.0129,0.7149,0.3937,0.5827,0.8003,0.1975
gut_t5,Gut (t=5),0.8035,0.0729,0.6451,0.9389,0.9396,0.989,0.0471,0.8248,0.0514,0.647,0.4748,0.4752,0.9366,0.1065,0.8257,0.0387,0.6308,0.4625,0.4698,0.9397,0.1071
gut_t10,Gut (t=10),0.8232,0.0898,0.6654,0.9554,0.9525,0.9938,0.0352,0.841,0.0391,0.597,0.4913,0.475,0.9595,0.0838,0.8122,0.0709,0.6145,0.5315,0.5026,0.9649,0.0823
gut_t20,Gut (t=20),0.8798,0.05,0.6851,0.9334,0.9504,0.9893,0.0225,0.8776,0.0716,0.6426,0.6172,0.5751,0.9757,0.0514,0.8581,0.0759,0.6589,0.5781,0.5759,0.9696,0.0529
