smiles,name,moa,disagreement,rank_mean,rank_std,rf_S,rf_rank,rf_pctile,dmpnn_S,dmpnn_rank,dmpnn_pctile,chemeleon_frozen_S,chemeleon_frozen_rank,chemeleon_frozen_pctile,molformer_S,molformer_rank,molformer_pctile,dmpnn_rdkit_S,dmpnn_rdkit_rank,dmpnn_rdkit_pctile
CC(C)c1nc(CN(C)C(=O)N[C@@H](CCN2CCOCC2)C(=O)N[C@H](CC[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)Cc2ccccc2)cs1,cobicistat,cytochrome P450 inhibitor,0.20052183621163913,0.4524113369936192,0.20052183621163913,0.2019912957350421,1883,0.7205816886778453,0.003476,3270,0.5147648018993916,0.07272,3541,0.4745511203442647,0.0029932648574132,4166,0.38180738982044815,0.0394277903351076,5591,0.17035168422614633
CC(=O)N[C@@H](C(=O)O)C(C)(C)S[NH2+][O-],SNAP,nitric oxide donor,0.2005079445888016,0.6409259534055497,0.2005079445888016,0.1926197430758475,2218,0.6708710491170797,0.000653,4435,0.3418904882029975,0.106224,2789,0.5861403769105209,0.0484367787061305,1913,0.7161299896127022,0.2810106346186271,744,0.8895978631844488
CC(C)C[C@@H](C(=O)N[C@@H](Cc1ccc(OCc2ccccc2)cc1)C(=O)NC(C)(C)C)N(C)Cc1ccc(C(C)(C)C)cc1,PD-173212,calcium channel blocker,0.2004944089396335,0.7697284463570262,0.2004944089396335,0.2436570734238281,842,0.8750556462383143,0.001606,3830,0.4316664193500519,0.35998,596,0.9115595785724885,0.3108718718716314,742,0.889894643122125,0.1913438194537383,1749,0.7404659445021516
CC(C)c1cnn2c(NCc3ccccc3)cc(NCCCCCCN)nc12,BS-181,CDK inhibitor,0.20043336361422776,0.6741059504377505,0.20043336361422776,0.2227207242474813,1282,0.8097640599495475,0.099603,1287,0.8090221101053569,0.168729,1821,0.729781866745808,0.0018469364066027,4536,0.3269031013503487,0.1720148454873988,2055,0.6950586140376911
Nc1ccc(C(=O)Oc2ccccc2)c(O)c1,phenyl-aminosalicylate,,0.2004251294479905,0.40204778156996585,0.2004251294479905,0.126529227065572,4824,0.28416679032497405,0.016303,2275,0.6624128208933076,0.075496,3457,0.48701587772666566,0.0002579352136065,5817,0.13681555126873424,0.0927259238782657,3775,0.4398278676361478
O=C(Nc1ccc(-c2ccncc2)cc1)N[C@H](CO)c1ccccc1,AS-1892802,rho associated kinase inhibitor,0.20042071834453834,0.651728743136964,0.20042071834453834,0.1599547124774827,3499,0.48078349903546524,0.003665,3239,0.5193648909333729,0.169641,1808,0.7317109363407034,0.7599325178775255,225,0.9666122570114261,0.125211231032165,2964,0.5601721323638522
COc1cc2c(cc1OC)-c1cc3nc4ccccc4nc3n1C(C)(C)C2,YM-90709,IL5 inhibitor,0.20039562319645127,0.25897017361626345,0.20039562319645127,0.1760862475027439,2848,0.5773853687490725,0.000583,4504,0.3316515803531681,0.012277,5875,0.12820893307612402,0.0001327982843487,6131,0.09022110105356873,0.0387615971320531,5611,0.16738388484938416
CC(C)(C)n1nc(-c2ccc(Cl)cc2)c2c(N)ncnc21,PP-2,SRC inhibitor,0.2003951616975772,0.5558094672800118,0.2003951616975772,0.1374541445113537,4438,0.34144531829648317,0.038566,1791,0.7342335658109511,0.202411,1454,0.7842409853093931,0.0029851071570018,4167,0.38165899985161,0.1188057839923555,3117,0.5374684671316219
CCCCOc1ccc(C(=O)Nc2ccc(F)cc2F)cc1,VU0357121,glutamate receptor positive allosteric modulator,0.20038993679690834,0.5150319038433002,0.20038993679690834,0.1079366462250846,5457,0.19023594005045263,0.004471,3095,0.5407330464460602,0.10288,2847,0.5775337587179107,0.061551590179383,1755,0.7395756046891231,0.1160017499438063,3187,0.5270811693129545
Cc1c(-c2c(F)cc(C(N)=O)c3[nH]c4c(c23)CC[C@H](C(C)(C)O)C4)cccc1-n1c(=O)c2cccc(F)c2n(C)c1=O,BMS-986142,Bruton's tyrosine kinase (BTK) inhibitor,0.20035748002477563,0.6775485977147945,0.20035748002477563,0.2486329509892731,760,0.8872236236830391,0.004012,3175,0.5288618489390118,0.233164,1173,0.825938566552901,0.0038720015706605,3950,0.4138596230894791,0.1871729723949694,1807,0.7318593263095414
CC(C)C[C@@H]1C(=O)O[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)O[C@H](Cc2ccc(N3CCOCC3)cc2)C(=O)N(C)[C@@H](CC(C)C)C(=O)O[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)O[C@H](Cc2ccc(N3CCOCC3)cc2)C(=O)N1C,emodepside,nematocide,0.20032397375804437,0.3784537765247069,0.20032397375804437,0.1640446407046539,3324,0.5067517435821338,9e-06,6316,0.06276895681851902,0.052401,4124,0.38803976851164856,0.0161553711998497,2785,0.5867339367858733,0.0720161088078311,4394,0.3479744769253599
CCCCCCCCCC(=O)OC1(c2ccc(Cl)cc2)CCN(CCCC(=O)c2ccc(F)cc2)CC1,haloperidol-decanoate,psychoactive drug,0.20020981143905922,0.4716129989612702,0.20020981143905922,0.1859279821924266,2473,0.6330316070633626,0.002996,3381,0.49829351535836175,0.145731,2141,0.682297076717614,0.0020942822454662,4436,0.34174209823415935,0.0457521663872834,5373,0.20270069743285357
N=C(N)NCCC[C@H](N)C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CO)C(=O)O,DU-728,structural glycoprotein antagonist,0.20020154058149187,0.6534203887817184,0.20020154058149187,0.3191675461856821,205,0.9695800563881881,0.002338,3566,0.47084137112331204,0.167581,1837,0.7274076272443983,0.0114337687855753,3053,0.5469654251372607,0.1230837996157379,3017,0.5523074640154326
COc1cc([S@@](C)=O)ccc1-c1nc2ncccc2[nH]1,sulmazole,adenosine receptor antagonist,0.20019348386577157,0.608458228223772,0.20019348386577157,0.1980885214397016,2014,0.7011426027600534,0.065166,1495,0.7781569965870307,0.180903,1688,0.7495177326012761,0.008489728441834,3297,0.5107582727407627,0.0633629306970442,4699,0.30271553642973736
OC[C@@H](O)COc1ccc(Cl)cc1,chlorphenesin,muscle relaxant,0.20018570181544293,0.27713310580204775,0.20018570181544293,0.0741664048073379,6182,0.08265321264282532,0.000604,4485,0.33447098976109213,0.065956,3720,0.44798931592224367,5.3864742877312696e-05,6410,0.04882029974773705,0.1009748590053072,3560,0.4717317109363407
COc1ccccc1OC[C@@H](O)COC(N)=O,methocarbamol,muscle relaxant,0.20017076933108183,0.26300638076866,0.20017076933108183,0.0910051409834276,5874,0.12835732304496217,0.000256,5046,0.2512242172429143,0.004742,6307,0.06410446653806201,0.0013033869575485,4789,0.28936043923430776,0.1314545201666429,2817,0.5819854577830539
CN(C)Cc1ccc(-c2nc3cccc4c3n2CCNC4=O)cc1,AG-14361,PARP inhibitor,0.20014751313710455,0.6086956521739131,0.20014751313710455,0.1711302542133436,3027,0.5508235643270515,0.000402,4767,0.2926250185487461,0.213295,1348,0.7999703220062324,0.0639498575933239,1731,0.7431369639412375,0.1578062528014802,2312,0.6569223920462977
CCn1ncc2c(NC3CCOCC3)c(-c3nnc(Cc4sc(C)nc4C)o3)cnc21,GSK356278,phosphodiesterase inhibitor,0.20013782042499853,0.8098234159370825,0.20013782042499853,0.1807202908953177,2660,0.6052826828906366,0.609348,441,0.934560023742395,0.502094,263,0.960973438195578,0.0149655350458642,2848,0.5773853687490725,0.4046720364129629,196,0.9709155661077311
N#CC(C#N)=Cc1ccc(O)c(O)c1,tyrphostin-AG-18,EGFR inhibitor|tyrosine kinase inhibitor,0.20010833233041647,0.23525745659593414,0.20010833233041647,0.0857232743316037,5982,0.1123312064104467,0.00628,2882,0.572340109808577,0.005414,6260,0.07107879507345305,0.0003766718556321,5593,0.17005490428847014,0.054161901145958,5051,0.2504822673987238
CCC(C)(Oc1ccc(C2(c3ccc(O[C@](C)(CC)C(=O)O)cc3)CCCCC2)cc1)C(=O)O,clinofibrate,lipase clearing factor inhibitor,0.19995027690389242,0.7974773705297523,0.19995027690389242,0.159658978783692,3508,0.47944798931592225,0.975096,73,0.9891675322748182,0.315521,744,0.8895978631844488,0.3280468217171844,707,0.8950882920314587,0.1884069934919847,1792,0.7340851758421131
C#Cc1cccc(Nc2ncnc3cc4c(cc23)OCCOCCOCCO4)c1,icotinib,EGFR inhibitor,0.1999470997639443,0.6627096008309838,0.1999470997639443,0.1452139366100817,4118,0.3889301083246772,0.009459,2628,0.610031161893456,0.212529,1360,0.7981896423801751,0.3915857413729408,612,0.9091853390710788,0.1392943530502971,2647,0.607211752485532
Cn1c(=O)c2c(ncn2C[C@@H](O)CO)n(C)c1=O,dyphylline,adenosine receptor antagonist|phosphodiesterase inhibitor,0.19992740257210023,0.8503635554236533,0.19992740257210023,0.4857930389391278,26,0.9961418608102093,0.985124,47,0.993025671464609,0.083174,3272,0.5144680219617154,0.4604008200320729,535,0.920611366671613,0.2369759553636083,1162,0.8275708562101202
NC(=O)N1C(=O)[C@@H](C(=O)c2cccs2)c2cc(Cl)ccc21,tenidap,cyclooxygenase inhibitor,0.19987276120342004,0.31728743136963944,0.19987276120342004,0.1522304498998436,3807,0.4350793886333284,0.007995,2731,0.594746995103131,0.035064,4807,0.2866894197952219,0.0001731960841067,6015,0.10743433743878916,0.0380063582207783,5644,0.16248701587772663
O=C1CCCCCCCCCCCCCCO1,oxacyclohexadecan-2-one,protein kinase inhibitor,0.1998658370245273,0.18489390117228074,0.1998658370245273,0.1607164140601229,3470,0.4850868081317703,7.3e-05,5660,0.16011277637631693,0.000396,6657,0.012167977444724754,2.389804645560121e-06,6717,0.003264579314438354,0.0564208702324614,4961,0.2638373645941534
Cc1occc(=O)c1[O][V](=[O])[O]c1c(C)occc1=O,bis(maltolato)oxovanadium(IV),tyrosine phosphatase inhibitor,0.19980738232635242,0.6940198842558244,0.19980738232635242,0.1603604452315082,3486,0.4827125686303606,0.918075,156,0.9768511648612553,0.103762,2831,0.5799079982193204,0.140519404206478,1226,0.8180738982044814,0.1405580565520239,2611,0.6125537913637038
CN1CCc2cc(Br)c(O)cc2[C@H](c2ccccc2)C1,SKF-83566,dopamine receptor antagonist,0.19979347960170188,0.28746104763318,0.19979347960170188,0.1305852346335844,4687,0.3044962160557946,4.7e-05,5838,0.13369936192313403,0.013864,5798,0.13963496067665826,0.0210448756225075,2552,0.6213087995251521,0.0523016871687807,5134,0.23816589998516102
COc1ccc(-c2sc(NC(=O)C(C)(C)C)nc2C)cc1S(=O)(=O)Nc1ccc(O)cc1,PI4KIII-beta-inhibitor-1,PI4K inhibitor,0.19978466246961848,0.5741504674284019,0.19978466246961848,0.1915933492774958,2256,0.6652322303012317,0.0337,1871,0.7223623683039027,0.060531,3896,0.42187268140673695,0.0736069152530062,1638,0.7569372310431814,0.0635589004283435,4688,0.30434782608695654
Cc1cc(-c2nncc3c(C(C)(C)C)c(OCc4ncnn4C)nn23)no1,MRK-016,GABA receptor inverse agonist,0.19972094712453858,0.5575307909185339,0.19972094712453858,0.1882193247262886,2384,0.6462383142899539,0.000168,5255,0.22021071375575008,0.107448,2766,0.5895533461937973,0.01583848333745,2804,0.5839145273779492,0.194809763874265,1700,0.7477370529752189
CN/C(=N\c1ccc(C2=NNC(=O)C[C@@H]2C)cc1)NC#N,siguazodan,phosphodiesterase inhibitor,0.19970025179984174,0.22427659890191426,0.19970025179984174,0.1750547710425291,2885,0.5718949399020626,4.4e-05,5865,0.12969283276450516,0.006946,6155,0.0866597418014542,0.000596121345684,5310,0.2120492654696543,0.0304712502872597,5923,0.12108621457189495
Oc1ccc(C2(c3ccccc3F)CCC(F)(F)CC2)cc1,AC-186,estrogen receptor agonist,0.1996819472746933,0.4755008161448286,0.1996819472746933,0.1177051385503858,5166,0.23341742098234164,0.000782,4325,0.35821338477518916,0.142796,2182,0.6762130879952515,0.0042843747169376,3882,0.42395014097047035,0.1682031213607705,2118,0.6857100460008904
CC(=O)OCC[N+](C)(C)C,acetylcholine,acetylcholine receptor agonist,0.1996554468475499,0.15761982489983678,0.1996554468475499,0.1594848477143825,3519,0.4778156996587031,1.1e-05,6254,0.07196913488648171,7.5e-05,6697,0.006232378691200524,7.242965074685893e-06,6683,0.008309838254933921,0.0493829021138589,5231,0.2237720730078646
CN1CCN([C@@H](c2ccccc2)c2ccc(Cl)cc2)CC1,chlorcyclizine,histamine receptor antagonist,0.1996493864346681,0.19744769253598457,0.1996493864346681,0.0685940195852655,6268,0.0698916753227482,9.7e-05,5520,0.1808873720136519,0.088161,3142,0.5337587179106693,0.0004095909708248,5549,0.17658406291734674,0.0086208257717851,6563,0.02611663451550672
