smiles,name,n_models,is_known_antibiotic,best_selectivity,MW,LogP,TPSA,HBD,HBA,RotBonds,Rings,lipinski_violations,lipinski_pass
CC[C@H](C)[C@H]1O[C@]2(C=C[C@@H]1C)C[C@@H]1C[C@@H](C/C=C(\C)[C@@H](O[C@H]3C[C@H](OC)[C@@H](O[C@H]4C[C@H](OC)[C@@H](NC(C)=O)[C@H](C)O4)[C@H](C)O3)[C@@H](C)/C=C/C=C3\CO[C@@H]4[C@H](O)C(C)=C[C@@H](C(=O)O1)[C@]34O)O2,eprinomectin,1,False,0.9992,914.14,5.521,178.93,3,14,9,7,3,False
CN(C)c1nc(N(C)C)nc(N(C)C)n1,altretamine,1,False,0.9992,210.28,0.07,48.39,0,6,3,1,0,True
COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1OC(F)F,riodipine,1,False,0.9992,367.35,2.869,73.86,1,6,5,2,0,True
Cc1cc(S(=O)(=O)O)c2c(C)ccc(C(C)C)cc1-2,sodium-gualenate,1,False,0.9992,278.37,3.778,54.37,1,2,2,2,0,True
CC(C)S(=O)(=O)NC[C@H](C)c1ccc(-c2ccc(CCNS(C)(=O)=O)cc2)cc1,mibampator,1,False,0.9992,438.62,2.877,92.34,2,4,10,2,0,True
O=S(=O)(N[C@H](CO)C(C(F)(F)F)C(F)(F)F)c1ccc(Cl)s1,begacestat,1,False,0.9991,391.74,2.782,66.4,2,4,5,1,0,True
[N-]=[N+]=N[C@]1(CO)O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1O,R-1479,1,False,0.9989,284.23,-1.925,179.59,4,8,3,2,0,True
CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N(C)C)[C@H]2O)[C@@H](CCN2C[C@H](C)C[C@H](C)C2)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC,tilmicosin,1,True,0.9989,869.15,3.341,186.15,4,15,12,4,2,False
N#C/C(=C1/SC[C@H](c2ccccc2Cl)S1)n1ccnc1,lanoconazole,1,False,0.9988,319.84,4.407,41.61,0,4,2,3,0,True
COc1ccc(Oc2cc(NCCC(F)(F)F)c3ncc(-c4ccc(C(=O)NC5CC5)c(C)c4)n3n2)c(F)c1F,BAY1217389,1,False,0.9987,561.51,6.04,89.78,2,6,9,5,2,False
