smiles,name,n_models,is_known_antibiotic,best_selectivity,MW,LogP,TPSA,HBD,HBA,RotBonds,Rings,lipinski_violations,lipinski_pass
CC[C@]12CCCN3CCc4c(n(c5ccccc45)[C@@](O)(C(=O)OC)C1)[C@@H]32,vincamine,1,False,0.993,354.45,2.953,54.7,1,4,2,5,0,True
CCCC[C@@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1,calpeptin,1,False,0.9929,362.47,3.201,84.5,2,4,11,1,0,True
CC(C)CCC(=O)C[C@H]1c2ccccc2C(=O)N1c1ccc2ccc(Cl)nc2n1,pagoclone,1,False,0.9926,407.9,5.38,63.16,0,4,6,4,1,True
C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@H]1C(=O)CO,desoximetasone,1,False,0.9925,376.47,2.781,74.6,2,4,2,4,0,True
CC(C)NC[C@@H](C(=O)N1CCN(c2ncnc3c2[C@H](C)C[C@H]3O)CC1)c1ccc(Cl)cc1,GDC-0068,1,False,0.9924,458.01,3.101,81.59,2,6,6,4,0,True
COCc1nnc(N2CC(Oc3ccc(F)cc3Cl)C2)n1-c1ccc(OC)nc1,PF-3274167,1,False,0.9922,419.84,2.877,74.53,0,7,7,4,0,True
CCC(=O)NO,ZAMI-633,1,False,0.9921,89.09,-0.098,49.33,2,2,1,0,0,True
Cc1ccc(NC(=O)C2(c3ccc4c(c3)OC(F)(F)O4)CC2)nc1-c1cccc(C(=O)O)c1,lumacaftor,1,False,0.9919,452.41,4.747,97.75,2,5,5,5,0,True
O[C@@]12[C@H]3[C@@H]4[C@@H]5C[C@@H]6[C@@H]4[C@@H]3[C@@H]([C@@H]6[C@@H]51)N2CCc1cccc(F)c1,TC1,1,False,0.9917,297.37,2.129,23.47,1,2,3,8,0,True
CN1C(=O)c2c(nn(Cc3ccc(-c4cccc(F)n4)cc3)c2Nc2ccccc2)N2C1=N[C@@H]1CCC[C@@H]12,ITI214,1,False,0.9916,507.57,5.059,78.65,1,6,5,7,2,False
OC[C@H]1O[C@@H](n2cnc3c2NC=NC[C@H]3O)C[C@@H]1O,pentostatin,1,False,0.9915,268.27,-0.989,112.13,4,7,2,3,0,True
CCC1=C[C@@H]2CN3CCc4c([nH]c5ccccc45)[C@@](C(=O)OC)(C2)[C@@H]13,catharanthine,1,False,0.9913,336.44,3.175,45.33,1,3,2,6,0,True
O=C1[O][SbH]23[O]C(=O)[C@H]([O]2)[C@H]2[O][SbH]4([O]C(=O)[C@H]([O]4)[C@H]1[O]3)[O]C2=O,antimony-potassium,1,False,0.9911,537.64,-3.896,142.12,0,12,0,5,2,False
CO[C@H]1C[C@H](O[C@H]2[C@H](C)O[C@@H](O[C@@H]3/C(C)=C/C[C@@H]4C[C@@H](C[C@]5(C=C[C@H](C)[C@@H](C6CCCCC6)O5)O4)OC(=O)[C@@H]4C=C(C)[C@@H](O)[C@H]5OC/C(=C\C=C\[C@@H]3C)[C@]54O)C[C@@H]2OC)O[C@@H](C)[C@@H]1O,doramectin,1,False,0.9909,899.13,5.912,170.06,3,14,7,8,3,False
N[C@@H](Cc1cc(CP(=O)(O)O)cc(-c2ccccc2Cl)c1)C(=O)O,SDZ-220-581,1,False,0.9905,369.74,2.639,120.85,4,3,6,2,0,True
CO[C@H]1CC[C@H](N(c2cc(C3=CCCCC3)sc2C(=O)O)C(=O)[C@H]2CC[C@H](C)CC2)CC1,VCH-916,1,False,0.9905,459.65,6.521,66.84,1,4,6,4,1,True
Cn1cc(-c2cnn3c(N)c(Br)c([C@@H]4CCCNC4)nc23)cn1,SCH-900776,1,False,0.9902,376.26,1.941,86.06,2,5,2,4,0,True
CN(C)CCS,captamine,1,False,0.9898,105.21,0.478,3.24,1,2,2,0,0,True
C[C@@]12C[C@@]3(O)O[C@@H](O1)[C@]1(COC(=O)c4ccccc4)[C@H]3C[C@@]12O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,paeoniflorin,1,False,0.9897,480.47,-1.357,164.37,5,11,6,8,1,True
C[C@H]1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,indapamide,1,False,0.9897,365.84,2.083,92.5,2,4,3,3,0,True
O=C(c1ccc(/C=C/c2[nH]nc3ccccc23)cc1)N1CCNCC1,KW-2449,1,False,0.9895,332.41,2.779,61.02,2,3,3,4,0,True
CN1C(=O)[C@@H](NC(=O)c2nc(Cc3ccccc3)n[nH]2)COc2ccccc21,GSK2982772,1,False,0.9891,377.4,1.549,100.21,2,5,4,4,0,True
O=C1Nc2ccccc2/C1=C1Nc2ccccc2C/1=N\O,indirubin-3-monoxime,1,False,0.989,277.28,2.654,73.72,3,4,0,4,0,True
Nc1nc(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1F,fdcyd,1,False,0.989,245.21,-1.395,110.6,3,6,2,2,0,True
CCCc1nc(C(F)(F)F)ccc1/C=C/C(=O)N[C@H](C)c1cc(F)c(NS(C)(=O)=O)c(F)c1,asivatrep,1,False,0.9885,491.48,4.593,88.16,2,4,8,2,0,True
CCCNS(=O)(=O)Nc1ncnc(OCCOc2ncc(Br)cn2)c1-c1ccc(Br)cc1,macitentan,1,False,0.9884,588.28,3.573,128.22,2,8,11,3,1,True
Cc1cc(C)c2nc(-c3ccccn3)cc(C(=O)Nc3ccc(S(=O)(=O)Nc4onc(C)c4C)cc3)c2c1,ML193,1,False,0.9882,527.61,5.572,127.08,2,7,6,5,2,False
COC(=O)CCSCc1ccc(-c2onc(C)c2NC(=O)O[C@@H](C)c2ccccc2Cl)cc1,ki16198,1,False,0.988,488.99,6.409,90.66,1,7,9,3,1,True
N=C(N)Nc1nc(CSCCN/C=N/S(=O)(=O)c2ccc(Br)cc2)cs1,ebrotidine,1,False,0.9879,477.44,2.451,133.32,4,6,9,2,0,True
[Cl][Ti]([Cl])([CH]1C=CC=C1)[CH]1C=CC=C1,titanocene-dichloride,1,False,0.9877,248.96,4.277,0.0,0,0,2,2,0,True
Cc1ncc(CSSCc2cnc(C)c(O)c2CO)c(CO)c1O,pyritinol,1,False,0.9875,368.48,2.571,106.7,4,8,7,2,0,True
O=C(O)C(=O)c1cn(Cc2ccccc2)c2ccc(-c3ccc(OC(F)(F)F)cc3)cc12,tiplaxtinin,1,False,0.9873,439.39,5.523,68.53,1,3,6,4,1,True
Cn1c(=O)c2[nH]c(Br)nc2n(C)c1=O,pamabrom,1,False,0.9868,259.06,-0.277,72.68,1,3,0,2,0,True
CCOc1ccc(CC2=NCCc3cc(OCC)c(OCC)cc32)cc1OCC,drotaverine,1,False,0.9867,397.52,4.869,49.28,0,5,10,3,0,True
CC1(C)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,sulbactam,1,False,0.9864,233.24,-0.795,91.75,1,4,1,2,0,True
O=P(O)(O)CN1CCN(CP(=O)(O)O)CCN(CP(=O)(O)O)CCN(CP(=O)(O)O)CC1,DOTMP,1,False,0.9863,548.3,-2.251,243.08,8,8,8,1,2,False
CC#C[C@@H](CC(=O)O)c1ccc(OCc2cccc(-c3ccc(C(F)(F)F)cc3)c2)cc1,AMG-837,1,False,0.9859,438.45,6.533,46.53,1,2,7,3,1,True
CC(C)C[C@H](N)C(=O)O,L-leucine,1,False,0.9858,131.18,0.444,63.32,2,2,3,0,0,True
O=C(O)C(Cl)(Cl)Cl,trichloroacetic-acid,1,False,0.9855,163.39,1.441,37.3,1,1,0,0,0,True
S=C=Nc1ccc(N=C=S)cc1,bitoscanate,1,False,0.9852,192.27,3.155,24.72,0,4,2,1,0,True
CC(C)S(=O)(=O)NC[C@H](C)c1ccc(NC(=O)c2cc(F)cc(F)c2)cc1,LY450108,1,False,0.9846,396.46,3.648,75.27,2,3,7,2,0,True
CCOc1ccc(Cc2nccc3cc(OCC)c(OCC)cc23)cc1OCC,ethaverine,1,False,0.9843,395.5,5.42,49.81,0,5,10,3,1,True
O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,raloxifene,1,False,0.9843,473.59,6.075,70.0,2,6,7,5,1,True
CC(C)C1=C2[C@H]3CC[C@@H]4[C@@]5(C)CC[C@H](OC(=O)CC(C)(C)C(=O)O)C(C)(C)[C@@H]5CC[C@@]4(C)[C@]3(C)CC[C@@]2([C@@H](O)CN(CCN(C)C)Cc2ccc(Cl)cc2)CC1=O,GSK2838232,1,False,0.9841,809.57,9.458,107.38,2,7,13,6,2,False
C[C@]12CC/C(=N\OCCN)C[C@@H]1C(=O)C[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,istaroxime,1,False,0.9841,360.5,3.109,81.75,1,5,3,4,0,True
O=S(=O)(O)C(F)(F)F,bismuth(III)-trifluoromethanesulfonate,1,False,0.984,150.08,0.394,54.37,1,2,0,0,0,True
c1ccc2c(c1)C1=N/C2=N\c2c3ccccc3c3[n]2[Zn][n]2/c(c4ccccc4/c2=N/C2=N/C(=N\3)c3ccccc32)=N\1,ciaftalan-zinc,1,False,0.984,577.93,4.848,84.02,0,6,0,10,1,True
CN1[C@@H]2CC[C@H]1C=C(c1sccc1Br)C2,NS-3861,1,False,0.984,284.22,3.761,3.24,0,2,1,3,0,True
COc1nc(C)cnc1NS(=O)(=O)c1cccnc1-c1ccc(-c2nnco2)cc1,zibotentan,1,False,0.9837,424.44,2.706,132.99,1,9,6,4,0,True
CCCCOc1c(C(=O)c2c(F)cc(C)cc2F)cnc2n[nH]cc12,BMS-265246,1,False,0.9832,345.35,3.954,67.87,1,4,6,3,0,True
CCCN1C[C@H](C)[C@@H](O)[C@](C)(O)[C@@H](CC)OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@H]1C,gamithromycin,1,True,0.9829,777.05,2.681,180.08,5,14,9,3,2,False
O=C(Nc1cccc2c(=O)cc(-c3nn[nH]n3)oc12)c1ccc(OCCCCc2ccccc2)cc1,pranlukast,1,False,0.9828,481.51,4.627,123.0,2,7,9,5,0,True
CO/N=C1/C[C@@H](C(=O)NC[C@@H](O)c2ccccc2)N(C(=O)c2ccc(-c3ccccc3C)cc2)C1,OT-R-antagonist-1,1,False,0.9828,471.56,3.729,91.23,2,5,7,4,0,True
CC(=O)Oc1cccc(C(=O)O)c1OC(C)=O,dipyrocetyl,1,False,0.9827,238.19,1.235,89.9,1,5,3,1,0,True
CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1,montelukast,1,False,0.9826,586.2,8.948,70.42,2,4,12,5,2,False
CCOc1cc(-c2nncn2C)ccc1Nc1ncc2cc(C)nc(NCC(C)(C)C)c2n1,BOS-172722,1,False,0.9825,446.56,4.729,102.67,2,8,7,4,0,True
Nc1ncnc2c1ncn2[C@H]1O[C@@H](C(=O)N2CCN(CC(=O)Nc3cccc4c3CNC4=O)CC2)[C@H](O)[C@@H]1O,EB-47,1,False,0.9825,537.54,-1.946,201.06,5,11,5,6,2,False
C[C@@H](CCCCC(=O)Nc1ccc(C(F)(F)F)cc1)NCCc1cnc[nH]1,HTMT,1,False,0.9818,382.43,4.148,69.81,3,3,10,2,0,True
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1C#CC(C)(C)N1CCN(C)CC1,AV-412,1,False,0.9817,507.01,4.668,73.39,2,6,5,4,1,True
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,azithromycin,1,True,0.9811,749.0,1.901,180.08,5,14,7,3,2,False
CCN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1,enrofloxacin,1,True,0.9809,359.4,2.316,65.78,1,4,4,4,0,True
CC(C)(C)C(=O)OCOC(=O)[C@@H]1N2C(=O)[C@@H](/N=C/N3CCCCCC3)[C@H]2SC1(C)C,pivmecillinam,1,True,0.9809,439.58,2.412,88.51,0,7,5,3,0,True
CC(C)NC(=N)N=C(N)Nc1ccc(Cl)c(Cl)c1,chlorproguanil,1,True,0.9808,288.18,2.653,86.29,4,1,2,1,0,True
N#C[C@@H]1C[C@@H]2C[C@@H]2N1C(=O)[C@@H](N)[C@@]12C[C@@H]3C[C@@H](C[C@@](O)(C3)C1)C2,saxagliptin,1,False,0.9807,315.42,1.158,90.35,2,4,2,6,0,True
O=C(O)C1CN(Cc2ccc(-c3nc4cc(Cc5ccccc5F)ccc4s3)c(F)c2)C1,TC-SP-14,1,False,0.9805,450.51,5.349,53.43,1,4,6,5,1,True
CC[C@H]1/C=C/C=C/C[C@@H](C)[C@H](O)[C@@](C)(O)C(=O)[C@@H](C)[C@H](O)[C@@H](C)C(=O)[C@@H](C)[C@H](O)[C@@H](C)/C=C/C(=O)O[C@@H]2[C@H](C)[C@H](CC1)O[C@]1(CC[C@H](C)[C@H](C[C@@H](C)O)O1)[C@H]2C,oligomycin-A,1,False,0.9803,791.08,5.883,180.05,5,11,3,3,3,False
C/C=C/C/C=C/CCC(=O)[C@H]1O[C@H]1C(N)=O,cerulenin,1,False,0.98,223.27,1.111,72.69,1,3,7,1,0,True
Nc1nc(-n2cccn2)nc(-n2cccn2)c1Br,taminadenant,1,False,0.9793,306.13,1.193,87.44,1,5,2,3,0,True
Cc1cn([C@@H]2C[C@@H](O)[C@H](CO)O2)c(=O)[nH]c1=O,telbivudine,1,False,0.9791,242.23,-1.514,104.55,3,5,2,2,0,True
C[C@@H](CCc1ccccc1)NC[C@@H](O)c1ccc(O)c(C(N)=O)c1,labetalol,1,False,0.979,328.41,2.135,95.58,4,4,8,2,0,True
O=C(O)c1ccc(/C=C2/SC(=S)N(c3cccc(C(F)(F)F)c3)C2=O)cc1,CFTRinh-172,1,False,0.9781,409.41,4.809,57.61,1,4,3,3,0,True
CO[C@H]1CC[C@@H](C(=O)c2ccc3nc4c(cc3c2)CCCO4)CC1,JNJ-16259685,1,False,0.978,325.41,3.948,48.42,0,4,3,4,0,True
C[C@H](NC(=O)c1c(N)nn2cccnc12)c1cc2cccc(C#Cc3cnn(C)c3)c2c(=O)n1-c1ccccc1,IPI549,1,False,0.978,528.58,3.24,125.13,2,6,4,6,1,True
C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,tacrolimus,1,False,0.9778,804.03,4.639,178.36,3,12,7,4,2,False
CC(C)Oc1ccc(C(=O)N[C@H](CNC(=O)CN(C)C)Cc2ccc(-c3cn4cccc([C@H](C)O)c4n3)cc2)cc1Cl,GSK923295,1,False,0.9777,592.14,4.514,108.2,3,6,12,4,1,True
C[C@@H]1[C@H](O)[C@@H](C)/C=C/C=C/CC/C=C/C=C/C=C/C=C/[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)C[C@@H]2O[C@](O)(C[C@@H](O)[C@H](O)CC[C@@H](O)C[C@@H](O)C[C@@H](O)CC(=O)O[C@H]1C)C[C@H](O)[C@H]2C(=O)O,nystatin,1,False,0.9776,926.11,0.936,319.61,12,17,3,3,3,False
COc1cc(Oc2ccnc3cc(OC)c(OC)cc23)ccc1NC(=O)N[C@@H](C)c1nccs1,KI-20227,1,False,0.9775,480.55,5.392,103.83,2,8,8,4,1,True
O=C1[C@@H]2[C@H]3CC[C@H](C3)[C@@H]2C(=O)N1C[C@@H]1CCCC[C@H]1CN1CCN(c2nsc3ccccc23)CC1,lurasidone,1,False,0.9775,492.69,4.256,56.75,0,6,5,7,0,True
CCc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]c1=O,edoxudine,1,False,0.9775,256.26,-1.26,104.55,3,5,3,2,0,True
O[C@]12CC[C@](c3nnc4c(Oc5ccccc5Cl)cccn43)(CC1)C2,BMS-770767,1,False,0.9769,355.83,4.122,59.65,1,4,3,5,0,True
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)[C@@H]2N[C@@H](COCCOC)O[C@H]([C@H]2C)[C@]1(C)O,dirithromycin,1,True,0.9769,835.09,2.202,196.33,5,16,12,4,2,False
COc1ccc2cc(OCC3(C(=O)O)CN(C(=O)c4ccc(F)cc4)C3)ccc2c1,PF-04418948,1,False,0.9766,409.41,3.593,76.07,1,4,6,4,0,True
Cc1cn([C@H]2O[C@@H](CO)[C@H](O)[C@H]2F)c(=O)[nH]c1=O,clevudine,1,False,0.9766,260.22,-1.566,104.55,3,5,2,2,0,True
C[C@@H](N)CCCC(C)(C)O,heptaminol,1,False,0.9765,145.25,1.275,46.25,2,2,4,0,0,True
C[C@@H](N[C@H]1CCCC[C@@H]1NC(=O)c1ccc(Cl)cc1)c1cccc2ccccc12,Calhex-231,1,False,0.9765,406.96,5.885,41.13,2,2,5,4,1,True
CC(C)(C[C@H]1CN(S(=O)(=O)c2cccc(C(F)(F)F)c2)c2cc(-c3cc(F)cc(OC(F)F)c3)ccc2O1)C(=O)O,cintirorgon,1,False,0.9764,603.54,6.57,93.14,1,5,8,4,2,False
CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)C)cc2)cc1,crystal-violet,1,True,0.9764,372.54,4.46,9.49,0,2,4,3,0,True
NC(=O)C1N=CN([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C1=O,mizoribine,1,False,0.9759,259.22,-3.85,145.68,4,7,3,2,0,True
COc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1cc(F)cc(-c3cccnc3)c1)CC2,SB-228357,1,False,0.9759,431.39,5.51,54.46,1,3,3,4,1,True
CSCC[C@H](N)C(=O)O,L-methionine,1,False,0.9757,149.22,0.151,63.32,2,3,4,0,0,True
CC(C)(S)[C@@H](N)C(=O)O,penicillamine-(D),1,False,0.9757,149.22,0.107,63.32,3,3,2,0,0,True
COc1cc2nc(N3CCN(C(=O)COc4c(OC)cccc4C(C)C)CC3)nc(N)c2cc1OC,Rec-15/2615,1,False,0.9754,495.58,3.089,112.27,1,9,8,4,0,True
O=C(CCN1CCN(C(=O)OCc2cc(Cl)cc(Cl)c2)CC1)c1ccc2[nH]c(=O)oc2c1,PF-8380,1,False,0.9753,478.33,3.955,95.85,1,6,6,4,0,True
CCC[C@@]1(CCc2ccccc2)CC(=O)[C@@H]([C@H](CC)c2cccc(NS(=O)(=O)c3ccc(C(F)(F)F)cn3)c2)C(=O)O1,tipranavir,1,False,0.9752,602.68,6.699,102.43,1,6,11,4,2,False
CC#CC[C@@H](C)[C@H](O)/C=C/[C@@H]1[C@H]2C/C(=C/CCCC(=O)O)C[C@H]2C[C@H]1O,iloprost,1,False,0.9752,360.49,3.541,77.76,3,3,8,2,0,True
CSc1nc2cc(Cl)c(Oc3cccc(Cl)c3Cl)cc2[nH]1,triclabendazole,1,False,0.9749,359.67,6.037,37.91,1,3,3,3,1,True
O=C(O)C1=CCNCC1,isoguvacine,1,False,0.9741,127.14,-0.009,49.33,2,2,1,1,0,True
Cc1cc(Nc2ccc(F)c(C[C@@]3(C(=O)O)CCN(Cc4cccc(Cl)c4F)[C@H](C)C3)n2)n[nH]1,LY3295668,1,False,0.9739,489.95,5.086,94.14,3,5,7,4,1,True
O=S1(=O)CCN(CN2CCS(=O)(=O)NC2)CN1,taurolidine,1,False,0.9738,284.36,-2.671,98.82,2,6,2,2,0,True
CCC(C)(C)C(=O)C(=O)N1CCC[C@H]1C(=O)OCCCc1cccnc1,GPI-1046,1,False,0.9736,360.45,2.554,76.57,0,5,8,2,0,True
CCC(C)(C)C(=O)C(=O)N1CCC[C@H]1C(=O)O,GM-1485,1,False,0.9733,241.29,1.067,74.68,1,3,4,1,0,True
COC(=O)OCOc1c2n(ccc1=O)N([C@@H]1c3ccccc3SCc3c1ccc(F)c3F)[C@@H]1COCCN1C2=O,baloxavir-marboxil,1,False,0.9729,571.56,3.391,99.54,0,9,4,6,1,True
CCCn1cnc2c1c(=O)n(CCCCC(C)=O)c(=O)n2C,propentofylline,1,False,0.9724,306.37,1.066,78.89,0,4,7,2,0,True
CN1CCCC1=O,N-methylpyrrolidone,1,False,0.9723,99.13,0.239,20.31,0,1,0,1,0,True
N#C[C@@H]1CCCN1C(=O)CN[C@@]12C[C@@H]3C[C@@H](C[C@@](O)(C3)C1)C2,vildagliptin,1,False,0.9721,303.41,1.174,76.36,2,4,3,5,0,True
O=C(CNc1cccc(Cl)c1)N[C@@H]1CCCN(c2ncnc3[nH]ccc23)C1,BTK-IN-1,1,False,0.9717,384.87,2.808,85.94,3,5,5,4,0,True
C[C@@]12C(=O)OC(=O)[C@]1(C)[C@H]1CC[C@@H]2O1,cantharidin,1,False,0.9712,196.2,0.644,52.6,0,4,0,3,0,True
Nc1ccc(/C=C/C(=O)NCc2cc3cc(-c4ccc(C(=O)N5CCC(F)(F)CC5)cc4)cc(-c4ccc(F)cc4)c3o2)cn1,KPT-9274,1,False,0.971,610.64,7.084,101.46,2,5,7,6,2,False
CC(=O)N[C@@H](CS)C(=O)O,acetylcysteine,1,False,0.9708,163.2,-0.494,66.4,3,3,3,0,0,True
C[C@H]1C[C@@H]2[C@H]([C@@H](O)C[C@@]3(C)[C@H]2CC[C@]3(O)C(=O)CO)[C@@]2(C)C=CC(=O)C=C12,methylprednisolone,1,False,0.9707,374.48,1.804,94.83,3,5,2,4,0,True
CN1C(=O)N(c2cc(Cl)cc(Cl)c2)C(=O)[C@]12CN(c1ccc(C(=O)O)cn1)C[C@H]2c1ccc(C#N)cc1,BMS-688521,1,False,0.9704,536.38,4.399,117.84,1,6,4,5,1,True
N#Cc1cc(NC(=O)C(=O)O)c(Cl)c(NC(=O)C(=O)O)c1,lodoxamide,1,False,0.97,311.64,0.258,156.59,4,5,2,1,0,True
O=C(N[C@@H](O)C(Cl)(Cl)Cl)N[C@H](O)C(Cl)(Cl)Cl,dicloralurea,1,False,0.9695,354.83,1.663,81.59,4,3,2,0,0,True
CCCCOc1c(OCCCC)c(=O)c1=O,squaric-acid-dibutyl-ester,1,False,0.9694,226.27,1.64,52.6,0,4,8,1,0,True
CC(=O)Oc1ccccc1C(=O)Oc1ccccc1C(=O)O,acetylsalicylsalicylic-acid,1,False,0.969,300.27,2.529,89.9,1,5,4,2,0,True
NC(=O)c1ccc(-c2nc(-c3ccccn3)c(-c3ccc4c(c3)OCCO4)[nH]2)cc1,D-4476,1,False,0.968,398.42,3.676,103.12,2,5,4,5,0,True
O=C(O)COC[C@H]1CC[C@H](COC(=O)N(c2ccccc2)c2ccc(Cl)cc2)CC1,ralinepag,1,False,0.968,431.92,5.522,76.07,1,4,8,3,1,True
N[C@@H](CSCCCO)C(=O)O,fudosteine,1,False,0.9672,179.24,-0.486,83.55,3,4,6,0,0,True
Nc1nc(=S)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2[nH]1,tioguanine,1,False,0.9671,299.31,-1.317,142.44,5,8,2,3,0,True
C[C@@H]1CN(Cc2ncccn2)C[C@H]1c1nc(=O)c2cnn(C3CCOCC3)c2[nH]1,PF-04447943,1,False,0.966,395.47,1.497,101.82,1,7,4,5,0,True
Cc1cc(Nc2ccc(S(F)(F)(F)(F)F)cc2)n2nc(C(C)(F)F)nc2n1,DSM265,1,False,0.9659,415.34,5.945,55.11,1,4,4,3,1,True
O=C(CN1C(=O)C2(CCCC2)NC[C@H]1c1cc(F)cc(F)c1)Nc1ccc2c(c1)C[C@@]1(C2)C(=O)Nc2ncccc21,MK-3207,1,False,0.9658,557.6,3.773,103.43,3,5,4,7,1,True
COc1ccc2cc([C@@H](C)C(=O)Oc3ccc(C(N)=S)cc3)ccc2c1,ATB-346,1,False,0.9654,365.45,4.192,61.55,1,4,5,3,0,True
O=C(O)CC[C@H]1CC[C@@](c2cc(F)ccc2F)(S(=O)(=O)c2ccc(Cl)cc2)CC1,MK-0752,1,False,0.9653,442.91,5.342,71.44,1,3,6,3,1,True
NS(=O)(=O)NCCNc1nonc1C(=Nc1ccc(F)c(Br)c1)NO,epacadostat,1,False,0.9651,438.24,0.233,167.76,5,8,7,2,0,True
O=c1nc[nH]c2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,inosine,1,False,0.965,268.23,-2.269,133.49,4,7,2,3,0,True
CC(C)(F)C[C@H](N[C@@H](c1ccc(-c2ccc(S(C)(=O)=O)cc2)cc1)C(F)(F)F)C(=O)NC1(C#N)CC1,odanacatib,1,False,0.9642,525.57,4.629,99.06,2,5,9,3,1,True
CCC(C)(C)O,amylene-hydrate,1,False,0.9641,88.15,1.167,20.23,1,1,1,0,0,True
CC[C@H](Oc1ccc(Cl)cc1)C(=O)O[C@H]1C[C@H]2CC[C@@H](C1)N2C,SM-21,1,False,0.9635,337.85,3.666,38.77,0,4,5,3,0,True
O=C(O[C@H]1C[N@]2CC[C@@H]1CC2)N(Cc1cc(F)c(F)c(F)c1)c1cccc(F)c1,tarafenacin,1,False,0.9635,408.4,4.48,32.78,0,3,4,5,0,True
CN1CC(=O)N=C1NC(=O)Nc1cccc(Cl)c1,fenobam,1,False,0.9633,266.69,1.289,73.8,2,3,1,2,0,True
CCCCCCCCCCC[C@@H](N=O)c1cc(C)ccc1O,1E-1-(2-hydroxy-5-methylphenyl)-1-dodecanone-oxime,1,False,0.9624,305.46,6.429,49.66,1,3,12,1,1,True
Cc1cn([C@H]2C=C[C@@H](CO)O2)c(=O)[nH]c1=O,stavudine,1,False,0.9611,224.22,-0.709,84.32,2,4,2,2,0,True
CN(C)Cc1cccc(N/C(=C2\C(=O)Nc3cc(C(N)=O)ccc32)c2ccccc2)c1,BIX-02188,1,False,0.9609,412.49,3.78,87.46,3,4,6,4,0,True
O=C1CCc2c(Oc3ccc4c(c3)[C@@H]3[C@H](O4)[C@H]3c3nc4ccc(C(F)(F)F)cc4[nH]3)ccnc2N1,lifirafenib,1,False,0.9597,478.43,5.296,89.13,2,5,3,7,1,True
CC[C@@H](C(=O)O)[C@@H]1O[C@@H]([C@@H](C)[C@H](O)[C@H](C)C(=O)[C@H](CC)[C@H]2O[C@]3(C=C[C@@H](O)[C@]4(CC[C@@](C)([C@H]5CC[C@](O)(CC)[C@H](C)O5)O4)O3)[C@H](C)C[C@@H]2C)[C@@H](C)C[C@H]1C,narasin,1,False,0.9596,765.04,6.434,161.21,4,10,12,5,2,False
O=C(O)C1CCC(c2cc3cccnc3c(-c3cccc(F)c3)n2)CC1,"trans-4-[8-(3-fluorophenyl)-1,7-naphthyridin-6-yl]cyclohexanecarboxylic-acid",1,False,0.9588,350.39,4.794,63.08,1,3,3,4,0,True
CNc1ncc2cc(-c3cc(NC(=O)NCCC(C)(C)C)c(F)cc3C)c(C)nc2n1,LY3009120,1,False,0.9588,424.52,5.047,91.83,3,5,5,3,1,True
O=C(O)C1=CCCNC1,guvacine,1,False,0.9587,127.14,-0.009,49.33,2,2,1,1,0,True
