smiles,name,moa,clinical_phase,rf_p_path,rf_p_gut,rf_S,rf_rank,dmpnn_p_path,dmpnn_p_gut,dmpnn_S,dmpnn_rank,chemeleon_frozen_p_path,chemeleon_frozen_p_gut,chemeleon_frozen_S,chemeleon_frozen_rank,molformer_p_path,molformer_p_gut,molformer_S,molformer_rank,dmpnn_rdkit_p_path,dmpnn_rdkit_p_gut,dmpnn_rdkit_S,dmpnn_rdkit_rank,MW,LogP,TPSA,n_rings,n_aromatic_rings,n_rotatable,n_HBA,n_HBD,formal_charge,n_heavy_atoms,fraction_sp3,n_heteroatoms,has_phosphate,has_sulfate
COC(F)(F)C(Cl)Cl,methoxyflurane,membrane permeability inhibitor,Launched,0.17976192740804,0.1641439192462795,0.1502551001120191,3885,2.8e-05,0.693597,9e-06,6307,4e-05,0.025451,3.9e-05,6709,0.22353594,0.0005094031,0.2234220700992025,933,0.1085489944,0.01785600454,0.1066107430631811,3415,164.966,2.0293,9.23,0,0,2,1,0,0,8,1.0,5,0,0
O=P(O)(O)O[C@H]1[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H]1OP(=O)(O)O,hexasodium-phytate,,Phase 2,0.1614230837334904,0.0692558916536121,0.1502435841360519,3886,0.997617,3e-06,0.997614,13,0.006046,2.9e-05,0.006046,6216,0.008509741,0.0015085175,0.008496903906781,3295,0.3508483768,0.01934280188,0.344061986157638,359,660.0300000000004,-3.132600000000001,400.56000000000006,1,0,12,12,12,0,36,1.0,30,1,0
O=C1c2cc(-c3ccc(OC(F)(F)F)cc3)ccc2OCCN1Cc1ncccn1,eleclazine,late sodium current inhibitor,Phase 3,0.1954300153532093,0.2312651753983072,0.1502338585744555,3887,0.00108,0.005192,0.001074,4095,0.068754,0.037297,0.06619,3709,0.007822566,0.08902132,0.0071261908488928,3441,0.123021526,0.2381404012,0.0937251304421237,3741,415.3710000000002,4.0770000000000035,64.55000000000001,4,3,4,5,0,0,30,0.19047619047619047,9,0,0
COc1cc2nc(C3CC3)nc(N3CCN(c4ccccc4OC)CC3)c2cc1OC,ML314,neurotensin agonist,Preclinical,0.1788258440082047,0.1601262367695801,0.1501911345700269,3888,1.1e-05,0.019981,1.1e-05,6251,0.032568,0.064854,0.030456,5003,0.005197323,0.2633564,0.0038285747250828,3960,0.0373917177999999,0.1635549914,0.0312761157167897,5893,420.51300000000026,3.859600000000003,59.95000000000002,5,3,6,7,0,0,31,0.4166666666666667,7,0,0
FC(F)(F)c1ccc(CNc2ccc(Cc3c[nH]c4ncc(Cl)cc34)cn2)cn1,pexidartinib,tyrosine kinase inhibitor,Launched,0.1910153314815172,0.2137449945252098,0.1501867604997692,3889,7.6e-05,0.809484,1.4e-05,6201,0.298937,0.138007,0.257682,1032,0.0414434,0.05165895,0.03930247747157,2077,0.631186834,0.1486275006,0.5373751124509529,43,417.82200000000006,5.228000000000002,66.49000000000001,4,4,5,4,2,0,29,0.15,9,0,0
C[C@@H](C(=O)O)c1ccc2c(c1)[nH]c1ccc(Cl)cc12,carprofen,cyclooxygenase inhibitor,Launched,0.1889568213628882,0.2053451166005234,0.1501554608476616,3890,0.377571,0.010729,0.37352,674,0.072797,0.039617,0.069913,3613,0.0012994973,0.0055059833,0.0012923422895678,4792,0.15808962,0.0451330261999999,0.1509545570385919,2436,273.719,4.162600000000002,53.089999999999996,3,3,2,1,2,0,19,0.13333333333333333,4,0,0
O=C(c1ccc(/C=C/c2[nH]nc3ccccc23)cc1)N1CCNCC1,KW-2449,Abl kinase inhibitor|Aurora kinase inhibitor|FLT3 inhibitor,Phase 1,0.1786971028588691,0.1599065773057424,0.1501222607662551,3891,0.003658,0.005188,0.003639,3242,0.136762,0.07675,0.126266,2435,0.00035789798,0.003981247,0.0003564730997408,5633,0.062698253,0.0213395423,0.0613603009779704,4767,332.40700000000015,2.7787000000000006,61.02,4,3,3,3,2,0,25,0.2,5,0,0
O=C(O)c1ccccc1Nc1cccc(OCc2ccc3ccccc3n2)c1,SR-2640,leukotriene receptor antagonist,Phase 2,0.1896272036947024,0.2084561629153418,0.1500982444281388,3892,0.008447,0.031339,0.008183,2717,0.07118,0.103333,0.063825,3792,0.0003764523,0.004878669,0.000374615713834,5596,0.192735082,0.201329896,0.1539317479853885,2385,370.408,5.255600000000004,71.45,4,4,6,4,2,0,28,0.043478260869565216,5,0,0
CSc1nc2ccc3nc(NC(=O)C(c4ccccc4)c4ccccc4)sc3c2s1,Gue-1654,oxoeicosanoid receptor modulator,Preclinical,0.1923655209697704,0.2200280551932429,0.1500397095045568,3893,0.003221,0.015603,0.003171,3341,0.062367,0.103957,0.055884,4035,0.002906898,0.05878745,0.0027360088791699,4226,0.0410714858,0.337093506,0.0272265546550487,6045,447.6100000000001,6.398500000000004,54.88,5,5,5,6,1,0,30,0.08695652173913043,7,0,0
Cc1cnc(-c2ccccc2C(C)C)nc1NCc1ccc(-n2ccnn2)cc1,ML323,ubiquitin specific protease inhibitor,Preclinical,0.1936256025081631,0.2251119107860472,0.1500381731504508,3894,0.752357,0.195271,0.605444,448,0.065618,0.064001,0.061418,3869,0.043145955,0.004802074,0.0429387649312893,2007,0.187825596,0.26527535,0.1380000952821414,2665,384.487,4.768220000000003,68.52000000000001,4,4,6,5,1,0,29,0.21739130434782608,6,0,0
