smiles,name,moa,clinical_phase,rf_p_path,rf_p_gut,rf_S,rf_rank,dmpnn_p_path,dmpnn_p_gut,dmpnn_S,dmpnn_rank,chemeleon_frozen_p_path,chemeleon_frozen_p_gut,chemeleon_frozen_S,chemeleon_frozen_rank,molformer_p_path,molformer_p_gut,molformer_S,molformer_rank,dmpnn_rdkit_p_path,dmpnn_rdkit_p_gut,dmpnn_rdkit_S,dmpnn_rdkit_rank,MW,LogP,TPSA,n_rings,n_aromatic_rings,n_rotatable,n_HBA,n_HBD,formal_charge,n_heavy_atoms,fraction_sp3,n_heteroatoms,has_phosphate,has_sulfate
CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3OC(CN)=CC[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O,sisomicin,protein synthesis inhibitor,Launched,0.8376349410400302,0.1852135593026142,0.6824935922137708,1,0.957508,0.049274,0.910328,164,0.798205,0.015652,0.785712,40,0.957528,0.016605329,0.941627932533288,46,0.52268598,0.288912148,0.3716756507887149,262,447.53300000000024,-3.851499999999994,213.72,3,0,6,12,8,0,31,0.8947368421052632,12,0,0
O=c1ccc2ncc(=O)n3c2n1C[C@H]3CN1CCC(NCc2cc3c(cn2)OCCC3)CC1,gepotidacin,topoisomerase inhibitor,Phase 2,0.8635994662325978,0.218581718203548,0.6748324110638095,2,0.987958,0.327631,0.664272,385,0.675638,0.044142,0.645813,111,0.99198496,0.010791986,0.9812794721994696,8,0.798248404,0.15731662846,0.6726706564091439,9,448.5270000000003,1.0870999999999995,94.28,6,3,5,7,1,0,33,0.5,9,0,0
CCN[C@@H]1C[C@H](N)[C@@H](O[C@H]2OC(CN)=CC[C@H]2N)[C@H](O)[C@H]1O[C@H]1OC[C@](C)(O)[C@H](NC)[C@H]1O,netilmicin,protein synthesis inhibitor,Launched,0.8478987045242651,0.2076958997604552,0.6717936201823734,3,0.947231,0.053576,0.896482,178,0.874271,0.014078,0.861963,22,0.9806184,0.021651343,0.9593866946694888,25,0.568628522,0.2595951194,0.4210153329371645,160,475.58700000000016,-3.200699999999992,199.72999999999996,3,0,8,12,8,0,33,0.9047619047619048,12,0,0
CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H]([C@@H](C)NC)CC[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O,gentamycin,bacterial 50S ribosomal subunit inhibitor,Launched,0.7978954125433579,0.1690317219665006,0.6630257770119826,4,0.710623,0.112037,0.631007,415,0.704855,0.018829,0.691583,76,0.829428,0.009362668,0.821662341006096,161,0.446902632,0.2778756848,0.3227192570940776,473,477.60300000000035,-3.327499999999995,199.73,3,0,7,12,8,0,33,1.0,12,0,0
Cc1c(CN(C)C(=O)/C=C/c2cnc3c(c2)CCC(=O)N3)oc2ccccc12,AFN-1252,FABI inhibitor,Phase 2,0.9174482142465524,0.2895998159007536,0.6517553803022758,5,0.924134,0.004622,0.919863,154,0.809194,0.146569,0.690591,77,0.939481,0.031388763,0.9099918535479968,77,0.690941146,0.211458716,0.5448356184352715,40,375.42800000000005,3.6927200000000022,75.44,4,3,4,4,1,0,28,0.22727272727272727,6,0,0
NC(=O)[C@@H]1CC[C@@H]2CN1C(=O)N2OS(=O)(=O)O,avibactam,beta lactamase inhibitor,Launched,0.7765080789428301,0.2023510556915105,0.6193808494157618,6,0.976143,0.0047,0.971555,85,0.603814,0.0297,0.585881,167,0.9684363,0.0010020431,0.9674658850877956,16,0.3715665519999999,0.0309232623999999,0.3600765020134407,304,265.247,-1.5252999999999983,130.23999999999998,2,0,3,5,2,0,17,0.7142857142857143,10,0,1
C[C@H]1[C@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O,aztreonam,bacterial cell wall synthesis inhibitor,Launched,0.957872175215905,0.3722630776380596,0.6012917312861694,7,0.998377,0.02201,0.976403,70,0.779863,0.109575,0.69441,71,0.9600284,0.19178374,0.7759105629417841,208,0.7371505599999999,0.679104452,0.2365483329097068,1165,435.44000000000017,-1.1724999999999979,201.57999999999998,2,1,7,10,4,0,28,0.46153846153846156,15,0,1
C[C@H](N)C(=O)N[C@@H](C)P(=O)(O)O,alafosfalin,bacterial cell wall synthesis inhibitor,Phase 1,0.7252563050752174,0.1725772367461856,0.6000935760125878,8,0.941304,0.001791,0.939619,130,0.889348,0.000272,0.889106,16,0.99648225,0.00027652175,0.996206700984386,2,0.4743138919999999,0.0251865344,0.4623675688427441,97,196.14299999999997,-1.0265,112.65,0,0,3,3,4,0,12,0.8,7,1,0
O=C(NC1CCNCC1)[C@@H]1CC[C@@H]2CN1C(=O)N2OS(=O)(=O)O,relebactam,beta lactamase inhibitor,Launched,0.8020913041880177,0.2618931396074014,0.5920290942824226,9,0.898667,0.005121,0.894065,180,0.68811,0.024785,0.671055,94,0.95787,0.0014329527,0.956497417597251,30,0.302124812,0.0444749585999999,0.2886878234942672,676,348.3810000000001,-1.142399999999997,128.28,3,0,4,6,3,0,23,0.8333333333333334,11,0,1
CNC[C@@H]1CC[C@@H](N)[C@@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3OC[C@](C)(O)[C@H](NC)[C@H]3O)[C@H](N)C[C@@H]2N)O1,micronomicin,protein synthesis inhibitor,Launched,0.7119786711893836,0.1731122450490335,0.5887264449927618,10,0.985137,0.082406,0.903956,170,0.836913,0.010545,0.828088,27,0.7145436,0.0043203044,0.7114565541409281,269,0.43857086,0.262079532,0.3236304142623625,468,463.57600000000025,-3.715999999999994,199.73000000000002,3,0,7,12,8,0,32,1.0,12,0,0
O=C1Nc2cc(Br)ccc2/C1=C1Nc2ccccc2C/1=N/O,GSK-3-inhibitor-IX,glycogen synthase kinase inhibitor|lipoxygenase inhibitor,Preclinical,0.7049861270754053,0.1785487587168258,0.5791117291735093,11,0.994107,0.022357,0.971882,84,0.689184,0.154401,0.582774,171,0.9770158,0.17767535,0.80342417577947,178,0.58321229,0.4253878,0.335120897023938,400,356.17900000000003,3.4163000000000023,73.72,4,2,0,4,3,0,22,0.0,6,0,0
Cn1c(=O)c2c(ncn2CCO)n(C)c1=O,etofylline,adenosine receptor antagonist,Launched,0.6021134459814023,0.0476964440894008,0.5733947756696738,12,0.979179,0.005035,0.974248,74,0.150336,0.015182,0.148054,2102,0.12399112,0.003961525,0.123499926078342,1296,0.1652383539999999,0.03631809688,0.1592372114511362,2282,224.21999999999997,-1.5739999999999998,82.04999999999998,2,2,2,4,1,0,16,0.4444444444444444,7,0,0
Cn1c(=O)c2c(ncn2CC(=O)O)n(C)c1=O,acefylline,adenosine receptor agonist,Launched,0.5864426974234697,0.0494353989147858,0.5574516687356774,13,0.997835,0.007675,0.990176,30,0.324016,0.024946,0.315933,740,0.7358303,0.008846915,0.7293204718814755,246,0.1953512124,0.065459246,0.1825636693311101,1880,238.20299999999997,-1.4816999999999998,99.12,2,2,2,4,1,0,17,0.3333333333333333,8,0,0
C=C[C@]1(C)C[C@@H](OC(=O)CSC(C)(C)CNC(=O)[C@H](N)C(C)C)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O,valnemulin,bacterial 50S ribosomal subunit inhibitor,Launched,0.7386033266164374,0.2546306007117355,0.5505323178724076,14,0.746757,0.0241,0.72876,335,0.528026,0.084767,0.483266,292,0.5536821,0.22607264,0.428509725932256,571,0.455018606,0.417804038,0.2649099950480689,874,564.8330000000004,4.5042000000000035,118.72000000000001,3,0,9,7,3,0,39,0.8387096774193549,8,0,0
NC(=O)OC[C@@H]1[C@H](NC(=O)/C(=N\OCC(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O,carumonam,bacterial cell wall synthesis inhibitor,Launched,0.9262071394293528,0.4109441980092679,0.5455876893260991,15,0.999718,0.011428,0.988294,38,0.877052,0.215628,0.687936,80,0.993867,0.13761939,0.85709162971887,133,0.790849052,0.6938614080000001,0.2421094152638147,1107,466.41000000000014,-2.8756999999999975,253.9,2,1,9,12,5,0,30,0.3333333333333333,18,0,1
CCCCCCCCN=c1ccn(CCCCCCCCCCn2ccc(=NCCCCCCCC)cc2)cc1,octenidine,membrane integrity inhibitor,Launched,0.8206016197441434,0.3355667407168116,0.5452350087796647,16,0.841993,0.966076,0.028564,1953,0.792782,0.438879,0.444846,369,0.99014217,0.056094058,0.9346010776877742,55,0.5851618759999999,0.429541252,0.3338107111602911,408,550.9200000000006,9.633000000000001,34.58,2,2,25,2,0,0,40,0.7222222222222222,4,0,0
CC(C)[C@@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@H]4C[C@@H](NCCCNCCCCNCCCN)CC[C@]4(C)[C@H]3CC[C@]12C)OS(=O)(=O)O,trodusquemine,tyrosine phosphatase inhibitor,Phase 1,0.6573899550689619,0.1920830589914055,0.5311164815490931,17,0.531853,0.341016,0.350483,701,0.125401,0.065712,0.11716,2600,0.36865374,0.0012347467,0.3681985460110923,641,0.423170538,0.102304148,0.3798784366512084,233,685.0730000000004,5.532900000000006,145.94,4,0,20,8,6,0,47,1.0,10,0,1
Nc1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1,azacitidine,DNA methyltransferase inhibitor,Launched,0.590693807784817,0.1286791963553808,0.514683803306967,18,0.854531,0.007453,0.848162,226,0.519054,0.004425,0.516758,245,0.87169766,0.0023439797,0.8696544183804226,124,0.328528416,0.0580309994,0.3094635836882211,550,244.207,-3.1679999999999997,143.72000000000003,2,1,2,8,4,0,17,0.625,9,0,0
NCCONC(=O)[C@@H]1CC[C@@H]2CN1C(=O)N2OS(=O)(=O)O,OP-0595,beta lactamase inhibitor,Preclinical,0.6715947274535103,0.2414976670558253,0.5094061675664947,19,0.635301,0.005696,0.631682,414,0.780481,0.042186,0.747556,50,0.9925012,0.0008203549,0.991686996777324,4,0.2960757660000001,0.0291166031,0.2874550454338496,684,324.315,-2.0040999999999967,151.49999999999997,2,0,6,7,3,0,21,0.7777777777777778,12,0,1
CC(C)Cn1cnc2c1c(=O)n(C)c(=O)n2C,isbufylline,phosphodiesterase inhibitor,Phase 2,0.5680134853122487,0.1038481697332261,0.5090263244787809,20,0.944245,0.007332,0.937322,133,0.093453,0.009722,0.092544,3049,0.77298033,0.0013251498,0.7719560152702966,211,0.0877014358,0.0245636346,0.0855471697771134,3957,236.27499999999998,0.08969999999999989,61.82,2,2,2,3,0,0,17,0.5454545454545454,6,0,0
CC(C)(C)[C@H]1CCc2c(sc(NC(=O)c3ccco3)c2C(=O)O)C1,CaCCinh-A01,calcium-activated chloride channel inhibitor,Preclinical,0.6380319330569091,0.2181292089305309,0.498858532226788,21,0.017388,0.241266,0.013193,2417,0.630844,0.439911,0.353329,619,0.7584125,0.03949225,0.728461083946875,249,0.44892881,0.2979904489999999,0.3151523123390644,525,347.43600000000015,4.442600000000003,79.54,3,2,3,4,2,0,24,0.4444444444444444,6,0,0
Cc1nc(Cn2cnc3c2c(=O)n(C)c(=O)n3C)no1,CH-170,,Phase 1,0.5292058677807775,0.0715633027166704,0.4913341480653434,22,0.001408,0.005307,0.0014,3914,0.365813,0.007654,0.363013,586,0.81199294,0.013391096,0.8011194645891377,181,0.207569863,0.0683835186,0.19337550541274,1724,276.256,-0.8265799999999994,100.74000000000001,3,3,2,6,0,0,20,0.36363636363636365,9,0,0
CCCCCCC[n+]1ccc(-c2cc[n+](CCCCCCC)cc2)cc1,DHBP,ryanodine receptor blocker,Preclinical,0.607233154098597,0.1952080122950484,0.4886963770873571,23,0.010617,0.335528,0.007054,2800,0.470554,0.50511,0.232872,1175,0.000285583,0.15288979,0.0002419202751024,5845,0.3242545,0.286228628,0.231443579342174,1229,354.58200000000016,5.869400000000007,7.76,2,2,13,0,0,2,26,0.5833333333333334,2,0,0
CC(C)[C@@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@H]4C[C@@H](NCCCNCCCCN)CC[C@]4(C)[C@H]3CC[C@]12C)OS(=O)(=O)O,squalamine,antiviral,Phase 3,0.607540688206489,0.1963790444352527,0.4882324284009629,24,0.434347,0.191892,0.350999,700,0.070054,0.068868,0.065229,3745,0.17603867,0.0018319774,0.1757161711350339,1081,0.3815233759999999,0.0987992145999999,0.3438291660996595,360,627.9770000000005,5.553200000000005,133.91,4,0,16,7,5,0,43,1.0,9,0,1
Cn1c(=O)c2c(ncn2CC2OCCO2)n(C)c1=O,doxofylline,adenosine receptor antagonist,Launched,0.5129814068397098,0.0488424521487663,0.4879261370229344,25,0.996516,0.006574,0.989964,31,0.766019,0.047055,0.729974,57,0.6772118,0.010113461,0.6703628448719602,299,0.176288678,0.0723073808,0.1635417054291254,2200,266.25699999999995,-1.1933999999999994,80.28,3,2,2,5,0,0,19,0.5454545454545454,8,0,0
Cn1c(=O)c2c(ncn2C[C@@H](O)CO)n(C)c1=O,dyphylline,adenosine receptor antagonist|phosphodiesterase inhibitor,Launched,0.5490338852764076,0.1151856889587818,0.4857930389391278,26,0.988594,0.00351,0.985124,47,0.084051,0.010437,0.083174,3272,0.46268222,0.004930814,0.4604008200320729,535,0.251510316,0.057788328,0.2369759553636083,1162,254.24599999999998,-2.213099999999999,102.28,2,2,3,5,2,0,18,0.5,8,0,0
Nc1ncnc2c1ncn2[C@@H]1O[C@H](C[C@@H](N)CC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,sinefungin,DNA methyltransferase inhibitor|RNA synthesis inhibitor,Preclinical,0.5375205107093447,0.1007821067513656,0.4833480612179869,27,0.026214,0.005769,0.026063,2002,0.473803,0.023962,0.46245,335,0.44244015,0.001794417,0.4416462278733574,554,0.551411416,0.3985941824,0.3316220334734537,417,381.39300000000003,-2.062799999999997,208.64999999999998,3,2,7,10,6,0,27,0.6,12,0,0
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,adenosine-phosphate,adenosine receptor agonist,Launched,0.5148413582652992,0.0636419260088195,0.4820758626362989,28,0.990956,0.001761,0.989211,34,0.436234,0.000483,0.436024,392,0.5096825,0.0045700315,0.5073532349200013,480,0.3142046286,0.0100705191234,0.3110404248790229,542,347.224,-1.8630000000000009,186.07,3,2,4,9,5,0,23,0.5,13,1,0
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,adenosine,adenosine receptor agonist,Launched,0.5036850884086165,0.0455980223504318,0.4807180444897811,29,0.144588,0.00562,0.143775,1087,0.709843,0.001207,0.708986,62,0.77549297,0.0032316225,0.7729868694695562,210,0.2016759025999999,0.06353531552,0.1888623604955281,1785,267.245,-1.9800000000000006,139.54000000000002,3,2,2,8,4,0,19,0.5,9,0,0
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,vidarabine,antiviral,Launched,0.5036850884086165,0.0455980223504318,0.4807180444897811,30,0.194159,0.00574,0.193044,942,0.792772,0.001987,0.791197,39,0.6640743,0.0026332615,0.6623256187126706,305,0.2015638656,0.06353871708,0.1887567561700904,1788,267.245,-1.9800000000000006,139.54000000000002,3,2,2,8,4,0,19,0.5,9,0,0
C[C@@H](O)Cn1cnc2c1c(=O)n(C)c(=O)n2C,Proxyphylline,,Launched,0.5403489972817472,0.112898203736477,0.4793445660978314,31,0.993225,0.00644,0.986829,44,0.03253,0.010339,0.032194,4931,0.9797871,0.00402113,0.975847248698577,10,0.1435869639999999,0.0404135134,0.1377841103063206,2667,238.24699999999999,-1.1855,82.05000000000001,2,2,2,4,1,0,17,0.5,7,0,0
CC(C)[C@@H](N)C(=O)O,L-valine,,Phase 2,0.4956264561531945,0.039133486167845,0.4762308650869054,32,0.908929,0.00566,0.903785,171,0.210497,0.000119,0.210472,1382,0.93328583,0.00030117691,0.933004745857574,56,0.2063160019999999,0.0089964218999999,0.2044598962012867,1538,117.14799999999998,0.05430000000000007,63.32000000000001,0,0,2,2,2,0,8,0.8,3,0,0
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2O)[C@@H](O)[C@H]1O,diadenosine-tetraphosphate,adenosine kinase inhibitor,Phase 1,0.5094088477682499,0.0707445294098428,0.4733709585556748,33,0.99991,6.1e-05,0.999848,1,0.192076,0.000334,0.192012,1565,0.2649135,0.0030401524,0.2641081225871826,828,0.428950776,0.050569427816,0.4072589806964508,192,836.391,-2.4463999999999992,433.97,6,4,14,23,10,0,53,0.5,33,1,0
CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,benzyldimethylhexadecylammonium,cationic surfactant,Preclinical,0.6861725100652548,0.3128966877178528,0.4714714044627916,34,0.524282,0.626856,0.195633,936,0.581882,0.3966,0.351107,624,0.93844545,0.038726218,0.902103006922192,89,0.43188015,0.2240189972,0.3351307918864144,399,360.65000000000003,7.744300000000009,0.0,1,1,17,0,0,1,26,0.76,1,0,0
CCCCCCCC[N+](C)(C)Cc1ccccc1,benzyldimethyloctylammonium,,Preclinical,0.6861725100652548,0.3128966877178528,0.4714714044627916,35,0.027776,0.074985,0.025693,2014,0.157265,0.431674,0.089378,3116,0.002055743,0.002084572,0.002051457655703,4451,0.121498713,0.0385656690599999,0.116813033843226,3167,248.43400000000003,4.623500000000004,0.0,1,1,9,0,0,1,18,0.6470588235294118,1,0,0
CCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,benzalkonium,cationic surfactant,Launched,0.6861725100652548,0.3128966877178528,0.4714714044627916,36,0.514112,0.351028,0.333645,726,0.511659,0.411205,0.301263,809,0.876548,0.011931375,0.8660895771065,129,0.29279436,0.12950392286,0.2548763417887169,970,318.56899999999996,6.574000000000007,0.0,1,1,14,0,0,1,23,0.7272727272727273,1,0,0
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,adenosine-triphosphate,adenosine receptor agonist,Phase 2,0.5117582382251885,0.0795556908265596,0.4710449580470005,37,0.999721,0.000156,0.999565,3,0.086805,0.000183,0.08679,3180,0.4720752,0.0029099914,0.4707014652278466,520,0.3496121834,0.0294363031559999,0.3393208931824065,385,507.1820000000001,-1.629000000000001,279.13,3,2,8,13,7,0,31,0.5,21,1,0
COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC,trimetrexate,dihydrofolate reductase inhibitor,Phase 3,0.7128746582885053,0.344257907302748,0.4674619202569428,38,0.952596,0.401025,0.570581,483,0.562929,0.061444,0.52834,222,0.90905315,0.036402915,0.8759609654500677,117,0.3492692779999999,0.1646786216,0.2917520947317327,658,369.4250000000001,2.740520000000001,117.54,3,3,6,8,3,0,27,0.2631578947368421,8,0,0
CO[C@@]12[C@H](COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1C[C@@H]1N[C@@H]12,mitomycin-C,DNA alkylating agent|DNA synthesis inhibitor,Launched,0.6759334678533948,0.3125474644743002,0.4646721763224953,39,0.999245,0.028157,0.971109,86,0.615636,0.830263,0.104496,2817,0.96563774,0.97546625,0.023690714903725,2464,0.711843426,0.3734509079999999,0.4460048522064692,121,334.33200000000005,-1.6511999999999971,146.89000000000001,4,0,3,8,3,0,24,0.5333333333333333,9,0,0
NC[C@H]1OB(O)c2c(OCCCO)cccc21,epetraborole,leucyl-tRNA synthetase inhibitor,Preclinical,0.5561713902799453,0.1671857939097353,0.4631874348461113,40,0.88907,0.007203,0.882666,194,0.631971,0.046268,0.602731,147,0.9920745,0.0022306403,0.9898615386396976,5,0.23092144,0.0091391660439999,0.2288110106167204,1257,237.06399999999996,-0.8346999999999998,84.94000000000001,2,1,5,5,3,0,17,0.45454545454545453,6,0,0
Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1,cytarabine,ribonucleotide reductase inhibitor,Launched,0.5073209430582362,0.0904718400429683,0.4614226838474236,41,0.950637,0.008709,0.942357,124,0.518016,0.006909,0.514437,247,0.62360895,0.0033938193,0.6214925339098373,352,0.324137104,0.052571693,0.3070966676786029,567,243.21900000000002,-2.563,130.82999999999998,2,1,2,7,4,0,17,0.5555555555555556,8,0,0
Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1,cytidine,,Launched,0.5073209430582362,0.0904718400429683,0.4614226838474236,42,0.830851,0.008486,0.8238,250,0.474816,0.005186,0.472354,316,0.69069976,0.004542376,0.6875623419869703,289,0.324441202,0.05256667,0.3073864084000626,564,243.21900000000002,-2.563,130.82999999999998,2,1,2,7,4,0,17,0.5555555555555556,8,0,0
CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H](CN)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](N)C[C@H]2NC(=O)[C@@H](O)CN)OC[C@]1(C)O,isepamicin,protein synthesis inhibitor,Launched,0.827383065166146,0.4436908640775301,0.4602807580594633,43,0.996668,0.022996,0.973749,78,0.41567,0.01,0.411514,449,0.920189,0.009035436,0.911874691182596,74,0.487272482,0.5284243780000001,0.2297858237826337,1247,569.6090000000002,-7.5244000000000115,297.72,3,0,9,16,12,0,39,0.9545454545454546,17,0,0
Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,gemcitabine,ribonucleotide reductase inhibitor,Launched,0.5422807303732405,0.1522560127208597,0.4597152285912553,44,0.997119,0.024676,0.972515,82,0.520332,0.07116,0.483305,291,0.9109606,0.054215156,0.8615727289611463,131,0.308431004,0.145155529,0.2636605384543789,890,263.2,-1.2886,110.60000000000001,2,1,2,6,3,0,18,0.5555555555555556,9,0,0
Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,2-chloroadenosine,adenosine receptor agonist,Preclinical,0.512477556389647,0.1070242569468299,0.4576300267151179,45,0.973275,0.0062,0.967241,89,0.692788,0.004027,0.689998,78,0.93542415,0.01383239,0.9224849983417814,61,0.3483827419999999,0.1539373388,0.2947536298126729,641,301.69,-1.3266000000000007,139.54000000000002,3,2,2,8,4,0,20,0.5,10,0,0
C[S+](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,ademetionine,methyltransferase stimulant|phosphodiesterase inhibitor,Launched,0.5600529190764812,0.1873339646639065,0.45513598532429,46,0.06512,0.006612,0.064689,1501,0.332102,0.043233,0.317744,731,0.18302353,0.0060113403,0.1819233132782627,1056,0.5904267599999999,0.3220921425999999,0.400254939823224,201,399.45300000000015,-1.9221999999999972,182.63,3,2,7,9,5,1,27,0.6,12,0,0
CC(C)C[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](C)NC(=O)[C@H](CO)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](C)NC(=O)CNC(=O)[C@@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)[C@@H](N)Cc1ccccc1)[C@@H](C)O)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)O,orphanin-fq,opioid receptor agonist,Phase 1,0.6624252353778297,0.3172783968728317,0.4522520186490437,47,0.044703,0.74297,0.01149,2505,0.54771,0.049827,0.520419,236,0.62844336,0.016837966,0.6178616520713942,353,0.552337574,0.4373693478,0.3107620494941858,543,1809.0680000000004,-11.060959999999909,831.4,2,2,62,26,30,0,128,0.5822784810126582,49,0,0
CC(C)c1ccc(NC(=O)Cn2cnc3c2c(=O)n(C)c(=O)n3C)cc1,HC-030031,TRPA1 channel blocker,Phase 1,0.4832366718256371,0.0738542109287336,0.4475476087361272,48,0.351247,0.014501,0.346153,706,0.027078,0.059073,0.025479,5231,0.17744324,0.0104336785,0.1755918542818416,1083,0.09618382686,0.1321214471,0.0834758804676409,4016,355.3980000000001,1.1957999999999995,90.92000000000002,3,3,4,4,1,0,26,0.3333333333333333,8,0,0
N[C@@H](Cc1ccc(B(O)O)cc1)C(=O)O,boronophenylalanine,,Phase 2,0.4797019285240846,0.0677718011431928,0.4471916648161442,49,0.999932,0.003408,0.996524,15,0.809236,0.001353,0.808141,32,0.6278973,0.001185692,0.6271528071945685,345,0.307481228,0.02664398564,0.2992887025765984,612,209.01,-1.6792,103.78000000000002,1,1,4,4,4,0,15,0.2222222222222222,6,0,0
CSCC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1ccccc1)N(C)C(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](N)CCCNC(=N)N)C(N)=O,antagonist-g,neuropeptide receptor antagonist,Phase 1,0.6554301233383238,0.3212173211140262,0.4448946149421517,50,0.204931,0.307622,0.14189,1092,0.26256,0.148331,0.223614,1243,0.23002191,0.019113913,0.2256252912241661,921,0.290538188,0.309125689,0.2007253704536884,1598,951.2119999999994,2.3183700000000087,299.29999999999995,5,5,26,9,11,0,68,0.40816326530612246,19,0,0
COc1ccccc1CN[C@H]1CCCN[C@H]1c1ccccc1,CP-99994,tachykinin antagonist,Phase 2,0.5317367759522493,0.1765969912106564,0.4378336612030272,51,2e-05,0.020104,2e-05,6121,0.128039,0.022546,0.125152,2453,0.08810666,0.012006915,0.0870487708224461,1524,0.0533875223,0.02145247746,0.052242227681214,5136,296.414,3.278100000000001,33.29,3,2,5,3,2,0,22,0.3684210526315789,3,0,0
Nc1nc(=O)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2[nH]1,guanosine,,Preclinical,0.4834837038290567,0.0985657238322476,0.4358287826000497,52,0.051925,0.009524,0.05143,1615,0.737827,0.006968,0.732686,56,0.94151527,0.0016903187,0.9399238091327834,48,0.321718314,0.0837845016,0.2947633054059177,640,283.244,-2.6866999999999996,159.51000000000002,3,2,2,8,5,0,20,0.5,10,0,0
CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](N)CC(=O)O)C(C)C)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N1CCC[C@H]1C(=O)O,TXA127,angiotensin receptor agonist,Phase 2,0.6169141171992704,0.2953584103010793,0.4347033442510001,53,0.098415,0.366012,0.062394,1520,0.453477,0.141589,0.389269,506,0.004038233,0.030348124,0.0039156802041751,3939,0.293772172,0.724924412,0.0808095529509371,4101,899.0199999999998,-1.8325300000000064,377.24,3,2,25,12,13,0,64,0.5609756097560976,23,0,0
O=c1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,uridine,dopamine receptor agonist,Phase 2,0.5544477790098006,0.2176493843304899,0.4337725612649099,54,0.745597,0.051392,0.70728,350,0.455692,0.010986,0.450686,359,0.78583294,0.31291994,0.5399301435651764,439,0.258650934,0.083513874,0.2370499924879416,1160,244.20300000000003,-2.8519,124.78,2,1,2,6,4,0,17,0.5555555555555556,8,0,0
