smiles,name,moa,clinical_phase,our_rf_p_pathogen,our_rf_p_gut,our_rf_S,our_rf_rank,our_dmpnn_p_pathogen,our_dmpnn_p_gut,our_dmpnn_S,our_dmpnn_rank,our_chemeleon_frozen_p_pathogen,our_chemeleon_frozen_p_gut,our_chemeleon_frozen_S,our_chemeleon_frozen_rank,our_molformer_p_pathogen,our_molformer_p_gut,our_molformer_S,our_molformer_rank,stokes_dmpnn_score,stokes_dmpnn_rank,stokes_inhibition,stokes_validated_active,stokes_rf_score,stokes_rf_rank,name_lower
C[N+]1(C)CCC[C@H](OC(=O)C(O)(c2ccccc2)c2ccccc2)C1,mepenzolate,acetylcholine receptor antagonist,Launched,0.218382989944809,0.0482067744464552,0.2078554504055971,1704,0.000791,0.00402,0.000788,4321,0.152931,0.045916,0.145909,2137,0.08637848,0.004155711,0.0860195160005007,1528,,,,,,,mepenzolate
CC(=O)Nc1c(I)c(C(=O)N[C@@H]2[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]2O)c(I)c(N(C)C(C)=O)c1I,metrizamide,radiopaque medium,Launched,0.3564700352334848,0.4170158018328846,0.2078163976611965,1705,1.9e-05,0.032572,1.9e-05,6136,0.153549,0.081686,0.141006,2206,0.002167566,0.0011992324,0.0021649665846236,4411,0.0425209091292729,838.0,,False,,,metrizamide
O=C(NCCN1CCC2(CC1)C(=O)NCN2c1cccc(F)c1)c1ccc2ccccc2c1,VU0364739,phospholipase inhibitor,Preclinical,0.2474927585438311,0.1605310504186556,0.2077624860437792,1706,0.000555,0.012398,0.000548,4556,0.139132,0.03274,0.134577,2300,0.025582755,0.0014950295,0.0255445080265837,2403,,,,,,,vu0364739
COc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCNCC2)n1,SB-242235,p38 MAPK inhibitor,Phase 1,0.2747747370729897,0.2439081348708902,0.2077549434438775,1707,0.000138,0.012544,0.000136,5358,0.173507,0.078813,0.159832,1949,0.00419922,0.007839968,0.004166298249575,3902,0.0258730674977414,1309.0,,False,,,sb-242235
N[C@@H](Cn1ccc(=O)n(Cc2ccccc2C(=O)O)c1=O)C(=O)O,UBP-296,glutamate receptor antagonist,Preclinical,0.3669728558247547,0.4339667727048449,0.2077188299122056,1708,0.467827,0.013863,0.461341,584,0.168261,0.133867,0.145737,2139,0.5168559,0.006658115,0.5134146139793715,475,0.0317423028677922,1129.0,,False,,,ubp-296
Cn1ncc(Cl)c1-c1cc(C(=O)N[C@H](CN)Cc2ccc(F)c(F)c2)oc1Cl,uprosertib,AKT inhibitor,Phase 2,0.2840778225632331,0.2688455321616957,0.2077047691808849,1709,0.001801,0.958738,7.4e-05,5659,0.164154,0.663027,0.055316,4050,0.20610389,0.39576903,0.1245343533754732,1290,0.271026813238859,111.0,,False,,,uprosertib
CC1=C(C)C(=O)C([C@@H](CCCCCC(=O)O)c2ccccc2)=C(C)C1=O,seratrodast,prostanoid receptor antagonist,Launched,0.2361767238039496,0.1206001420024288,0.2076937773755248,1710,0.21197,0.002161,0.211512,898,0.065899,0.011797,0.065122,3749,0.0024879922,0.005843669,0.0024734531971086,4308,,,,,,,seratrodast
CC(C)C[C@H](NC(=O)CNC(=O)c1cc(Cl)ccc1Cl)B1OC(=O)C[C@](CC(=O)O)(C(=O)O)O1,ixazomib-citrate,proteasome inhibitor,Launched,0.2818031499189411,0.2630603155397411,0.2076719243811715,1711,0.194903,0.02742,0.189558,951,0.14574,0.021295,0.142637,2185,0.9026404,0.19458885,0.7269966426004599,254,0.0696354075720591,477.0,,False,,,ixazomib-citrate
CC(C)[C@]12O[C@H]1[C@@H]1O[C@]13[C@]1(O[C@H]1C[C@H]1C4=C(CC[C@@]13C)C(=O)OC4)[C@@H]2OC(=O)CCC(=O)O,omtriptolide,ERK1 and ERK2 phosphorylation inhibitor,Preclinical,0.27374174238493,0.2414846034517209,0.207637326276922,1712,0.005482,0.05591,0.005175,3004,0.011301,0.001385,0.011285,5921,0.6021083,0.000557219,0.6017727938151823,366,,,,,,,omtriptolide
CC(C)[C@@H](NC(=O)Cn1c(-c2ccccc2)ncc(N)c1=O)[C@@H](O)c1nnc(C(C)(C)C)o1,freselestat,elastase inhibitor,Preclinical,0.2741237377252027,0.2427961853639335,0.2075675398878201,1713,0.008714,0.012026,0.008609,2682,0.042374,0.045644,0.04044,4567,0.009915299,0.022508908,0.0096921164470165,3198,,,,,,,freselestat
