year,dhw_max,dhw_mean,days_no_stress,days_watch,days_warning,days_alert1,days_alert2,sst_max,sst_mean,pcrvi_max,pcrvi_mean,high_risk_days,ta_norm_max,as_norm_max,wq_norm_max,la_norm_max
1998,6.284784052493661,1.8787254818842265,178,18,29,56,0,31.467375855178368,28.859798649961725,0.7994598398658769,0.4219533497652054,46,0.9037204974115959,0.8927990032808537,0.8756217163346247,0.9786670518919118
1999,0.0,0.0,364,0,0,0,0,29.626040262301657,28.285549195724958,0.40248155112174583,0.3118237379259399,0,0.4181323677951681,0.1,0.7074539504698187,0.962056423777957
2000,0.0,0.0,365,0,0,0,0,29.565052422649625,28.26782859511272,0.38243943280293746,0.3209609972599281,0,0.2720816179730619,0.1,0.6874455855417856,0.9763027686158422
2001,0.3054158592238895,0.0704805828978206,364,0,0,0,0,30.414702133568383,28.45200902023793,0.45780702262458994,0.3502400327867151,0,0.5161261798032755,0.18566196460744688,0.7107473218766303,0.9707652773210502
2002,0.1606695139229868,0.0370775801360738,364,0,0,0,0,30.42468659746091,28.644403245171222,0.482196257589397,0.38923973123691463,0,0.5727975121504598,0.14554462430962084,0.6946668702169028,0.9816246817679524
2003,3.463527801958947,0.7992756466059109,273,21,70,0,0,30.90150755463839,28.694001418728547,0.6476791575950517,0.4153005134082256,21,0.7094396650346795,0.7164704876224341,0.7060314350583593,0.9789956441091932
2004,3.549603429546721,0.8168950358408893,274,19,72,0,0,30.85328286939342,28.56250171980169,0.6676987391972082,0.4161596942218022,25,0.6901497909366925,0.7218502143466701,0.7270085972224384,0.976384563653427
2005,2.875381696932933,0.6635496223691384,276,88,0,0,0,30.947197836866245,28.64414127661092,0.6504417580377599,0.39959673006197416,24,0.7277157779258219,0.6797113560583083,0.7710294571047741,0.9793357333707335
2006,0.1472628421088119,0.0339837327943412,364,0,0,0,0,30.330839894761684,28.628633562627524,0.490602625214369,0.4060703479725025,0,0.48258128428059593,0.14174426532358664,0.7044052091569716,0.9720643795312649
2007,0.9142022919024478,0.2109697596697956,364,0,0,0,0,30.41572463191654,28.549394857174374,0.5469152867809506,0.3961174440978331,5,0.5151264959459396,0.34930226167993905,0.7185920492461829,0.9715564333512208
2008,0.0,0.0,365,0,0,0,0,30.07525623014325,28.711379806019742,0.45168623686723736,0.38866514407392033,0,0.489473751714371,0.1,0.7049469082713763,0.9787269741485642
2009,0.2997246656371963,0.0691672305316607,364,0,0,0,0,30.362611951976657,28.740610877207004,0.5176826186202205,0.41682498392555917,2,0.49529010716658495,0.1840377556817192,0.7748699298630881,0.9788515200943991
2010,13.856217729813064,3.1975887068799382,233,18,23,14,76,31.54643204812009,29.20073851293853,0.7678869960926855,0.4485518256194847,83,0.91953173599994,1.0,0.7035794771867028,0.9774817872140303
2011,0.3063952044405655,0.0707065856401304,364,0,0,0,0,30.42709211438416,28.71023171722051,0.441912263972751,0.3466752540599471,0,0.5210821721295857,0.1858468244976422,0.7469238441223837,0.9743081603910602
2012,0.0,0.0,365,0,0,0,0,29.95216435140295,28.630099494893148,0.4038892010721581,0.3587164566018287,0,0.3450705557437345,0.1,0.6979417525232968,0.9770088222556887
2013,1.6195760694104229,0.3737483237100975,282,82,0,0,0,30.598120378216663,28.800759657901686,0.5216854587560038,0.37467120691507083,0,0.588084794465989,0.5222436416983628,0.7053731095856637,0.9737753555513667
2014,6.42968221994748,1.48377281998788,261,18,26,59,0,31.22183727178657,28.815977770203077,0.695324281849797,0.40138043224140224,33,0.8375715518939515,0.9018551387467175,0.7071479161481946,0.9801169291827823
2015,1.1327253196231146,0.2613981506822572,286,78,0,0,0,30.54441827116396,29.104950679256763,0.5445800543528049,0.42410652292140577,5,0.5680126348415058,0.4062993415436445,0.6898501559144707,0.9758626545403482
2016,14.04125247466112,3.2314115284151623,237,17,20,14,77,31.65441310774793,29.188950901731744,0.7814504226440815,0.4337425423452282,58,0.9411279479255086,1.0,0.7032372043149915,0.9845147071460922
2017,2.030866036809378,0.4686613931098564,280,84,0,0,0,30.509341233562147,28.8985796102803,0.5568274240837853,0.3840268014797512,8,0.5539818198007808,0.6086316447074342,0.7059432937092509,0.9776108090690814
2018,5.021190106377803,1.1587361783948775,268,16,80,0,0,31.153179726626675,29.018829443542646,0.660656751780837,0.41013345096004583,24,0.8115172170265922,0.8138243816486126,0.7049162006865314,0.9777911445553884
