feature,importance
oni_lag60,0.34233681574901864
sr_norm,0.1699662076086746
pcrvi,0.10945175620434486
dmi_lag60,0.04702100903811053
doy_sin,0.04166511733019334
sst_anomaly,0.03975903450904315
bh_norm_lag14,0.036291970746618774
bh_norm,0.03598435756095288
pcrvi_lag7,0.033082986112651126
bh_norm_lag7,0.029283264021330833
ta_norm_lag7,0.020900759597600824
cdr_norm,0.013267939116356538
pcrvi_lag14,0.013239351094709336
doy_cos,0.012652036661043456
ta_norm_lag14,0.01097227286861929
sr_norm_lag14,0.008265001495772441
cdr_norm_lag14,0.00802582902073969
cdr_norm_lag7,0.008010641496125482
la_norm_lag7,0.005239565304876462
ta_norm,0.00455661806457308
wq_norm_lag14,0.004403701694375357
wq_norm_lag7,0.002281747245421742
sr_norm_lag7,0.0015836580293997395
la_norm_lag14,0.0008921770908329036
wq_norm,0.00044452347604265674
la_norm,0.0004216588625722634
