feature,importance,display_name
pcrvi_lag7,0.32472585520374353,Coral Reef Vulnerability Index (7-day lag) (pCRVI_L7)
pcrvi_lag14,0.2511880432944689,Coral Reef Vulnerability Index (14-day lag) (pCRVI_L14)
bh_norm,0.14963683438668973,Population Vulnerability (BH)
sst_anomaly,0.062315686394449926,SST Anomaly (SSTA)
dmi_lag60,0.040353087906095556,Indian Ocean Dipole (60-day lag) (DMI_L60)
oni_lag60,0.040249453904222084,El Niño Index (60-day lag) (ONI_L60)
pcrvi,0.022091203069304757,Coral Reef Vulnerability Index (pCRVI)
cdr_norm_lag7,0.01875341454265242,Climate Driver Response (7-day lag) (CDR_L7)
cdr_norm,0.016491763261398323,Climate Driver Response (CDR)
ta_norm,0.012945091647918539,Thermal Anomaly (TA)
cdr_norm_lag14,0.010099870105564273,Climate Driver Response (14-day lag) (CDR_L14)
bh_norm_lag14,0.009343981421357329,Population Vulnerability (14-day lag) (BH_L14)
doy_cos,0.008732566237828367,Seasonal Cycle (cosine) (DoY_cos)
doy_sin,0.007963888681240448,Seasonal Cycle (sine) (DoY_sin)
bh_norm_lag7,0.00762169216469224,Population Vulnerability (7-day lag) (BH_L7)
sr_norm_lag14,0.004593521104168512,Seasonal Bleaching Risk (14-day lag) (SR_L14)
ta_norm_lag14,0.004022862696020747,Thermal Anomaly (14-day lag) (TA_L14)
sr_norm,0.0030767983913072366,Seasonal Bleaching Risk (SR)
sr_norm_lag7,0.002363289358221542,Seasonal Bleaching Risk (7-day lag) (SR_L7)
la_norm,0.0009979363786980098,Light Availability (LA)
la_norm_lag7,0.0006878561331260216,Light Availability (7-day lag) (LA_L7)
wq_norm,0.0005024661790060655,Water Quality Stress (WQ)
la_norm_lag14,0.00036284003551828,Light Availability (14-day lag) (LA_L14)
ta_norm_lag7,0.00032870841628235525,Thermal Anomaly (7-day lag) (TA_L7)
wq_norm_lag14,0.00028089928566669324,Water Quality Stress (14-day lag) (WQ_L14)
wq_norm_lag7,0.00027038980035814445,Water Quality Stress (7-day lag) (WQ_L7)
