,expert,ml,diff
thermal_anomaly,0.25,0.0792732685804367,-0.1707267314195633
accumulating_stress,0.18,0.504743218421936,0.32474321842193604
seasonal_risk,0.1,0.05305705592036247,-0.04694294407963753
climate_driver,0.12,0.09016789495944977,-0.029832105040550227
bleaching_history,0.08,0.2404804676771164,0.16048046767711638
water_quality,0.15,0.01540893130004406,-0.13459106869995593
light_availability,0.12,0.016869131475687027,-0.10313086852431297
