Lead Time,Precision,Recall (POD),F1 Score,MCC,HSS,PSS / TSS,CSI,FAR,POFD,Freq Bias,Correlation,n
7 days,0.097,0.9866,0.1766,0.2326,0.105,0.5642,0.0969,0.903,0.4224,10.1719,0.0,10190
14 days,0.1047,0.9876,0.1893,0.2424,0.1132,0.567,0.1045,0.8953,0.4206,9.4348,0.0,10183
30 days,0.1203,0.9734,0.2141,0.2557,0.1281,0.5559,0.1199,0.8797,0.4174,8.0941,0.0,10167
60 days,0.1459,0.9327,0.2524,0.2671,0.1488,0.5197,0.1444,0.8541,0.413,6.3913,0.0,10137
90 days,0.1668,0.8806,0.2804,0.2639,0.1598,0.4699,0.1631,0.8332,0.4108,5.2804,0.579,10107
