,expert,ml,diff
thermal_anomaly,0.25,0.08893212676048279,-0.1610678732395172
accumulating_stress,0.18,0.46309900283813477,0.2830990028381348
seasonal_risk,0.1,0.05021781474351883,-0.049782185256481176
climate_driver,0.12,0.07425972074270248,-0.04574027925729751
bleaching_history,0.08,0.2952728867530823,0.21527288675308226
water_quality,0.15,0.010114149190485477,-0.13988585080951452
light_availability,0.12,0.018104298040270805,-0.10189570195972919
