Lead Time,Precision,Recall (POD),F1 Score,MCC,HSS,PSS / TSS,CSI,FAR,POFD,Freq Bias,Correlation,n
7 days,0.0903,0.9512,0.165,0.2141,0.0953,0.5292,0.0899,0.9097,0.4219,10.5279,0.0,10190
14 days,0.0981,0.9548,0.1779,0.2246,0.1036,0.5347,0.0976,0.9019,0.4201,9.7355,0.0,10183
30 days,0.1138,0.945,0.2031,0.2393,0.1187,0.528,0.113,0.8862,0.417,8.3064,0.0,10167
60 days,0.1336,0.8705,0.2317,0.2313,0.1281,0.4551,0.131,0.8664,0.4154,6.5137,0.0,10137
90 days,0.1535,0.8225,0.2587,0.2275,0.1372,0.4088,0.1486,0.8465,0.4137,5.3574,0.524,10107
