Lead Time,Precision,Recall (POD),F1 Score,MCC,HSS,PSS / TSS,CSI,FAR,POFD,Freq Bias,Correlation,n
7 days,0.3086,0.9372,0.4643,0.4438,0.3514,0.6625,0.3023,0.6914,0.2748,3.0373,0.0,10190
14 days,0.334,0.9417,0.4931,0.4665,0.3787,0.6741,0.3272,0.666,0.2676,2.8197,0.0,10183
30 days,0.391,0.9472,0.5535,0.5138,0.4378,0.6962,0.3826,0.609,0.251,2.4229,0.0,10167
60 days,0.4619,0.8854,0.6071,0.5292,0.4815,0.6524,0.4358,0.5381,0.233,1.917,0.0,10137
90 days,0.5172,0.8202,0.6344,0.5224,0.4963,0.5999,0.4645,0.4828,0.2203,1.5859,0.7093,10107
