participant,acc_nonword,acc_word,rt_median_nonword,rt_median_word
506471,1.0,0.8888888888888888,0.6213,1.18115
551039,0.5555555555555556,0.2222222222222222,0.9524,0.9803499999999999
749831,0.6666666666666666,0.5555555555555556,0.54555,0.44
