instructions.started,instructions.stopped,start_resp.keys,start_resp.rt,start_resp.duration,start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.time,start_mouse.clicked_name,participant,what is your first language?,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,correct,rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,this_word,critical_letter,letter_position,this_question,corr_ans,condition
0,1.6567,space,1.6196,,[],[],[],[],[],[],[],551039,English,2025-03-30_23h17.42.856,word_superiority_effect_v3,2024.2.4,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,551039,English,2025-03-30_23h17.42.856,word_superiority_effect_v3,2024.2.4,Win32,59.52380952,1.6836,2.7734,right,0,0.0619,,0,0.0619,[],[],[],[],[],[],[],0,0,0,0,1,WORK,K,4,"Did the word contain the letter ""K""",left,word
,,,,,,,,,,,,551039,English,2025-03-30_23h17.42.856,word_superiority_effect_v3,2024.2.4,Win32,59.52380952,2.7742,4.7241,left,1,0.9244,,1,0.9244,[],[],[],[],[],[],[],0,1,1,1,1,RWOK,K,4,"Did the word contain the letter ""K""",left,nonword
,,,,,,,,,,,,551039,English,2025-03-30_23h17.42.856,word_superiority_effect_v3,2024.2.4,Win32,59.52380952,4.725,7.2401,right,0,1.4871,,0,1.4871,[],[],[],[],[],[],[],0,2,2,2,1,CART,T,4,"Did the word contain the letter ""T""",left,word
,,,,,,,,,,,,551039,English,2025-03-30_23h17.42.856,word_superiority_effect_v3,2024.2.4,Win32,59.52380952,7.2409,9.3405,left,1,1.0657,,1,1.0657,[],[],[],[],[],[],[],0,3,3,3,1,ARCT,T,4,"Did the word contain the letter ""T""",left,nonword
,,,,,,,,,,,,551039,English,2025-03-30_23h17.42.856,word_superiority_effect_v3,2024.2.4,Win32,59.52380952,9.3413,10.9908,right,1,0.6193,,1,0.6193,[],[],[],[],[],[],[],0,4,4,4,1,WORD,K,4,Did the word contain the letter K?,right,word
,,,,,,,,,,,,551039,English,2025-03-30_23h17.42.856,word_superiority_effect_v3,2024.2.4,Win32,59.52380952,10.9914,12.8405,left,0,0.8207,,0,0.8207,[],[],[],[],[],[],[],0,5,5,5,1,RWOD,K,4,Did the word contain the letter K?,right,nonword
,,,,,,,,,,,,551039,English,2025-03-30_23h17.42.856,word_superiority_effect_v3,2024.2.4,Win32,59.52380952,12.8413,14.3905,right,0,0.519,,0,0.519,[],[],[],[],[],[],[],0,6,6,6,1,CARD,C,1,Did the word contain the letter C?,left,word
,,,,,,,,,,,,551039,English,2025-03-30_23h17.42.856,word_superiority_effect_v3,2024.2.4,Win32,59.52380952,14.3921,16.608,right,0,1.1853,,0,1.1853,[],[],[],[],[],[],[],0,7,7,7,1,RCAD,C,1,Did the word contain the letter C?,left,nonword
,,,,,,,,,,,,551039,English,2025-03-30_23h17.42.856,word_superiority_effect_v3,2024.2.4,Win32,59.52380952,16.6091,18.3605,left,0,0.7302,,0,0.7302,[],[],[],[],[],[],[],0,8,8,8,1,LARD,C,1,Did the word contain the letter C?,right,word
,,,,,,,,,,,,551039,English,2025-03-30_23h17.42.856,word_superiority_effect_v3,2024.2.4,Win32,59.52380952,18.3614,20.0574,left,0,0.6575,,0,0.6575,[],[],[],[],[],[],[],0,9,9,9,1,RLAD,C,1,Did the word contain the letter C?,right,nonword
,,,,,,,,,,,,551039,English,2025-03-30_23h17.42.856,word_superiority_effect_v3,2024.2.4,Win32,59.52380952,20.0582,21.4798,right,0,0.3839,,0,0.3839,[],[],[],[],[],[],[],0,10,10,10,1,LOAD,O,2,Did the word contain the letter O?,left,word
,,,,,,,,,,,,551039,English,2025-03-30_23h17.42.856,word_superiority_effect_v3,2024.2.4,Win32,59.52380952,21.4805,23.4646,left,1,0.9524,,1,0.9524,[],[],[],[],[],[],[],0,11,11,11,1,AODL,O,2,Did the word contain the letter O?,left,nonword
,,,,,,,,,,,,551039,English,2025-03-30_23h17.42.856,word_superiority_effect_v3,2024.2.4,Win32,59.52380952,23.4653,25.6143,left,0,1.1186,,0,1.1186,[],[],[],[],[],[],[],0,12,12,12,1,LEAD,O,2,Did the word contain the letter O?,right,word
,,,,,,,,,,,,551039,English,2025-03-30_23h17.42.856,word_superiority_effect_v3,2024.2.4,Win32,59.52380952,25.6151,27.6138,right,1,0.969,,1,0.969,[],[],[],[],[],[],[],0,13,13,13,1,AEDL,O,2,Did the word contain the letter O?,right,nonword
,,,,,,,,,,,,551039,English,2025-03-30_23h17.42.856,word_superiority_effect_v3,2024.2.4,Win32,59.52380952,27.6145,29.9902,left,1,1.3414,,1,1.3414,[],[],[],[],[],[],[],0,14,14,14,1,SNIP,I,3,Did the word contain the letter I?,left,word
,,,,,,,,,,,,551039,English,2025-03-30_23h17.42.856,word_superiority_effect_v3,2024.2.4,Win32,59.52380952,29.9911,31.8564,right,0,0.8445,,0,0.8445,[],[],[],[],[],[],[],0,15,15,15,1,PNIS,I,3,Did the word contain the letter I?,left,nonword
,,,,,,,,,,,,551039,English,2025-03-30_23h17.42.856,word_superiority_effect_v3,2024.2.4,Win32,59.52380952,31.8573,34.3961,left,0,1.5003,,0,1.5003,[],[],[],[],[],[],[],0,16,16,16,1,SNAP,I,3,Did the word contain the letter I?,right,word
,,,,,,,,,,,,551039,English,2025-03-30_23h17.42.856,word_superiority_effect_v3,2024.2.4,Win32,59.52380952,34.3968,36.2112,right,1,0.7833,,1,0.7833,[],[],[],[],[],[],[],0,17,17,17,1,PNAS,I,3,Did the word contain the letter I?,right,nonword
