,expert,ml,diff
thermal_anomaly,0.25,0.08371885120868683,-0.16628114879131317
accumulating_stress,0.18,0.49633482098579407,0.3163348209857941
seasonal_risk,0.1,0.05216573178768158,-0.047834268212318426
climate_driver,0.12,0.08511427044868469,-0.0348857295513153
bleaching_history,0.08,0.25805580615997314,0.17805580615997313
water_quality,0.15,0.011188612319529057,-0.13881138768047094
light_availability,0.12,0.013421843759715557,-0.10657815624028444
