feature,importance
bh_norm,0.2649146088122825
pcrvi_lag14,0.1634250659791461
sst_anomaly,0.0768257045331305
pcrvi,0.07567822634849539
pcrvi_lag7,0.0523046210781028
cdr_norm_lag7,0.05150184474628552
cdr_norm_lag14,0.04457634968365812
cdr_norm,0.043689659246970575
oni_lag60,0.04271586655802109
dmi_lag60,0.040679960343489585
bh_norm_lag7,0.03093561879311839
doy_sin,0.025829325848567862
ta_norm,0.02235742088825126
bh_norm_lag14,0.016957956551319875
sr_norm,0.016462460835338685
ta_norm_lag7,0.006704438690925315
sr_norm_lag7,0.0043729596220388805
doy_cos,0.00389286618735554
ta_norm_lag14,0.0031741657136419095
wq_norm_lag7,0.003124685118371988
wq_norm,0.0027392695455206797
sr_norm_lag14,0.002677183255277674
wq_norm_lag14,0.0019449184453933874
la_norm,0.001757834807789311
la_norm_lag14,0.000515806979808384
la_norm_lag7,0.0002411813876986007
