participant_id,trial_index,post_id,source_true,text_version,likes_level,likes_value,order,response_choice,confidence_0_100,dwell_ms,rt_ms,started_at_iso,device,viewport_w,viewport_h
2acb9f24-7134-41d4-b83c-24cc1c71aea4,0,amitgupta_rp_high,AI,Rephrased,High,8601,0,AI,80,18583,5399,2025-11-07T11:52:10.283Z,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1536,671
2acb9f24-7134-41d4-b83c-24cc1c71aea4,1,barnacles_og_low,Human,Original,Low,1,1,Human,70,32359,5336,2025-11-07T11:52:47.979Z,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1536,671
2acb9f24-7134-41d4-b83c-24cc1c71aea4,2,charles_og_high,Human,Original,High,8965,2,Human,60,69063,5520,2025-11-07T11:54:02.562Z,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1536,671
2acb9f24-7134-41d4-b83c-24cc1c71aea4,3,jaineel_rp_low,AI,Rephrased,Low,48,3,Human,80,41375,3530,2025-11-07T11:54:47.468Z,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1536,671
2acb9f24-7134-41d4-b83c-24cc1c71aea4,4,sunita_og_low,Human,Original,Low,6,4,AI,90,27976,3927,2025-11-07T11:55:19.371Z,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1536,671
2acb9f24-7134-41d4-b83c-24cc1c71aea4,5,reema_og_high,Human,Original,High,4325,5,Human,70,24383,4808,2025-11-07T11:55:48.562Z,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1536,671
2acb9f24-7134-41d4-b83c-24cc1c71aea4,6,travel_rp_low,AI,Rephrased,Low,12,6,Human,60,20521,4896,2025-11-07T11:56:13.979Z,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1536,671
2acb9f24-7134-41d4-b83c-24cc1c71aea4,7,amit_rp_high,AI,Rephrased,High,44913,7,AI,80,21423,3512,2025-11-07T11:56:38.915Z,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1536,671
2acb9f24-7134-41d4-b83c-24cc1c71aea4,8,live_shopping_rp_low,AI,Rephrased,Low,10,8,AI,80,7911,3825,2025-11-07T11:56:50.651Z,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1536,671
2acb9f24-7134-41d4-b83c-24cc1c71aea4,9,gary_og_low,Human,Original,Low,0,9,Human,50,34039,4960,2025-11-07T11:57:29.650Z,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1536,671
