participant_id,trial_index,post_id,source_true,text_version,likes_level,likes_value,order,response_choice,confidence_0_100,dwell_ms,rt_ms,started_at_iso,device,viewport_w,viewport_h
a9aef82f-e834-46f4-a919-b566bd5d966d,0,sunita_rp_low,AI,Rephrased,Low,1,0,Human,90,230502,7287,2025-11-07T16:08:11.115Z,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1536,671
a9aef82f-e834-46f4-a919-b566bd5d966d,1,jaineel_rp_high,AI,Rephrased,High,17994,1,Human,80,32624,12720,2025-11-07T16:08:56.459Z,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1536,671
a9aef82f-e834-46f4-a919-b566bd5d966d,2,live_shopping_og_low,Human,Original,Low,2,2,Human,70,135255,7409,2025-11-07T16:11:19.123Z,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1536,671
a9aef82f-e834-46f4-a919-b566bd5d966d,3,nicholas_og_high,Human,Original,High,5516,3,AI,80,93886,7977,2025-11-07T16:13:00.986Z,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1536,671
a9aef82f-e834-46f4-a919-b566bd5d966d,4,madhav_og_high,Human,Original,High,4227,4,AI,90,26248,4153,2025-11-07T16:13:31.387Z,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1536,671
a9aef82f-e834-46f4-a919-b566bd5d966d,5,barnacles_og_low,Human,Original,Low,1,5,Human,80,64262,7720,2025-11-07T16:14:43.369Z,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1536,671
a9aef82f-e834-46f4-a919-b566bd5d966d,6,travel_rp_high,AI,Rephrased,High,7601,6,AI,90,41000,10288,2025-11-07T16:15:34.658Z,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1536,671
a9aef82f-e834-46f4-a919-b566bd5d966d,7,evolvingai_rp_low,AI,Rephrased,Low,0,7,AI,50,115279,4855,2025-11-07T16:17:34.792Z,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1536,671
a9aef82f-e834-46f4-a919-b566bd5d966d,8,stefano_rp_low,AI,Rephrased,Low,0,8,AI,50,235471,16712,2025-11-07T16:21:46.976Z,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1536,671
a9aef82f-e834-46f4-a919-b566bd5d966d,9,amitgupta_og_high,Human,Original,High,2285,9,AI,100,83736,9631,2025-11-07T16:23:20.343Z,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1536,671
a9aef82f-e834-46f4-a919-b566bd5d966d,10,russelladams_og_low,Human,Original,Low,3,10,Human,30,119408,15704,2025-11-07T16:25:35.455Z,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1536,671
a9aef82f-e834-46f4-a919-b566bd5d966d,11,reema_rp_high,AI,Rephrased,High,3056,11,Human,70,42919,4440,2025-11-07T16:26:22.815Z,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1536,671
a9aef82f-e834-46f4-a919-b566bd5d966d,12,darius_og_high,Human,Original,High,2140,12,Human,90,47152,4256,2025-11-07T16:27:14.223Z,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1536,671
a9aef82f-e834-46f4-a919-b566bd5d966d,13,amit_rp_high,AI,Rephrased,High,1265,13,AI,50,44264,2400,2025-11-07T16:28:00.887Z,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1536,671
a9aef82f-e834-46f4-a919-b566bd5d966d,14,charles_rp_low,AI,Rephrased,Low,10,14,AI,70,56488,12866,2025-11-07T16:29:10.240Z,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1536,671
a9aef82f-e834-46f4-a919-b566bd5d966d,15,ranjani_og_low,Human,Original,Low,3,15,AI,60,54182,6802,2025-11-07T16:30:11.223Z,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1536,671
