year,start_angle,end_angle,mean_LST_C,Urban_%,Vegetation_%,Water_%,Others_%
2014,0,45,28.72979300896992,66.1646883146197,33.59515771102802,0.010208595637526815,0.22994537871476056
2014,45,90,29.894800509727247,62.864855609024794,36.36646376908195,0.41539801777526275,0.3532826041179833
2014,90,135,32.25676105305399,76.50633792161113,23.112255313199096,0.03147735664162086,0.34992940854816074
2014,135,180,33.3583768280501,86.02727472875186,13.338025491891154,0.14398881229498633,0.4907109670619964
2014,180,225,34.867969203902646,90.96471964345018,8.847295045418639,0.046844069501074496,0.14114124163010888
2014,225,270,34.97108309361727,87.0337490979428,12.893132438236563,0.0012385221778523868,0.07187994164277889
2014,270,315,29.30141134141411,79.85345686473984,20.012051040480728,0.001073167565067493,0.13341892721435658
2014,315,360,26.07362354821049,76.43587819749644,23.357082706488747,0.0025490859827361307,0.20449001003207007
2019,0,45,39.80520343590359,41.292039667286716,58.42920426666141,0.0017786707247329917,0.2769773953271465
2019,45,90,39.39261785263312,36.44067379018806,63.05996920742742,0.059529592176867464,0.4398274102076355
2019,90,135,42.80884580680936,50.36490074206642,49.15261198807712,0.09599413065094926,0.386493139205514
2019,135,180,43.271357531580975,61.26801191098375,37.44358951503745,0.46446143694969566,0.8239371370291029
2019,180,225,43.01660128917365,55.87937667190515,43.4501861681821,0.14636729036508198,0.5240698695476766
2019,225,270,42.96356366860272,58.340963788212555,41.36143463985882,0.039871206501265403,0.25773036542736516
2019,270,315,43.50174247773458,59.17123859501946,40.6574762879305,0.0024284785681766546,0.16885663848187135
2019,315,360,43.08821055329457,62.14182576242931,37.631907294909226,0.001474191093714396,0.2247927515677327
2024,0,45,32.37148319456003,61.86160061026259,37.89906620154031,0.011691629666996512,0.22764155853010545
2024,45,90,31.895024890878744,53.6552267982228,45.88897299132551,0.09028340790223541,0.3655168025494502
2024,90,135,34.57575164108755,71.76911626577369,27.77320397508355,0.10502757633518903,0.35265218280757527
2024,135,180,36.56523377291916,79.05948868448988,19.889246075823287,0.3027196457118362,0.7485455939750059
2024,180,225,38.138252902593706,83.89087121666205,15.054868124864113,0.6984137288947255,0.35584692957911596
2024,225,270,38.220071177672935,88.898013553165,10.760393261260123,0.1648131378306567,0.1767800477442107
2024,270,315,34.99753258581126,89.95447597856713,9.937605190431627,0.005550971232567178,0.10236785976866726
2024,315,360,33.788904967846804,83.84310265973292,15.949179789110996,0.006202520629386031,0.2015150305266899
