year,start_angle,end_angle,Urban_%,Vegetation_%,Water_%,Others_%,Urban_km2,Vegetation_km2,Water_km2,Others_km2,Total_km2
2014,0.0,45.0,3.3573413229021716,11.031361475108897,0.012918081234333993,85.5983791207546,13.3326,43.8075,0.0513,339.9264,397.1178
2014,45.0,90.0,4.8319566234202656,14.707939203763662,0.7268029299172158,79.73330124289886,19.1529,58.299299999999995,2.8809,316.0467,396.3798
2014,90.0,135.0,3.500096624947425,6.270845411451761,0.01386852186565722,90.21518944173515,13.8555,24.8238,0.0549,357.1263,395.8605
2014,135.0,180.0,6.5035175056198185,5.556111722895184,0.44913040708415625,87.49124036440085,25.7256,21.977999999999998,1.7766,346.0842,395.5644
2014,180.0,225.0,5.308002066929358,2.21716871652337,0.14477610921035558,92.33005310733692,20.9862,8.766,0.5724,365.04449999999997,395.3691
2014,225.0,270.0,3.5727451881721652,1.9788912201493727,0.0013653803266899995,94.44699821135177,14.129999999999999,7.8264,0.0054,373.5324,395.4942
2014,270.0,315.0,2.859350498829625,4.660818580551326,0.00022725723246142307,92.47960366338658,11.3238,18.458099999999998,0.0009,366.2442,396.027
2014,315.0,360.0,5.703543625804725,6.5709121996240265,0.0004535260516702231,87.72509064851958,22.6368,26.0793,0.0018,348.1722,396.89009999999996
2019,0.0,45.0,34.1959024567129,48.13978787054664,0.8634756595050314,16.800834013235427,135.7974,191.17079999999999,3.429,66.7188,397.116
2019,45.0,90.0,35.71548580743889,46.70580916443028,1.8520032149522525,15.726701813178579,141.5754,185.14079999999998,7.3412999999999995,62.3403,396.39779999999996
2019,90.0,135.0,41.58895077867455,26.072752074570875,1.0273957030805958,31.310901443673977,164.6361,103.21289999999999,4.0671,123.9489,395.865
2019,135.0,180.0,45.83550405973232,19.37637779511831,2.257479621713482,32.53063852343588,181.3275,76.6539,8.9307,128.6928,395.6049
2019,180.0,225.0,41.353102785826636,20.598364331221788,1.9663989110716065,36.08213397187997,163.5093,81.4455,7.7751,142.668,395.3979
2019,225.0,270.0,39.18528395825843,23.532423441176338,0.8162178644081681,36.46607473615706,154.9854,93.0753,3.2283,144.2304,395.51939999999996
2019,270.0,315.0,38.62797505409189,22.66109383806978,0.7463772068583066,37.96455390098002,152.964,89.7363,2.9556,150.33689999999999,395.9928
2019,315.0,360.0,42.861677788586036,20.05392033485934,0.9496146442006163,36.134787232354014,170.1261,79.59779999999999,3.7692,143.4258,396.9189
2024,0.0,45.0,24.60809506328942,14.618881229804263,0.017901410812452133,60.755122296093866,97.73729999999999,58.062599999999996,0.0711,241.3044,397.17539999999997
2024,45.0,90.0,27.36095125887889,15.655454687851156,1.060132437101457,55.92346161616849,108.4752,62.0676,4.203,221.7141,396.4599
2024,90.0,135.0,17.788219995862516,5.524903326126839,0.13230851071085134,76.55456816729979,70.42229999999999,21.8727,0.5237999999999999,303.0741,395.8929
2024,135.0,180.0,19.306952095549505,3.1314351766523543,0.6462197283601719,76.91539299943797,76.365,12.3858,2.556,304.22429999999997,395.5311
2024,180.0,225.0,10.03735666854095,0.7519139316926146,1.023950609976803,88.18677878978963,39.6828,2.9727,4.0482,348.6474,395.3511
2024,225.0,270.0,8.227554285246155,0.6269371333384914,0.12197397585097329,91.02353460556438,32.5395,2.4795,0.4824,359.9928,395.4942
2024,270.0,315.0,7.425349987616086,0.7882532317473591,0.0013633667888394796,91.78503341384771,29.4102,3.1221,0.0054,363.5406,396.0783
2024,315.0,360.0,14.635910388406087,2.31102868323739,0.0013603622191135426,83.05170056613741,58.097699999999996,9.1737,0.0054,329.67629999999997,396.9531
