year,start_angle,end_angle,Urban_%,Vegetation_%,Water_%,Others_%,Urban_km2,Vegetation_km2,Water_km2,Others_km2
2014,0,45,66.1646883146197,33.59515771102802,0.010208595637526815,0.22994537871476056,198.32693294117595,100.70061176470583,0.0306,0.689255294117647
2014,45,90,62.864855609024794,36.36646376908195,0.41539801777526275,0.3532826041179833,174.95275411764723,101.20778823529409,1.1560517647058823,0.9831847058823532
2014,90,135,76.50633792161113,23.112255313199096,0.03147735664162086,0.34992940854816074,250.46077411764196,75.66318705882355,0.10304823529411765,1.1455729411764697
2014,135,180,86.02727472875186,13.338025491891154,0.14398881229498633,0.4907109670619964,287.6106811764784,44.5923529411764,0.4813905882352941,1.6405694117647063
2014,180,225,90.96471964345018,8.847295045418639,0.046844069501074496,0.14114124163010888,330.52319294116614,32.146927058823564,0.1702094117647059,0.5128411764705882
2014,225,270,87.0337490979428,12.893132438236563,0.0012385221778523868,0.07187994164277889,316.2251576470531,46.845423529411775,0.0045,0.2611658823529412
2014,270,315,79.85345686473984,20.012051040480728,0.001073167565067493,0.13341892721435658,267.8728411764699,67.13153294117653,0.0036,0.44756117647058824
2014,315,360,76.43587819749644,23.357082706488747,0.0025490859827361307,0.20449001003207007,242.88337764705784,74.21968941176479,0.0081,0.6497894117647058
2019,0,45,41.292039667286716,58.42920426666141,0.0017786707247329917,0.2769773953271465,83.57440235294098,118.25973882352923,0.0036,0.5605976470588234
2019,45,90,36.44067379018806,63.05996920742742,0.059529592176867464,0.4398274102076355,75.1705447058824,130.0813552941176,0.12279882352941175,0.907284705882353
2019,90,135,50.36490074206642,49.15261198807712,0.09599413065094926,0.386493139205514,143.59874117647064,140.1423035294119,0.2736952941176471,1.1019564705882339
2019,135,180,61.26801191098375,37.44358951503745,0.46446143694969566,0.8239371370291029,184.5437258823525,112.78282588235281,1.3989917647058823,2.4817588235294123
2019,180,225,55.87937667190515,43.4501861681821,0.14636729036508198,0.5240698695476766,168.36278823529454,130.91403176470612,0.441,1.579005882352941
2019,225,270,58.340963788212555,41.36143463985882,0.039871206501265403,0.25773036542736516,171.1985505882355,121.37299764705882,0.11699999999999999,0.7562964705882353
2019,270,315,59.17123859501946,40.6574762879305,0.0024284785681766546,0.16885663848187135,175.43202705882362,120.54206823529411,0.0072,0.5006294117647059
2019,315,360,62.14182576242931,37.631907294909226,0.001474191093714396,0.2247927515677327,189.6892588235294,114.87220588235319,0.0045,0.686184705882353
2024,0,45,61.86160061026259,37.89906620154031,0.011691629666996512,0.22764155853010545,161.9077094117644,99.19159764705873,0.0306,0.5957964705882353
2024,45,90,53.6552267982228,45.88897299132551,0.09028340790223541,0.3655168025494502,133.7169952941178,114.36230823529415,0.225,0.9109235294117647
2024,90,135,71.76911626577369,27.77320397508355,0.10502757633518903,0.35265218280757527,236.16089647058834,91.38951529411773,0.3456,1.1604247058823522
2024,135,180,79.05948868448988,19.889246075823287,0.3027196457118362,0.7485455939750059,267.0141247058879,67.17358941176458,1.0224,2.528124705882353
2024,180,225,83.89087121666205,15.054868124864113,0.6984137288947255,0.35584692957911596,307.0295505882265,55.0988364705883,2.5561023529411764,1.3023529411764696
2024,225,270,88.898013553165,10.760393261260123,0.1648131378306567,0.1767800477442107,333.5027929411694,40.367844705882355,0.6183,0.6631941176470588
2024,270,315,89.95447597856713,9.937605190431627,0.005550971232567178,0.10236785976866726,335.4471811764708,37.058096470588254,0.0207,0.3817376470588235
2024,315,360,83.84310265973292,15.949179789110996,0.006202520629386031,0.2015150305266899,291.9798458823503,55.542303529411846,0.0216,0.7017670588235294
