distance_km,mean_LST,year,mean_LST_C
2.0,301.6641785032,2014,28.514178503200014
4.0,301.5363476852725,2014,28.38634768527254
6.0,301.655189013212,2014,28.505189013212032
8.0,302.46547309044644,2014,29.31547309044646
10.0,302.51600812960567,2014,29.36600812960569
2.0,307.25479555064567,2019,34.10479555064569
4.0,307.5476531738464,2019,34.397653173846436
6.0,309.67293277808835,2019,36.522932778088375
8.0,311.8429623056378,2019,38.69296230563782
10.0,312.05728546779386,2019,38.90728546779388
2.0,302.78500554703965,2024,29.63500554703967
4.0,302.96700663254626,2024,29.81700663254628
6.0,303.6509307600853,2024,30.50093076008534
8.0,304.5816837026223,2024,31.43168370262231
10.0,304.46503452780644,2024,31.31503452780646
