Unnamed: 0,Component,expert,ml,diff
thermal_anomaly,Thermal Anomaly,0.25,0.035840917378664,-0.2141590826213359
accumulating_stress,Accumulating Stress,0.18,0.3980483114719391,0.2180483114719391
seasonal_risk,Seasonal Risk,0.1,0.0527278669178485,-0.0472721330821514
climate_driver,Climate Driver,0.12,0.0792022868990898,-0.0407977131009101
bleaching_history,Bleaching History,0.08,0.3973716199398041,0.317371619939804
water_quality,Water Quality,0.15,0.0055301473475992,-0.1444698526524007
light_availability,Light Availability,0.12,0.0312788188457489,-0.0887211811542511
