Lead Time,Precision,Recall (POD),F1 Score,MCC,HSS,PSS / TSS,CSI,FAR,POFD,Freq Bias,Correlation,n
7 days,0.1331,0.969,0.2341,0.271,0.1436,0.5657,0.1325,0.8669,0.4032,7.2794,0.0,10190
14 days,0.1441,0.9713,0.251,0.2835,0.1555,0.5708,0.1435,0.8559,0.4004,6.7398,0.0,10183
30 days,0.1679,0.9677,0.2862,0.3061,0.1799,0.573,0.167,0.8321,0.3946,5.7633,0.0,10167
60 days,0.2036,0.9227,0.3336,0.319,0.2077,0.5351,0.2002,0.7964,0.3876,4.532,0.0,10137
90 days,0.226,0.8441,0.3566,0.2972,0.2094,0.4573,0.217,0.774,0.3868,3.7343,0.6188,10107
