Class,Producer's Accuracy,User's Accuracy,MSE
Urban,1.0,1.0,0.0
Vegetation,0.9333333333333333,0.9333333333333333,0.03389830508474576
Water,1.0,1.0,0.0
Others,0.9444444444444444,0.9444444444444444,0.03389830508474576
