Class,Producer's Accuracy,User's Accuracy,MSE
Urban,0.9375,0.75,0.09090909090909091
Vegetation,1.0,0.8947368421052632,0.030303030303030304
Water,1.0,1.0,0.0
Others,0.5714285714285714,1.0,0.09090909090909091
