2026-03-22 00:41:04 | INFO  | phase6_report |     Radar chart: /scratch/vishakha.agrawal/antibiotic-selectivity/outputs/runs/run_20260315_034033/results/figures/candidates_radar_top20.html
2026-03-22 00:41:04 | INFO  | phase6_report |     Master dashboard: /scratch/vishakha.agrawal/antibiotic-selectivity/outputs/runs/run_20260315_034033/results/figures/candidates_master_dashboard.html
2026-03-22 00:41:04 | INFO  | phase6_report | 
  Writing Markdown reports...
2026-03-22 00:41:04 | INFO  | phase6_report |   Report written: /scratch/vishakha.agrawal/antibiotic-selectivity/outputs/runs/run_20260315_034033/results/report_known_antibiotics.md
2026-03-22 00:41:04 | INFO  | phase6_report |   Report written: /scratch/vishakha.agrawal/antibiotic-selectivity/outputs/runs/run_20260315_034033/results/report_novel_candidates.md
2026-03-22 00:41:04 | INFO  | phase6_report | 
======================================================================
2026-03-22 00:41:04 | INFO  | phase6_report |   TOP NOVEL CANDIDATES (potential new antibiotics)
2026-03-22 00:41:04 | INFO  | phase6_report | ======================================================================
2026-03-22 00:41:04 | INFO  | phase6_report |    1. diquafosol                     S=1.000 models=2/4  [ecoli, mtb]  MoA: purinergic receptor activator
2026-03-22 00:41:04 | INFO  | phase6_report |    2. squalamine                     S=1.000 models=2/4  [ecoli, mtb, paeruginosa]  MoA: antiviral
2026-03-22 00:41:04 | INFO  | phase6_report |    3. diadenosine-tetraphosphate     S=1.000 models=2/4  [ecoli, mtb, saureus]  MoA: adenosine kinase inhibitor
2026-03-22 00:41:04 | INFO  | phase6_report |    4. relebactam                     S=1.000 models=2/4  [ecoli, mtb]  MoA: beta lactamase inhibitor
2026-03-22 00:41:04 | INFO  | phase6_report |    5. trodusquemine                  S=1.000 models=2/4  [ecoli, mtb, paeruginosa]  MoA: tyrosine phosphatase inhibitor
2026-03-22 00:41:04 | INFO  | phase6_report |    6. micronomicin                   S=1.000 models=2/4  [ecoli, mtb, paeruginosa, saureus]  MoA: protein synthesis inhibitor
2026-03-22 00:41:04 | INFO  | phase6_report |    7. adenosine-triphosphate         S=1.000 models=2/4  [ecoli, mtb, saureus]  MoA: adenosine receptor agonist
2026-03-22 00:41:04 | INFO  | phase6_report |    8. uridine-5'-triphosphate        S=1.000 models=2/4  [ecoli, mtb]  MoA: purinergic receptor activator
2026-03-22 00:41:04 | INFO  | phase6_report |    9. netilmicin                     S=1.000 models=2/4  [ecoli, mtb, paeruginosa, saureus]  MoA: protein synthesis inhibitor
2026-03-22 00:41:04 | INFO  | phase6_report |   10. Q-203                          S=1.000 models=2/4  [mtb]  MoA: ATP synthase inhibitor
2026-03-22 00:41:04 | INFO  | phase6_report |   11. BTZ043-racemate                S=1.000 models=2/4  [mtb]  MoA: DPRE1 inhibitor
2026-03-22 00:41:04 | INFO  | phase6_report |   12. retapamulin                    S=1.000 models=2/4  [paeruginosa, saureus]  MoA: protein synthesis inhibitor
2026-03-22 00:41:04 | INFO  | phase6_report |   13. macozinone                     S=0.999 models=2/4  [mtb]  MoA: DPRE1 inhibitor
2026-03-22 00:41:04 | INFO  | phase6_report |   14. puromycin                      S=0.999 models=2/4  [saureus]  MoA: protein synthesis inhibitor
2026-03-22 00:41:04 | INFO  | phase6_report |   15. INS316                         S=0.999 models=2/4  [ecoli, mtb]  MoA: purinergic receptor antagonist
2026-03-22 00:41:04 | INFO  | phase6_report | 
  KNOWN ANTIBIOTICS REDISCOVERED (pipeline validation)
2026-03-22 00:41:04 | INFO  | phase6_report | ----------------------------------------------------------------------
2026-03-22 00:41:04 | INFO  | phase6_report |    1. gentamycin                     S=1.000 models=2/4  MoA: bacterial 50S ribosomal subuni
2026-03-22 00:41:04 | INFO  | phase6_report |    2. SQ-109                         S=1.000 models=2/4  MoA: bacterial cell wall synthesis 
2026-03-22 00:41:04 | INFO  | phase6_report |    3. carumonam                      S=1.000 models=2/4  MoA: bacterial cell wall synthesis 
2026-03-22 00:41:04 | INFO  | phase6_report |    4. aztreonam                      S=0.998 models=2/4  MoA: bacterial cell wall synthesis 
2026-03-22 00:41:04 | INFO  | phase6_report |    5. trimetrexate                   S=0.982 models=2/4  MoA: dihydrofolate reductase inhibi
2026-03-22 00:41:04 | INFO  | phase6_report |    6. omadacycline                   S=1.000 models=1/4  MoA: bacterial 30S ribosomal subuni
2026-03-22 00:41:04 | INFO  | phase6_report |    7. tilmicosin                     S=0.999 models=1/4  MoA: bacterial 50S ribosomal subuni
2026-03-22 00:41:04 | INFO  | phase6_report |    8. teicoplanin-A2-3               S=0.996 models=1/4  MoA: bacterial cell wall synthesis 
2026-03-22 00:41:04 | INFO  | phase6_report |    9. demeclocycline                 S=0.996 models=1/4  MoA: bacterial 30S ribosomal subuni
2026-03-22 00:41:04 | INFO  | phase6_report |   10. rolitetracycline               S=0.995 models=1/4  MoA: bacterial 30S ribosomal subuni
2026-03-22 00:41:04 | INFO  | phase6_report | 
======================================================================
2026-03-22 00:41:04 | INFO  | phase6_report |   FILES GENERATED:
2026-03-22 00:41:04 | INFO  | phase6_report |     Reports:  report_known_antibiotics.md, report_novel_candidates.md
2026-03-22 00:41:04 | INFO  | phase6_report |     CSVs:     candidate_consensus.csv, candidate_known_antibiotics.csv
2026-03-22 00:41:04 | INFO  | phase6_report |               candidate_novel_discoveries.csv, candidate_detailed_top100.csv
2026-03-22 00:41:04 | INFO  | phase6_report |     HTML viz: 22 interactive plots in /scratch/vishakha.agrawal/antibiotic-selectivity/outputs/runs/run_20260315_034033/results/figures
2026-03-22 00:41:04 | INFO  | phase6_report | ======================================================================
2026-03-22 00:41:06 | INFO  | phase6_report | Logging to file: /scratch/vishakha.agrawal/antibiotic-selectivity/logs/phase6_report.log
2026-03-22 00:41:06 | INFO  | phase6_report | ======================================================================
2026-03-22 00:41:06 | INFO  | phase6_report |   CANDIDATE REPORT GENERATION (Scientific + Interactive HTML)
2026-03-22 00:41:06 | INFO  | phase6_report | ======================================================================
2026-03-22 00:41:06 | INFO  | phase6_report |   Loaded 24 screening lists
2026-03-22 00:41:07 | INFO  | phase6_report |   Total unique compounds in consensus: 395
2026-03-22 00:41:07 | INFO  | phase6_report |   Known antibiotics rediscovered: 36
2026-03-22 00:41:07 | INFO  | phase6_report |   Novel repurposing candidates: 359
2026-03-22 00:41:07 | INFO  | phase6_report |   Multi-model consensus (3+): 0
2026-03-22 00:41:07 | INFO  | phase6_report |   Multi-model consensus (4/4): 0
2026-03-22 00:41:07 | INFO  | phase6_report | 
  Generating interactive HTML visualizations...
2026-03-22 00:41:08 | INFO  | phase6_report |     Benchmark ecoli/dmpnn: known=283 (median S=0.010), novel=6456 (median S=0.003), novels>known_median=2474, novels>known_best=37
2026-03-22 00:41:08 | INFO  | phase6_report |     Benchmark ecoli/rf: known=283 (median S=0.119), novel=6456 (median S=0.164), novels>known_median=4964, novels>known_best=1
2026-03-22 00:41:08 | INFO  | phase6_report |     Benchmark saureus/dmpnn: known=283 (median S=0.014), novel=6456 (median S=0.010), novels>known_median=2994, novels>known_best=68
2026-03-22 00:41:08 | INFO  | phase6_report |     Benchmark saureus/rf: known=283 (median S=0.127), novel=6456 (median S=0.193), novels>known_median=5295, novels>known_best=0
