2026-04-08 16:05:04 | INFO  | dataset_analysis |  COMPLETED: Dataset Analysis Phase 1
2026-04-08 16:05:04 | INFO  | dataset_analysis |  Elapsed: 0m 50.4s
2026-04-08 16:05:04 | INFO  | dataset_analysis | ============================================================
2026-04-08 16:37:27 | INFO  | dataset_analysis | Logging to file: /scratch/vishakha.agrawal/antibiotic-selectivity-v2/logs/dataset_analysis.log
2026-04-08 16:37:27 | INFO  | dataset_analysis | ============================================================
2026-04-08 16:37:27 | INFO  | dataset_analysis |  STARTING: Dataset Analysis Phase 2: Reference Studies
2026-04-08 16:37:27 | INFO  | dataset_analysis | ============================================================
2026-04-08 16:37:27 | INFO  | dataset_analysis | 
  Loading our pipeline data...
2026-04-08 16:37:27 | INFO  | dataset_analysis |   Loaded: ecoli (28284 compounds)
2026-04-08 16:37:27 | INFO  | dataset_analysis |   Loaded: saureus (43853 compounds)
2026-04-08 16:37:27 | INFO  | dataset_analysis |   Loaded: paeruginosa (17783 compounds)
2026-04-08 16:37:27 | INFO  | dataset_analysis |   Loaded: mtb (18705 compounds)
2026-04-08 16:37:27 | INFO  | dataset_analysis |   Loaded: maier (1177 compounds)
2026-04-08 16:37:27 | INFO  | dataset_analysis |   Loaded: hub (6739 compounds)
2026-04-08 16:37:27 | INFO  | dataset_analysis | 
  Loading reference data...
2026-04-08 16:37:28 | INFO  | dataset_analysis |   Loaded: Stokes S2B Hub predictions (4496 compounds)
2026-04-08 16:37:28 | INFO  | dataset_analysis |   Loaded: Stokes S2H training data (2335 compounds)
2026-04-08 16:37:28 | INFO  | dataset_analysis |   Loaded: Stokes S2C (dmpnn_learned, 4496 compounds)
2026-04-08 16:37:29 | INFO  | dataset_analysis |   Loaded: Stokes S2D (dmpnn_rdkit, 4496 compounds)
2026-04-08 16:37:29 | INFO  | dataset_analysis |   Loaded: Stokes S2E (ffn_morgan, 4496 compounds)
2026-04-08 16:37:29 | INFO  | dataset_analysis |   Loaded: Stokes S2F (rf_morgan, 4496 compounds)
2026-04-08 16:37:30 | INFO  | dataset_analysis |   Loaded: Stokes S2G (svm_morgan, 4496 compounds)
2026-04-08 16:37:30 | INFO  | dataset_analysis |   Loaded: Stokes S2A (200 RDKit features)
2026-04-08 16:37:30 | INFO  | dataset_analysis |   Loaded: Wong training data (39312 compounds)
2026-04-08 16:37:30 | INFO  | dataset_analysis |   Loaded: Wong broad800 predictions (99999 compounds)
2026-04-08 16:37:30 | INFO  | dataset_analysis |   Loaded: Wong mcule sample (9999 compounds, 1128 total files)
2026-04-08 16:37:30 | INFO  | dataset_analysis | 
