2026-04-03 20:59:00 | ERROR | phase_dmpnn_rdkit |     ecoli_fold0 FAILED (exit code 1)
2026-04-03 20:59:00 | ERROR | phase_dmpnn_rdkit |     Last lines of /scratch/vishakha.agrawal/antibiotic-selectivity-v2/outputs/runs/run_20260315_034033/models/dmpnn_rdkit/train_ecoli_fold0.log:
2026-04-03 20:59:00 | ERROR | phase_dmpnn_rdkit |           self.cluster_environment: ClusterEnvironment = self._choose_and_init_cluster_environment()
2026-04-03 20:59:00 | ERROR | phase_dmpnn_rdkit |                                                          ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2026-04-03 20:59:00 | ERROR | phase_dmpnn_rdkit |         File "/home2/vishakha.agrawal/antibiotic-selectivity/venv/lib/python3.12/site-packages/lightning/pytorch/trainer/connectors/accelerator_connector.py", line 409, in _choose_and_init_cluster_environment
2026-04-03 20:59:00 | ERROR | phase_dmpnn_rdkit |           return env_type()
2026-04-03 20:59:00 | ERROR | phase_dmpnn_rdkit |                  ^^^^^^^^^^
2026-04-03 20:59:00 | ERROR | phase_dmpnn_rdkit |         File "/home2/vishakha.agrawal/antibiotic-selectivity/venv/lib/python3.12/site-packages/lightning/fabric/plugins/environments/slurm.py", line 54, in __init__
2026-04-03 20:59:00 | ERROR | phase_dmpnn_rdkit |           self._validate_srun_variables()
2026-04-03 20:59:00 | ERROR | phase_dmpnn_rdkit |         File "/home2/vishakha.agrawal/antibiotic-selectivity/venv/lib/python3.12/site-packages/lightning/fabric/plugins/environments/slurm.py", line 221, in _validate_srun_variables
2026-04-03 20:59:00 | ERROR | phase_dmpnn_rdkit |           raise RuntimeError(
2026-04-03 20:59:00 | ERROR | phase_dmpnn_rdkit |       RuntimeError: You set `--ntasks=30` in your SLURM bash script, but this variable is not supported. HINT: Use `--ntasks-per-node=30` instead.
2026-04-03 20:59:00 | INFO  | phase_dmpnn_rdkit |     Launched ecoli_fold4 on GPU 0 (PID 918673)
2026-04-03 20:59:00 | INFO  | phase_dmpnn_rdkit |     CMD: /home2/vishakha.agrawal/antibiotic-selectivity/venv/bin/chemprop train --data-path /scratch/vishakha.agrawal/antibiotic-selectivity-v2/outputs/runs/run_20260315_034033/models/dmpnn_rdkit/ecoli/fold_4/combined.csv --save-dir /scratch/vishakha.agrawal/antibiotic-selectivity-v2/outputs/runs/run_20260315_034033/models/dmpnn_rdkit/ecoli/fold_4...
2026-04-03 20:59:00 | INFO  | phase_dmpnn_rdkit |     Log: /scratch/vishakha.agrawal/antibiotic-selectivity-v2/outputs/runs/run_20260315_034033/models/dmpnn_rdkit/train_ecoli_fold4.log
2026-04-03 20:59:20 | ERROR | phase_dmpnn_rdkit |     ecoli_fold2 FAILED (exit code 1)
2026-04-03 20:59:20 | ERROR | phase_dmpnn_rdkit |     Last lines of /scratch/vishakha.agrawal/antibiotic-selectivity-v2/outputs/runs/run_20260315_034033/models/dmpnn_rdkit/train_ecoli_fold2.log:
2026-04-03 20:59:20 | ERROR | phase_dmpnn_rdkit |           self.cluster_environment: ClusterEnvironment = self._choose_and_init_cluster_environment()
2026-04-03 20:59:20 | ERROR | phase_dmpnn_rdkit |                                                          ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2026-04-03 20:59:20 | ERROR | phase_dmpnn_rdkit |         File "/home2/vishakha.agrawal/antibiotic-selectivity/venv/lib/python3.12/site-packages/lightning/pytorch/trainer/connectors/accelerator_connector.py", line 409, in _choose_and_init_cluster_environment
2026-04-03 20:59:20 | ERROR | phase_dmpnn_rdkit |           return env_type()
2026-04-03 20:59:20 | ERROR | phase_dmpnn_rdkit |                  ^^^^^^^^^^
2026-04-03 20:59:20 | ERROR | phase_dmpnn_rdkit |         File "/home2/vishakha.agrawal/antibiotic-selectivity/venv/lib/python3.12/site-packages/lightning/fabric/plugins/environments/slurm.py", line 54, in __init__
2026-04-03 20:59:20 | ERROR | phase_dmpnn_rdkit |           self._validate_srun_variables()
2026-04-03 20:59:20 | ERROR | phase_dmpnn_rdkit |         File "/home2/vishakha.agrawal/antibiotic-selectivity/venv/lib/python3.12/site-packages/lightning/fabric/plugins/environments/slurm.py", line 221, in _validate_srun_variables
2026-04-03 20:59:20 | ERROR | phase_dmpnn_rdkit |           raise RuntimeError(
2026-04-03 20:59:20 | ERROR | phase_dmpnn_rdkit |       RuntimeError: You set `--ntasks=30` in your SLURM bash script, but this variable is not supported. HINT: Use `--ntasks-per-node=30` instead.
2026-04-03 20:59:20 | INFO  | phase_dmpnn_rdkit |     Launched saureus_fold0 on GPU 2 (PID 918698)
2026-04-03 20:59:20 | INFO  | phase_dmpnn_rdkit |     CMD: /home2/vishakha.agrawal/antibiotic-selectivity/venv/bin/chemprop train --data-path /scratch/vishakha.agrawal/antibiotic-selectivity-v2/outputs/runs/run_20260315_034033/models/dmpnn_rdkit/saureus/fold_0/combined.csv --save-dir /scratch/vishakha.agrawal/antibiotic-selectivity-v2/outputs/runs/run_20260315_034033/models/dmpnn_rdkit/saureus/fold_0...
2026-04-03 20:59:20 | INFO  | phase_dmpnn_rdkit |     Log: /scratch/vishakha.agrawal/antibiotic-selectivity-v2/outputs/runs/run_20260315_034033/models/dmpnn_rdkit/train_saureus_fold0.log
2026-04-03 21:20:36 | ERROR | phase_dmpnn_rdkit |     ecoli_fold3 FAILED (exit code 1)
2026-04-03 21:20:36 | ERROR | phase_dmpnn_rdkit |     Last lines of /scratch/vishakha.agrawal/antibiotic-selectivity-v2/outputs/runs/run_20260315_034033/models/dmpnn_rdkit/train_ecoli_fold3.log:
2026-04-03 21:20:36 | ERROR | phase_dmpnn_rdkit |           self.cluster_environment: ClusterEnvironment = self._choose_and_init_cluster_environment()
2026-04-03 21:20:36 | ERROR | phase_dmpnn_rdkit |                                                          ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2026-04-03 21:20:36 | ERROR | phase_dmpnn_rdkit |         File "/home2/vishakha.agrawal/antibiotic-selectivity/venv/lib/python3.12/site-packages/lightning/pytorch/trainer/connectors/accelerator_connector.py", line 409, in _choose_and_init_cluster_environment
2026-04-03 21:20:36 | ERROR | phase_dmpnn_rdkit |           return env_type()
2026-04-03 21:20:36 | ERROR | phase_dmpnn_rdkit |                  ^^^^^^^^^^
2026-04-03 21:20:36 | ERROR | phase_dmpnn_rdkit |         File "/home2/vishakha.agrawal/antibiotic-selectivity/venv/lib/python3.12/site-packages/lightning/fabric/plugins/environments/slurm.py", line 54, in __init__
2026-04-03 21:20:36 | ERROR | phase_dmpnn_rdkit |           self._validate_srun_variables()
2026-04-03 21:20:36 | ERROR | phase_dmpnn_rdkit |         File "/home2/vishakha.agrawal/antibiotic-selectivity/venv/lib/python3.12/site-packages/lightning/fabric/plugins/environments/slurm.py", line 221, in _validate_srun_variables
2026-04-03 21:20:36 | ERROR | phase_dmpnn_rdkit |           raise RuntimeError(
2026-04-03 21:20:36 | ERROR | phase_dmpnn_rdkit |       RuntimeError: You set `--ntasks=30` in your SLURM bash script, but this variable is not supported. HINT: Use `--ntasks-per-node=30` instead.
2026-04-03 21:20:36 | INFO  | phase_dmpnn_rdkit |     Launched saureus_fold1 on GPU 1 (PID 918909)
2026-04-03 21:20:36 | INFO  | phase_dmpnn_rdkit |     CMD: /home2/vishakha.agrawal/antibiotic-selectivity/venv/bin/chemprop train --data-path /scratch/vishakha.agrawal/antibiotic-selectivity-v2/outputs/runs/run_20260315_034033/models/dmpnn_rdkit/saureus/fold_1/combined.csv --save-dir /scratch/vishakha.agrawal/antibiotic-selectivity-v2/outputs/runs/run_20260315_034033/models/dmpnn_rdkit/saureus/fold_1...
2026-04-03 21:20:36 | INFO  | phase_dmpnn_rdkit |     Log: /scratch/vishakha.agrawal/antibiotic-selectivity-v2/outputs/runs/run_20260315_034033/models/dmpnn_rdkit/train_saureus_fold1.log
2026-04-03 21:21:51 | ERROR | phase_dmpnn_rdkit |     ecoli_fold4 FAILED (exit code 1)
2026-04-03 21:21:51 | ERROR | phase_dmpnn_rdkit |     Last lines of /scratch/vishakha.agrawal/antibiotic-selectivity-v2/outputs/runs/run_20260315_034033/models/dmpnn_rdkit/train_ecoli_fold4.log:
2026-04-03 21:21:51 | ERROR | phase_dmpnn_rdkit |           self.cluster_environment: ClusterEnvironment = self._choose_and_init_cluster_environment()
2026-04-03 21:21:51 | ERROR | phase_dmpnn_rdkit |                                                          ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2026-04-03 21:21:51 | ERROR | phase_dmpnn_rdkit |         File "/home2/vishakha.agrawal/antibiotic-selectivity/venv/lib/python3.12/site-packages/lightning/pytorch/trainer/connectors/accelerator_connector.py", line 409, in _choose_and_init_cluster_environment
2026-04-03 21:21:51 | ERROR | phase_dmpnn_rdkit |           return env_type()
2026-04-03 21:21:51 | ERROR | phase_dmpnn_rdkit |                  ^^^^^^^^^^
2026-04-03 21:21:51 | ERROR | phase_dmpnn_rdkit |         File "/home2/vishakha.agrawal/antibiotic-selectivity/venv/lib/python3.12/site-packages/lightning/fabric/plugins/environments/slurm.py", line 54, in __init__
2026-04-03 21:21:51 | ERROR | phase_dmpnn_rdkit |           self._validate_srun_variables()
2026-04-03 21:21:51 | ERROR | phase_dmpnn_rdkit |         File "/home2/vishakha.agrawal/antibiotic-selectivity/venv/lib/python3.12/site-packages/lightning/fabric/plugins/environments/slurm.py", line 221, in _validate_srun_variables
2026-04-03 21:21:51 | ERROR | phase_dmpnn_rdkit |           raise RuntimeError(
