2026-03-21 19:50:32 | INFO  | phase3d |     Epoch 11/20: train_loss=0.2398, 229s
2026-03-21 19:54:21 | INFO  | phase3d |     Epoch 12/20: train_loss=0.2330, 229s
2026-03-21 19:58:10 | INFO  | phase3d |     Epoch 13/20: train_loss=0.2218, 229s
2026-03-21 20:02:00 | INFO  | phase3d |     Epoch 14/20: train_loss=0.2126, 230s
2026-03-21 20:05:49 | INFO  | phase3d |     Epoch 15/20: train_loss=0.2059, 229s
2026-03-21 20:09:39 | INFO  | phase3d |     Epoch 16/20: train_loss=0.1986, 230s
2026-03-21 20:13:29 | INFO  | phase3d |     Epoch 17/20: train_loss=0.1933, 230s
2026-03-21 20:17:19 | INFO  | phase3d |     Epoch 18/20: train_loss=0.1938, 230s
2026-03-21 20:21:10 | INFO  | phase3d |     Epoch 19/20: train_loss=0.1909, 230s
2026-03-21 20:24:59 | INFO  | phase3d |     Epoch 20/20: train_loss=0.1907, 230s
2026-03-21 20:25:14 | INFO  | phase3d |     Screening: /scratch/vishakha.agrawal/antibiotic-selectivity/outputs/runs/run_20260315_034033/results/screening/molformer_ranked_ecoli.csv (6739 compounds)
2026-03-21 20:25:14 | INFO  | phase3d | 
  >>> Model 2/7: molformer_saureus <<<
2026-03-21 20:25:14 | INFO  | phase3d | 
  Training molformer_saureus with 5-fold scaffold CV...
2026-03-21 20:25:14 | INFO  | phase3d |     [10_train_molformer.py:molformer_saureus:fold_0] Starting fold 0/5...
2026-03-21 20:25:14 | INFO  | phase3d |     Loading MoLFormer from ibm/MoLFormer-XL-both-10pct...
2026-03-21 20:25:14 | INFO  | phase3d |     transformers version: 4.57.6
2026-03-21 20:25:18 | INFO  | phase3d |     Encoder: 44.4M params
2026-03-21 20:25:18 | INFO  | phase3d |     Classifier: 769 params
2026-03-21 20:25:18 | INFO  | phase3d |     Device: cuda
2026-03-21 20:25:35 | INFO  | phase3d |     [10_train_molformer.py:molformer_saureus:fold_0] SKIP (cached model), ROC-AUC=0.8562, PR-AUC=0.8203
2026-03-21 20:25:35 | INFO  | phase3d |     [10_train_molformer.py:molformer_saureus:fold_1] Starting fold 1/5...
2026-03-21 20:25:35 | INFO  | phase3d |     Loading MoLFormer from ibm/MoLFormer-XL-both-10pct...
2026-03-21 20:25:35 | INFO  | phase3d |     transformers version: 4.57.6
2026-03-21 20:25:39 | INFO  | phase3d |     Encoder: 44.4M params
2026-03-21 20:25:39 | INFO  | phase3d |     Classifier: 769 params
2026-03-21 20:25:39 | INFO  | phase3d |     Device: cuda
2026-03-21 20:25:55 | INFO  | phase3d |     [10_train_molformer.py:molformer_saureus:fold_1] SKIP (cached model), ROC-AUC=0.8231, PR-AUC=0.8003
2026-03-21 20:25:56 | INFO  | phase3d |     [10_train_molformer.py:molformer_saureus:fold_2] Starting fold 2/5...
2026-03-21 20:25:56 | INFO  | phase3d |     Loading MoLFormer from ibm/MoLFormer-XL-both-10pct...
2026-03-21 20:25:56 | INFO  | phase3d |     transformers version: 4.57.6
2026-03-21 20:25:59 | INFO  | phase3d |     Encoder: 44.4M params
2026-03-21 20:25:59 | INFO  | phase3d |     Classifier: 769 params
2026-03-21 20:25:59 | INFO  | phase3d |     Device: cuda
2026-03-21 20:26:16 | INFO  | phase3d |     [10_train_molformer.py:molformer_saureus:fold_2] SKIP (cached model), ROC-AUC=0.8491, PR-AUC=0.8326
2026-03-21 20:26:16 | INFO  | phase3d |     [10_train_molformer.py:molformer_saureus:fold_3] Starting fold 3/5...
2026-03-21 20:26:16 | INFO  | phase3d |     Loading MoLFormer from ibm/MoLFormer-XL-both-10pct...
2026-03-21 20:26:16 | INFO  | phase3d |     transformers version: 4.57.6
2026-03-21 20:26:20 | INFO  | phase3d |     Encoder: 44.4M params
2026-03-21 20:26:20 | INFO  | phase3d |     Classifier: 769 params
2026-03-21 20:26:20 | INFO  | phase3d |     Device: cuda
2026-03-21 20:26:37 | INFO  | phase3d |     [10_train_molformer.py:molformer_saureus:fold_3] SKIP (cached model), ROC-AUC=0.8239, PR-AUC=0.7670
2026-03-21 20:26:37 | INFO  | phase3d |     [10_train_molformer.py:molformer_saureus:fold_4] Starting fold 4/5...
2026-03-21 20:26:37 | INFO  | phase3d |     Loading MoLFormer from ibm/MoLFormer-XL-both-10pct...
2026-03-21 20:26:37 | INFO  | phase3d |     transformers version: 4.57.6
2026-03-21 20:26:41 | INFO  | phase3d |     Encoder: 44.4M params
2026-03-21 20:26:41 | INFO  | phase3d |     Classifier: 769 params
2026-03-21 20:26:41 | INFO  | phase3d |     Device: cuda
2026-03-21 20:26:58 | INFO  | phase3d |     [10_train_molformer.py:molformer_saureus:fold_4] SKIP (cached model), ROC-AUC=0.8206, PR-AUC=0.7919
2026-03-21 20:26:58 | INFO  | phase3d |   molformer_saureus CV: ROC-AUC = 0.8346 +/- 0.0150
2026-03-21 20:26:58 | INFO  | phase3d |   molformer_saureus: 105s
2026-03-21 20:26:59 | INFO  | phase3d |     Training final molformer_saureus on all 43853 samples...
2026-03-21 20:26:59 | INFO  | phase3d |     Loading MoLFormer from ibm/MoLFormer-XL-both-10pct...
2026-03-21 20:26:59 | INFO  | phase3d |     transformers version: 4.57.6
2026-03-21 20:27:02 | INFO  | phase3d |     Encoder: 44.4M params
2026-03-21 20:27:02 | INFO  | phase3d |     Classifier: 769 params
2026-03-21 20:27:02 | INFO  | phase3d |     Device: cuda
2026-03-21 20:27:02 | INFO  | phase3d |     Tokenizing 43853 training SMILES...
2026-03-21 20:27:10 | INFO  | phase3d |     Tokenized in 8.4s, input shape: torch.Size([43853, 202])
2026-03-21 20:27:10 | INFO  | phase3d |     Training: 20 epochs, 1371 batches/epoch, batch_size=32, 43853 compounds
2026-03-21 20:27:10 | INFO  | phase3d |     LR: encoder=1e-05, classifier=0.0001, warmup=2742/27420 steps
2026-03-21 20:33:06 | INFO  | phase3d |     Epoch 1/20: train_loss=0.5916, 355s
2026-03-21 20:39:04 | INFO  | phase3d |     Epoch 2/20: train_loss=0.5111, 358s
2026-03-21 20:45:02 | INFO  | phase3d |     Epoch 3/20: train_loss=0.4653, 359s
2026-03-21 20:51:00 | INFO  | phase3d |     Epoch 4/20: train_loss=0.4230, 358s
2026-03-21 20:56:57 | INFO  | phase3d |     Epoch 5/20: train_loss=0.3921, 357s
2026-03-21 21:02:55 | INFO  | phase3d |     Epoch 6/20: train_loss=0.3662, 358s
2026-03-21 21:08:51 | INFO  | phase3d |     Epoch 7/20: train_loss=0.3446, 357s
2026-03-21 21:14:48 | INFO  | phase3d |     Epoch 8/20: train_loss=0.3288, 357s
2026-03-21 21:20:44 | INFO  | phase3d |     Epoch 9/20: train_loss=0.3118, 356s
2026-03-21 21:26:41 | INFO  | phase3d |     Epoch 10/20: train_loss=0.3002, 356s
2026-03-21 21:32:37 | INFO  | phase3d |     Epoch 11/20: train_loss=0.2837, 356s
2026-03-21 21:38:33 | INFO  | phase3d |     Epoch 12/20: train_loss=0.2754, 356s
2026-03-21 21:44:30 | INFO  | phase3d |     Epoch 13/20: train_loss=0.2615, 357s
2026-03-21 21:50:26 | INFO  | phase3d |     Epoch 14/20: train_loss=0.2558, 355s
2026-03-21 21:56:22 | INFO  | phase3d |     Epoch 15/20: train_loss=0.2454, 356s
2026-03-21 22:02:18 | INFO  | phase3d |     Epoch 16/20: train_loss=0.2381, 356s
2026-03-21 22:08:15 | INFO  | phase3d |     Epoch 17/20: train_loss=0.2366, 357s
2026-03-21 22:14:11 | INFO  | phase3d |     Epoch 18/20: train_loss=0.2312, 356s
2026-03-21 22:20:07 | INFO  | phase3d |     Epoch 19/20: train_loss=0.2297, 356s
2026-03-21 22:26:02 | INFO  | phase3d |     Epoch 20/20: train_loss=0.2284, 355s
2026-03-21 22:26:17 | INFO  | phase3d |     Screening: /scratch/vishakha.agrawal/antibiotic-selectivity/outputs/runs/run_20260315_034033/results/screening/molformer_ranked_saureus.csv (6739 compounds)
2026-03-21 22:26:17 | INFO  | phase3d | 
  >>> Model 3/7: molformer_paeruginosa <<<
2026-03-21 22:26:17 | INFO  | phase3d | 
  Training molformer_paeruginosa with 5-fold scaffold CV...
2026-03-21 22:26:17 | INFO  | phase3d |     [10_train_molformer.py:molformer_paeruginosa:fold_0] Starting fold 0/5...
2026-03-21 22:26:17 | INFO  | phase3d |     Loading MoLFormer from ibm/MoLFormer-XL-both-10pct...
2026-03-21 22:26:17 | INFO  | phase3d |     transformers version: 4.57.6
2026-03-21 22:26:21 | INFO  | phase3d |     Encoder: 44.4M params
2026-03-21 22:26:21 | INFO  | phase3d |     Classifier: 769 params
2026-03-21 22:26:21 | INFO  | phase3d |     Device: cuda
2026-03-21 22:26:27 | INFO  | phase3d |     [10_train_molformer.py:molformer_paeruginosa:fold_0] SKIP (cached model), ROC-AUC=0.8162, PR-AUC=0.6681
2026-03-21 22:26:27 | INFO  | phase3d |     [10_train_molformer.py:molformer_paeruginosa:fold_1] Starting fold 1/5...
2026-03-21 22:26:27 | INFO  | phase3d |     Loading MoLFormer from ibm/MoLFormer-XL-both-10pct...
2026-03-21 22:26:27 | INFO  | phase3d |     transformers version: 4.57.6
2026-03-21 22:26:31 | INFO  | phase3d |     Encoder: 44.4M params
2026-03-21 22:26:31 | INFO  | phase3d |     Classifier: 769 params
2026-03-21 22:26:31 | INFO  | phase3d |     Device: cuda
2026-03-21 22:26:37 | INFO  | phase3d |     [10_train_molformer.py:molformer_paeruginosa:fold_1] SKIP (cached model), ROC-AUC=0.8189, PR-AUC=0.6450
2026-03-21 22:26:37 | INFO  | phase3d |     [10_train_molformer.py:molformer_paeruginosa:fold_2] Starting fold 2/5...
2026-03-21 22:26:37 | INFO  | phase3d |     Loading MoLFormer from ibm/MoLFormer-XL-both-10pct...
2026-03-21 22:26:37 | INFO  | phase3d |     transformers version: 4.57.6
2026-03-21 22:26:41 | INFO  | phase3d |     Encoder: 44.4M params
2026-03-21 22:26:41 | INFO  | phase3d |     Classifier: 769 params
2026-03-21 22:26:41 | INFO  | phase3d |     Device: cuda
2026-03-21 22:26:47 | INFO  | phase3d |     [10_train_molformer.py:molformer_paeruginosa:fold_2] SKIP (cached model), ROC-AUC=0.8224, PR-AUC=0.6929
2026-03-21 22:26:47 | INFO  | phase3d |     [10_train_molformer.py:molformer_paeruginosa:fold_3] Starting fold 3/5...
