2026-04-02 17:13:46 | INFO  | phase3c_frozen |     Saved: chemeleon_frozen_ranked_mtb_t5.csv (6739 compounds, top S=1.0000)
2026-04-02 17:13:46 | INFO  | phase3c_frozen |     Saved: chemeleon_frozen_ranked_mtb_t10.csv (6739 compounds, top S=0.9941)
2026-04-02 17:13:46 | INFO  | phase3c_frozen |     Saved: chemeleon_frozen_ranked_mtb_t20.csv (6739 compounds, top S=1.0000)
2026-04-02 17:13:46 | INFO  | phase3c_frozen | 
  Generating Phase 3C figures...
2026-04-02 17:13:48 | INFO  | phase3c_frozen |   Figure: phase3c_cv_metrics
2026-04-02 17:13:49 | INFO  | phase3c_frozen |   Figure: phase3c_selectivity_ecoli
2026-04-02 17:13:49 | INFO  | phase3c_frozen |   Saved: /scratch/vishakha.agrawal/antibiotic-selectivity-v2/outputs/runs/run_20260315_034033/results/reports/phase3c_quality_report.json
2026-04-02 17:13:49 | INFO  | phase3c_frozen |   CheMeleon Frozen: 7 tasks, 1562s
2026-04-02 17:13:49 | INFO  | phase3c_frozen | ============================================================
2026-04-02 17:13:49 | INFO  | phase3c_frozen |  COMPLETED: Phase 3C-Frozen
2026-04-02 17:13:49 | INFO  | phase3c_frozen |  Elapsed: 26m 2.4s
2026-04-02 17:13:49 | INFO  | phase3c_frozen | ============================================================
2026-04-03 16:22:50 | INFO  | phase3c_frozen | Logging to file: /scratch/vishakha.agrawal/antibiotic-selectivity-v2/logs/phase3c_frozen.log
2026-04-03 16:30:00 | INFO  | phase3c_frozen | Logging to file: /scratch/vishakha.agrawal/antibiotic-selectivity-v2/logs/phase3c_frozen.log
2026-04-03 16:40:37 | INFO  | phase3c_frozen | Logging to file: /scratch/vishakha.agrawal/antibiotic-selectivity-v2/logs/phase3c_frozen.log
2026-04-03 16:53:13 | INFO  | phase3c_frozen | Logging to file: /scratch/vishakha.agrawal/antibiotic-selectivity-v2/logs/phase3c_frozen.log
2026-04-03 17:05:06 | INFO  | phase3c_frozen | Logging to file: /scratch/vishakha.agrawal/antibiotic-selectivity-v2/logs/phase3c_frozen.log
2026-04-05 09:36:29 | INFO  | phase3c_frozen | Logging to file: /scratch/vishakha.agrawal/antibiotic-selectivity-v2/logs/phase3c_frozen.log
2026-04-16 18:01:54 | INFO  | phase3c_frozen | Logging to file: /scratch/vishakha.agrawal/antibiotic-selectivity-v2/logs/phase3c_frozen.log
