Lead Time,Precision,Recall (POD),F1 Score,MCC,HSS,PSS / TSS,CSI,FAR,POFD,Freq Bias,Correlation,n
7 days,0.0707,0.9296,0.1314,0.1835,0.0738,0.5064,0.0703,0.9293,0.4232,13.1525,0.0,10190
14 days,0.0769,0.935,0.1422,0.1932,0.0806,0.5131,0.0765,0.9231,0.4218,12.1545,0.0,10183
30 days,0.0905,0.9376,0.1651,0.2109,0.0948,0.5186,0.09,0.9095,0.419,10.358,0.0,10167
60 days,0.1126,0.9132,0.2005,0.2277,0.1145,0.4979,0.1114,0.8874,0.4153,8.1103,0.0,10137
90 days,0.1327,0.8841,0.2307,0.2367,0.13,0.4718,0.1304,0.8673,0.4123,6.6642,0.5658,10107
