Lead Time,Precision,Recall (POD),F1 Score,MCC,HSS,PSS / TSS,CSI,FAR,POFD,Freq Bias,Correlation,n
7 days,0.1342,0.9902,0.2363,0.2783,0.146,0.5819,0.134,0.8658,0.4083,7.3807,0.0,10190
14 days,0.145,0.9909,0.253,0.2903,0.1576,0.5853,0.1448,0.855,0.4056,6.8336,0.0,10183
30 days,0.1676,0.9793,0.2862,0.3089,0.1797,0.579,0.167,0.8324,0.4003,5.8435,0.0,10167
60 days,0.1959,0.9003,0.3218,0.2998,0.1933,0.5035,0.1918,0.8041,0.3968,4.5951,0.0,10137
90 days,0.2163,0.8189,0.3422,0.2737,0.1912,0.4218,0.2064,0.7837,0.3971,3.7863,0.5958,10107
