Model,mae,rmse,r2,bl_f1,bl_precision,bl_recall
Ensemble-pCRVI-30d,0.17053627783179984,0.5173716697201909,0.808173072402549,0.7377049180327869,1.0,0.5844155844155844
Ensemble-pCRVI-60d,0.19000367679203012,0.6820674346523529,0.6675175921936942,0.3076923076923077,1.0,0.18181818181818182
