feature,importance
oni_lag60,0.2988512916915113
pcrvi,0.19704942379348134
dmi_lag60,0.09746436312186361
doy_sin,0.09695913355582784
sst_anomaly,0.07148170719921369
cdr_norm_lag14,0.04513103611103787
cdr_norm,0.033417205058774546
bh_norm_lag7,0.02649240241442671
bh_norm,0.022647288435327394
ta_norm,0.020068688982280286
pcrvi_lag7,0.016114367961686665
bh_norm_lag14,0.01569782802572197
doy_cos,0.013810497585042814
la_norm_lag7,0.00835703123854998
sr_norm,0.007498341939416457
sr_norm_lag7,0.005800784046359711
sr_norm_lag14,0.00464267487639627
pcrvi_lag14,0.004523251628202362
ta_norm_lag7,0.0044129766072308575
cdr_norm_lag7,0.004290962211586691
ta_norm_lag14,0.0024494576740982116
la_norm_lag14,0.0011374114825103458
la_norm,0.0007028828241400119
wq_norm,0.0005797173959177947
wq_norm_lag7,0.00022411023895346524
wq_norm_lag14,0.00019516390044170057
