smiles,median_value_nM,activity_label,molecule_chembl_id,n_measurements,source_type
Brc1cccc(CNCCCNc2nc3ccccc3s2)c1,85324.12272488799,0,CHEMBL2016813,1,MIC
Brc1cccc(CNCCNc2nc3ccccc3s2)c1,177273.12520722978,0,CHEMBL2016812,1,MIC
Brc1cccc(CN[C@H]2CCCC[C@@H]2NCc2cccc(Br)c2)c1,49.38197423458507,1,CHEMBL1668206,2,MIC
Brc1cccc(COc2ccc3c(c2)CCc2nccn2-3)c1,141228.26639055883,0,CHEMBL2314954,1,MIC
Brc1cccc2c1CCC(Cn1ccnc1)/C2=N/OCc1ccccc1,955.8056622482632,1,CHEMBL476214,1,MIC
Brc1cccc2c1CCC(Cn1cncn1)/C2=N/OCc1ccccc1,15241.14329663902,0,CHEMBL514205,1,MIC
Brc1cccc2c3c(ccc12)OCc1[se]nnc1-3,683264.162129128,0,CHEMBL457784,1,MIC
Brc1ccccc1-c1cc(-c2ccc(-n3cccc3)cc2)on1,137354.6658351758,0,CHEMBL3745900,1,MIC
Brc1ccccc1-c1nnc(-c2ccc(-n3cccc3)cc2)o1,21916.825018158364,0,CHEMBL2281597,1,MIC
Brc1ccccc1COc1ccc2c(c1)CCc1nccn1-2,141228.26639055883,0,CHEMBL2314953,1,MIC
C#CC#CC#C/C=C/C(=O)Nc1ccc(C(=O)O)cc1,121646.06444967542,0,CHEMBL525593,1,MIC
C#CC#CC#C/C=C/C=C/C(C)O,146995.55928661488,0,CHEMBL147602,2,MIC
C#CC#CC#CC#C/C=C/C(O)CCCCC(=O)O,3148.437481363833,1,CHEMBL148000,2,MIC
C#CC#CC#CC#C/C=C/C=C/C(C)O,4122.156714697416,1,CHEMBL358752,2,MIC
C#CC#CC#CC#C/C=C/C=C/[C@@H](C)O,5925.600277377534,1,CHEMBL2093005,2,MIC
C#CC#CC#CC#C/C=C/C=C/[C@H](C)O,11851.200554755069,0,CHEMBL1788253,2,MIC
C#CC#CC#CC#CC1(O)CCCCC1,127493.2484011902,0,CHEMBL440351,1,MIC
C#CC1[C@H](NC(=O)/C(=N\OC(c2cc(=O)c(O)cn2O)C(C)C)c2csc(N)n2)C(=O)N1S(=O)(=O)O,118502.42891267859,0,CHEMBL4166260,2,MIC
C#CCCCCCCCCCOc1ccc(-c2nc3ccc(-c4nc5ccc(N6CCN(C)CC6)cc5[nH]4)cc3[nH]2)cc1,27857.96567624033,0,CHEMBL3581011,3,MIC
C#CCCCCCc1cn(CCOc2ccc(-c3nc4ccc(N5CCN(C)CC5)cc4[nH]3)cc2)nn1,32174.36519231532,0,CHEMBL4091028,2,MIC
C#CCCCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)CO,500000.0,0,CHEMBL462233,1,MIC
C#CCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOc1ccc(Br)c(-c2cc3cnc(N)nc3nc2N)c1Br,12500.0,0,CHEMBL5272654,1,MIC
C#CCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOc1ccc(Br)c(-c2cc3cnc(N)nc3nc2N)c1Br,18750.0,0,CHEMBL5270480,2,MIC
C#CCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOc1ccc(Br)c(-c2cc3cnc(N)nc3nc2N)c1Br,74000.0,0,CHEMBL5283666,2,MIC
