smiles,median_value_nM,activity_label,molecule_chembl_id,n_measurements,source_type
Brc1ccc(C(c2c[nH]c3ccc(Br)cc23)c2c[nH]c3ccc(Br)cc23)cc1,56217.31735399319,0,CHEMBL2430213,3,MIC
Brc1ccc(C(c2c[nH]c3ccccc23)c2c[nH]c3ccccc23)cc1,1249820.3050734273,0,CHEMBL4067396,1,MIC
Brc1ccc(C2=NC(c3ccc(Br)cc3)Nc3ccccc32)cc1,284121.6635510926,0,CHEMBL5180154,3,MIC
Brc1ccc(C2=NN(c3nc(-c4ccccc4)cs3)C(c3ccco3)C2)cc1,3474.234744830604,1,CHEMBL2047650,1,MIC
Brc1ccc(C2=NN(c3nc(-c4ccccc4)cs3)C(c3cccs3)C2)cc1,26881.89954958061,0,CHEMBL2047640,1,MIC
Brc1ccc(C2N=C(c3ccccc3)c3ccccc3N2)cc1,517895.91319528734,0,CHEMBL5196899,2,MIC
Brc1ccc(CNC2CCCCC2NCc2ccc(Br)cc2)cc1,32.92131615639005,1,CHEMBL1668192,1,MIC
Brc1ccc(CN[C@H]2CCCC[C@@H]2NCc2ccc(Br)cc2)cc1,4.115164519548756,1,CHEMBL1668207,1,MIC
Brc1ccc(COC(Cn2cnc3ccccc32)c2ccccc2)cc1,19233.228304617398,0,CHEMBL400425,2,MIC
Brc1ccc(COc2ccc3c(c2)CCc2nccn2-3)cc1,141228.26639055883,0,CHEMBL2314955,1,MIC
Brc1ccc(CSc2cc3ccccc3[n+](CCCCCC3CCCCC3)c2)cc1,1034.3873348502075,1,CHEMBL2441872,2,MIC
Brc1ccc(Nc2nn3c(-c4ccccc4)nnc3s2)cc1,21052.119233440717,0,CHEMBL1927714,3,MIC
Brc1ccc2[nH]c(-c3cc4ccc(Br)cc4[nH]3)cc2c1,1288.9219880526637,1,CHEMBL3113885,1,MIC
Brc1ccc2[nH]c(/C=C/c3ccc4c(c3)OCO4)nc2c1,23391.786211719438,0,CHEMBL573876,1,MIC
Brc1ccc2[nH]c(/C=C/c3ccccc3)nc2c1,6711.17156709665,1,CHEMBL574339,1,MIC
Brc1ccc2[nH]c3ccc(Br)cc3c2c1,148655.35497785488,0,CHEMBL5075756,20,MIC
Brc1ccc2[nH]c3ccccc3c2c1,326551.92294874915,0,CHEMBL5088566,4,MIC
Brc1ccc2[nH]cc(-c3ccnc(NCc4ccccc4)n3)c2c1,6250.0,1,CHEMBL4204530,3,MIC
