smiles,median_value_nM,activity_label,molecule_chembl_id,n_measurements,source_type
Brc1ccc2[nH]c(-c3cc(-c4ccccc4)ccn3)nc2c1,35814.416736667816,0,CHEMBL3358781,3,MIC
Brc1ccc2[nH]c(CCC3CCCCC3)nc2c1,2450.394533990241,1,CHEMBL3358764,3,MIC
Brc1ccc2c(c1)[C@@H]1OCCC[C@@H]1[C@@H](c1ccc3oc4ccccc4c3c1)N2,14431.922326647365,0,CHEMBL1829104,1,MIC
Brc1ccc2c(c1)[C@@H]1OCCC[C@@H]1[C@H](c1ccc3oc4ccccc4c3c1)N2,28863.84465329473,0,CHEMBL1829103,1,MIC
Brc1cccc(-c2cc(-c3ccc(-n4cccc4)cc3)on2)c1,137354.6658351758,0,CHEMBL3746102,1,MIC
Brc1cccc(-c2nc3ccccc3c(-c3ccccc3)c2Oc2ccc(-c3cc(-c4ccccc4)c4ccccc4n3)cc2)c1,4700.0,1,CHEMBL1949815,1,MIC
Brc1cccc(CCCN2CCN([C@@H](Cc3ccccc3)CN3CCCC3CN3CCNC[C@@H]3Cc3ccccc3)C[C@@H]2Cc2ccccc2)c1,5218.176237035274,1,CHEMBL1077702,1,MIC
Brc1cccc(CNCC2CCCC(CNCc3cccc(Br)c3)C2)c1,12700.0,0,CHEMBL3216814,1,MIC
Brc1cccc(CSc2nc3ccccc3o2)c1,187500.0,0,CHEMBL507227,2,MIC
Brc1cccc(Cn2cc(-c3ccc4oc5ccccc5c4c3)nn2)c1,15507.45257253986,0,CHEMBL3099089,1,MIC
Brc1cccc(OCCCOc2ccc(-n3cccc3)cc2)c1,67375.98469876182,0,CHEMBL3577475,1,MIC
Brc1cccc(OCCOc2ccc(-n3cccc3)cc2)c1,70020.86380970587,0,CHEMBL3577394,1,MIC
Brc1ccccc1-c1cc(-c2ccc(-n3cccc3)cc2)on1,274709.3316703516,0,CHEMBL3745900,1,MIC
Brc1ccccc1-c1nnc(-c2ccc(-n3cccc3)cc2)o1,21916.825018158364,0,CHEMBL2281597,1,MIC
Brc1ccccc1/C=N/Nc1ncnc2sc3c(c12)CCCC3,24300.0,0,CHEMBL1091972,1,MIC
Brc1ccccc1C1Cc2[nH]c3ccccc3c2S1,9514.042685671157,1,CHEMBL561774,2,MIC
Brc1ccccc1OCCCOc1ccc(-n2cccc2)cc1,67375.98469876182,0,CHEMBL3577476,1,MIC
Brc1ccccc1OCCOc1ccc(-n2cccc2)cc1,70020.86380970587,0,CHEMBL3577395,1,MIC
Brc1cnc2[nH]c(-c3cc(-c4ccccc4)ccn3)nc2c1,71425.16170318311,0,CHEMBL3358784,3,MIC
Brc1cnc2[nH]c(CCC3CCCCC3)nc2c1,20190.940535178677,0,CHEMBL1927986,3,MIC
Brc1cncc(-c2cc(NCCCn3ccnc3)nc(-c3ccccc3)n2)c1,12500.0,0,CHEMBL204432,11,MIC
Brc1cncnc1,78620.0,0,CHEMBL3423442,2,MIC
Brc1cncnc1-c1ccc(-c2ccccc2)s1,19780.547867832895,0,CHEMBL3297972,1,MIC
Brc1cncnc1-c1ccco1,6697.668690235035,1,CHEMBL3297973,2,MIC
Brc1cncnc1-c1cccs1,2917.4485275554466,1,CHEMBL3297970,2,MIC
Brc1cncnc1C1=CC=C(C2=CC=CCS2)SC1,4286.269021362103,1,CHEMBL3297971,2,MIC
C#CC(O)/C=C/CCCCCCCCC/C=C\CCCCCCCCC/C=C/C(O)C#C,1200.0,1,CHEMBL492822,2,MIC
C#CCCCC(=O)N1C(=O)CC1Sc1ccccc1,164785.45774247192,0,CHEMBL3394662,1,MIC
C#CCCCCCCCCC(=O)NS(=O)(=O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,50000.0,0,CHEMBL4798727,3,MIC
C#CCCCCCCCCC/C=C1/C(=O)O[C@@H](C)[C@H]1O,10160.0,0,CHEMBL509648,1,MIC
C#CCN(c1nc(-c2ccc(Br)cc2)no1)C1CCCCC1,89120.7701670479,0,CHEMBL4851181,2,MIC
C#CCN(c1nc(-c2ccc(C(F)(F)F)cc2)no1)C1CCCCC1,137480.5892653982,0,CHEMBL4869337,2,MIC
C#CCN(c1nc(-c2ccc(C)cc2)no1)C1CCCCC1,216825.33256783715,0,CHEMBL4871789,1,MIC
C#CCN(c1nc(-c2ccc(Cl)cc2)no1)C1CCCCC1,76162.9511716915,0,CHEMBL4874098,2,MIC
C#CCN(c1nc(-c2ccc(F)cc2)no1)C1CCCCC1,213944.22223736654,0,CHEMBL4859924,2,MIC
C#CCN(c1nc(-c2ccc(OC)cc2)no1)C1CCCCC1,205679.7320916716,0,CHEMBL4858861,1,MIC
C#CCN(c1nc(-c2cccc(Br)c2)no1)C1CCCCC1,89120.7701670479,0,CHEMBL4850032,1,MIC
C#CCN(c1nc(-c2cccc(C)c2)no1)C1CCCCC1,108412.66628391857,0,CHEMBL4856657,1,MIC
C#CCN1CCCN(c2noc3ccccc23)CC1,195840.0,0,CHEMBL3792580,3,MIC
C#CCN1CCN(c2noc3cc(Cl)ccc23)CC1,181760.0,0,CHEMBL3794573,2,MIC
C#CCNC(=O)COc1cc(C)nc2ccc(OC)cc12,21980.0,0,CHEMBL4205685,1,MIC
C#CCNC1=C(Cl)C(=O)c2ccc(C)nc2C1=O,256000.0,0,CHEMBL4529410,1,MIC
C#CCNC1=C(Cl)C(=O)c2cccnc2C1=O,128000.0,0,CHEMBL4457262,1,MIC
C#CCNC1=C(Cl)C(=O)c2nc(C)ccc2C1=O,64000.0,0,CHEMBL4575495,1,MIC
C#CCNC1=C(Cl)C(=O)c2ncccc2C1=O,8000.0,1,CHEMBL4536030,1,MIC
C#CCNc1ccc2c(=O)n(-c3ccccc3)c(C)nc2c1,13835.013420296787,0,CHEMBL4444032,1,MIC
C#CCNc1cccc(-c2ccc(N3CC(CNC(C)=O)OC3=O)cc2)cc1=O,2556.543022713728,1,CHEMBL6792,1,MIC
C#CCOC(=O)COc1ccc(-c2nc3cc(NC(=O)[C@H](C)Oc4cccc(Cl)c4Cl)ccc3o2)cc1,400.0,1,CHEMBL4215874,4,MIC
C#CCOc1ccc(-c2nc3cc(NC(=O)[C@H](N)Cc4ccccc4)ccc3o2)cc1,1200.0,1,CHEMBL5271246,1,MIC
C#CCOc1ccc(-c2noc(N(CC#C)C3CCCCC3)n2)cc1,190951.65047463923,0,CHEMBL4858588,1,MIC
C#CCOc1ccc(-c2noc(NC3CCCCC3)n2)cc1,107690.5428133023,0,CHEMBL4865275,2,MIC
C#CCOc1ccc(/C=C/C(=O)c2ccc(OC)c(OC)c2OC)cc1OC,109000.0,0,CHEMBL592724,1,MIC
C#CCOc1ccc(C(=O)/C=C/c2ccc(OC)cc2OC)cc1,69500.0,0,CHEMBL592268,2,MIC
C#CCOc1cccc(-n2c(/C=C/c3ccc(C#N)cc3)nc3cccc(F)c3c2=O)c1,4749.21017994859,1,CHEMBL4577036,1,MIC
C#CCOc1cccc(/C=C/C(=O)c2ccc(OC)c(OC)c2OC)c1,33550.0,0,CHEMBL597626,2,MIC
C#CCOc1cccc(/C=C/C(=O)c2ccc(OC)cc2)c1,35850.0,0,CHEMBL597624,2,MIC
C#CCOc1cccc(/C=C/C(=O)c2ccc(OC)cc2OC)c1,40500.0,0,CHEMBL597625,2,MIC
C#CCOc1cccc(C(=O)/C=C/c2ccc(OC)c(OC)c2OC)c1,44200.0,0,CHEMBL589904,2,MIC
C#CCOc1cccc(C(=O)/C=C/c2ccc(OC)cc2)c1,51200.0,0,CHEMBL596611,1,MIC
C#CCOc1ccccc1/C=C/C(=O)c1ccc(OC)c(OC)c1OC,45250.0,0,CHEMBL597896,2,MIC
C#CCOc1ccccc1/C=C/C(=O)c1ccc(OC)cc1,49100.0,0,CHEMBL597892,2,MIC
C#CCOc1ccccc1/C=C/C(=O)c1ccc(OC)cc1OC,37000.0,0,CHEMBL589509,2,MIC
C#CCOc1ccccc1C(=O)/C=C/c1ccc(OC)c(OC)c1OC,72400.0,0,CHEMBL596610,2,MIC
C#CCOc1ccccc1C(=O)/C=C/c1ccc(OC)cc1,43900.0,0,CHEMBL597219,2,MIC
C#CCOc1ccccc1C(=O)/C=C/c1ccc(OC)cc1OC,58250.0,0,CHEMBL597220,2,MIC
C#CCSc1ncnc2c1cnn2CC#C,276258.8810456651,0,CHEMBL247102,1,MIC
C#CCSc1ncnc2c1cnn2CC=C,273838.49116335006,0,CHEMBL245596,1,MIC
C#CCSc1ncnc2c1cnn2Cc1ccccc1,224937.124141889,0,CHEMBL391972,1,MIC
C#CCn1c(-c2ccc(-n3cncn3)cc2)nc2c(F)cc(F)cc21,9340.544103891158,1,CHEMBL564531,1,MIC
C#CCn1ncc2c(SCC=C)ncnc21,139092.5669401143,0,CHEMBL428401,1,MIC
C#CCn1ncc2c(SCc3ccccc3)ncnc21,79442.0795580481,0,CHEMBL392390,2,MIC
C#C[C@@]12O[C@]1(C=O)[C@]1(C)CC[C@H]3C(C)(C)CCC[C@]3(C)[C@H]1CC2=O,57129.12965397925,0,CHEMBL2204432,2,MIC
C#C[C@@]12O[C@]1(CO)[C@]1(C)CC[C@H]3C(C)(C)CCC[C@]3(C)[C@H]1CC2=O,151414.44034748647,0,CHEMBL2204433,2,MIC
