smiles,median_value_nM,activity_label,molecule_chembl_id,n_measurements,source_type
C#CCCCOC(=O)Cn1cnc2c1c(=O)n(C)c(=O)n2C,205.5129050567506,1,CHEMBL3963152,1,MIC
C#CCCN1CCN(C(=O)c2cc(-c3ccc(Cl)cc3)n(-c3ccc(F)cc3)n2)CC1,229280696.10279953,0,CHEMBL1087667,1,MIC
C#CCCOC(=O)Cn1cnc2c1c(=O)n(C)c(=O)n2C,215.44183307670815,1,CHEMBL3964702,1,MIC
C#CCN1C(=O)/C(=N\c2ccc(N3C(=O)c4ccc(Cl)cc4C3=O)c(C)c2)c2cc(OC(F)(F)F)ccc21,27929.30364776035,0,CHEMBL2283067,1,MIC
C#CCN1C(=O)/C(=N\c2ccc(N3C(=O)c4ccc(Cl)cc4C3=O)c(C)c2)c2cc([N+](=O)[O-])ccc21,30116.0614426236,0,CHEMBL2283065,1,MIC
C#CCN1C(=O)[C@]2(c3ccccc31)N(C)C[C@H](c1ccccc1O)[C@]21CC(=O)N(C)C1=O,146.0,1,CHEMBL1210069,1,MIC
C#CCN1CC/C(=C\C2=C(C(=O)O)N3C(=O)[C@@H](NC(=O)/C(=N\O)c4csc(N)n4)[C@H]3SC2)C1=O,15933.940296058574,0,CHEMBL54607,1,MIC
C#CCN1CCN(c2cc3c(cc2F)c(=O)c(-c2csc(N)n2)cn3CC)CC1,12000.0,0,CHEMBL4756751,2,MIC
C#CCN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1,8126.802615637168,1,CHEMBL4177464,6,MIC
C#CCN1CCN(c2ccc3c4c(cccc24)C(=O)N(CC(O)Cn2c([N+](=O)[O-])cnc2C)C3=O)CC1,13000.0,0,CHEMBL4548483,2,MIC
C#CCN1CCN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1,21613.203063597284,0,CHEMBL2012917,1,MIC
C#CCNC(=N)N(C)CCCCCCCCNCCCCCCCCNC(=N)N,42703.5490822529,0,CHEMBL3353628,1,MIC
