feature,importance
sr_norm,0.63082886
oni_lag60,0.07902478
pcrvi,0.049598854
doy_sin,0.047079876
pcrvi_lag7,0.031745892
pcrvi_lag14,0.020592606
doy_cos,0.018880103
cdr_norm_lag14,0.017228844
dmi_lag60,0.016068798
cdr_norm,0.013769405
bh_norm,0.012966211
bh_norm_lag7,0.0110945
ta_norm_lag14,0.01101777
ta_norm,0.009212212
cdr_norm_lag7,0.006734859
sr_norm_lag7,0.0066624014
bh_norm_lag14,0.006543663
ta_norm_lag7,0.0034178067
sst_anomaly,0.0029934514
sr_norm_lag14,0.0019243413
la_norm_lag7,0.0005349098
wq_norm_lag14,0.0004894597
la_norm,0.00048318598
wq_norm_lag7,0.00046878192
wq_norm,0.0003775524
la_norm_lag14,0.00026092786
