,expert,ml,diff
thermal_anomaly,0.25,0.099695585668087,-0.150304414331913
accumulating_stress,0.18,0.4834657907485962,0.3034657907485962
seasonal_risk,0.1,0.03513988107442856,-0.06486011892557145
climate_driver,0.12,0.0652015432715416,-0.0547984567284584
bleaching_history,0.08,0.3018615245819092,0.22186152458190916
water_quality,0.15,0.003979071509093046,-0.14602092849090695
light_availability,0.12,0.010656675323843956,-0.10934332467615604
