,expert,ml,diff
thermal_anomaly,0.25,0.0816306471824646,-0.1683693528175354
accumulating_stress,0.18,0.4671376943588257,0.2871376943588257
seasonal_risk,0.1,0.0536300465464592,-0.04636995345354081
climate_driver,0.12,0.08088073134422302,-0.03911926865577697
bleaching_history,0.08,0.28723376989364624,0.20723376989364622
water_quality,0.15,0.010908348485827446,-0.13909165151417255
light_availability,0.12,0.018578842282295227,-0.10142115771770477
