feature,importance
pcrvi,0.4528780321270481
oni_lag60,0.1608715527553641
doy_sin,0.14722026905388047
bh_norm,0.03923330131139155
cdr_norm_lag14,0.033968874205449376
dmi_lag60,0.02563739988147159
bh_norm_lag7,0.021347721978652597
ta_norm,0.020644186555453397
cdr_norm_lag7,0.018240372456680278
sst_anomaly,0.016148605721953136
cdr_norm,0.014522755927149699
bh_norm_lag14,0.014316017994058293
ta_norm_lag14,0.012675866974808684
pcrvi_lag14,0.004958125909711368
pcrvi_lag7,0.003408821957888265
doy_cos,0.0028577922576862964
ta_norm_lag7,0.0025027321041803906
sr_norm,0.001879666872418003
sr_norm_lag7,0.0018691704262689597
sr_norm_lag14,0.001235535298863561
la_norm_lag14,0.000769391866259672
la_norm_lag7,0.0007514139579567755
wq_norm_lag7,0.0007222772118488975
la_norm,0.0005655342427098264
wq_norm,0.0004356164416043889
wq_norm_lag14,0.000338964509242321
